Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-04T15:32:48.078;802341165688093056;-114976;-113626;-82368;-317857;
2025-06-04T15:32:48.096;802341165706274816;-114975;-113583;-82359;-317849;
2025-06-04T15:32:48.114;802341165724456704;-115033;-113674;-82388;-317894;
2025-06-04T15:32:48.132;802341165742638464;-115008;-113528;-82312;-317863;
2025-06-04T15:32:48.150;802341165760820352;-114978;-113525;-82322;-317865;
2025-06-04T15:32:48.168;802341165779002112;-114989;-113485;-82267;-317836;
2025-06-04T15:32:48.187;802341165797184000;-115014;-113427;-82275;-317838;
2025-06-04T15:32:48.205;802341165815365760;-115075;-113485;-82304;-317914;
2025-06-04T15:32:48.223;802341165833547648;-115082;-113447;-82314;-317869;
2025-06-04T15:32:48.241;802341165851729408;-115000;-113393;-82236;-317880;
2025-06-04T15:32:48.259;802341165869911296;-115063;-113432;-82250;-317857;
2025-06-04T15:32:48.278;802341165888093056;-114992;-113453;-82196;-317885;
2025-06-04T15:32:48.296;802341165906274816;-114966;-113374;-82118;-317878;
2025-06-04T15:32:48.314;802341165924456704;-114914;-113498;-82212;-317880;
2025-06-04T15:32:48.332;802341165942638464;-114957;-113429;-82202;-317887;
2025-06-04T15:32:48.350;802341165960820352;-114920;-113470;-82148;-317922;
2025-06-04T15:32:48.368;802341165979002112;-114921;-113449;-82153;-317937;
2025-06-04T15:32:48.387;802341165997184000;-114814;-113400;-81948;-317837;
2025-06-04T15:32:48.405;802341166015365760;-114790;-113400;-81964;-317899;
2025-06-04T15:32:48.423;802341166033547648;-114755;-113360;-81931;-317873;
2025-06-04T15:32:48.441;802341166051729408;-114700;-113373;-81980;-317921;
2025-06-04T15:32:48.459;802341166069911296;-114659;-113349;-81935;-317906;
2025-06-04T15:32:48.478;802341166088093056;-114689;-113371;-81900;-317906;
2025-06-04T15:32:48.496;802341166106274816;-114577;-113346;-81835;-317900;
2025-06-04T15:32:48.514;802341166124456704;-114530;-113244;-81763;-317882;
2025-06-04T15:32:48.532;802341166142638464;-114528;-113222;-81807;-317837;
2025-06-04T15:32:48.550;802341166160820352;-114521;-113165;-81733;-317819;
2025-06-04T15:32:48.568;802341166179002112;-114402;-113118;-81627;-317840;
2025-06-04T15:32:48.587;802341166197184000;-114460;-113068;-81650;-317831;
2025-06-04T15:32:48.605;802341166215365760;-114409;-113005;-81635;-317864;
2025-06-04T15:32:48.623;802341166233547648;-114287;-112978;-81590;-317870;
2025-06-04T15:32:48.641;802341166251729408;-114238;-112925;-81529;-317794;
2025-06-04T15:32:48.659;802341166269911296;-114200;-112961;-81506;-317891;
2025-06-04T15:32:48.678;802341166288093056;-114164;-112932;-81493;-317831;
2025-06-04T15:32:48.696;802341166306274816;-114103;-112932;-81462;-317870;
2025-06-04T15:32:48.714;802341166324456704;-114067;-112894;-81403;-317828;
2025-06-04T15:32:48.732;802341166342638464;-114032;-112855;-81322;-317843;
2025-06-04T15:32:48.750;802341166360820352;-113970;-112722;-81278;-317856;
2025-06-04T15:32:48.768;802341166379002112;-114007;-112739;-81286;-317925;
2025-06-04T15:32:48.787;802341166397184000;-113982;-112722;-81256;-317942;
2025-06-04T15:32:48.805;802341166415365760;-113963;-112727;-81266;-317800;
2025-06-04T15:32:48.823;802341166433547648;-114010;-112727;-81290;-317853;
2025-06-04T15:32:48.841;802341166451729439;-114068;-112697;-81341;-317894;
2025-06-04T15:32:48.859;802341166469986432;-113977;-112695;-81290;-317821;
2025-06-04T15:32:48.878;802341166488243456;-113995;-112782;-81395;-317873;
2025-06-04T15:32:48.896;802341166506500480;-114044;-112755;-81412;-317891;
2025-06-04T15:32:48.914;802341166524757504;-114054;-112761;-81430;-317869;
2025-06-04T15:32:48.932;802341166543014656;-114021;-112748;-81442;-317836;
2025-06-04T15:32:48.951;802341166561271680;-114041;-112815;-81534;-317901;
2025-06-04T15:32:48.969;802341166579528704;-114014;-112789;-81579;-317861;
2025-06-04T15:32:48.987;802341166597785728;-114066;-112817;-81654;-317871;
2025-06-04T15:32:49.005;802341166616042752;-114011;-112820;-81625;-317849;
2025-06-04T15:32:49.024;802341166634299776;-113989;-112818;-81642;-317755;
2025-06-04T15:32:49.042;802341166652556800;-113959;-112850;-81685;-317821;
2025-06-04T15:32:49.060;802341166670813824;-113967;-112876;-81790;-317869;
2025-06-04T15:32:49.078;802341166689070976;-113893;-112898;-81785;-317852;
2025-06-04T15:32:49.097;802341166707328000;-113882;-112924;-81820;-317860;
2025-06-04T15:32:49.115;802341166725585024;-113790;-112917;-81807;-317795;
2025-06-04T15:32:49.133;802341166743842048;-113853;-112903;-81823;-317830;
2025-06-04T15:32:49.152;802341166762099072;-113798;-112830;-81784;-317792;
2025-06-04T15:32:49.170;802341166780356096;-113827;-112879;-81797;-317855;
2025-06-04T15:32:49.188;802341166798613120;-113863;-112814;-81771;-317921;
2025-06-04T15:32:49.206;802341166816870272;-113748;-112828;-81696;-317856;
2025-06-04T15:32:49.225;802341166835127296;-113728;-112827;-81689;-317862;
2025-06-04T15:32:49.243;802341166853384320;-113724;-112776;-81637;-317796;
2025-06-04T15:32:49.261;802341166871641344;-113642;-112782;-81617;-317846;
2025-06-04T15:32:49.279;802341166889898368;-113574;-112743;-81566;-317836;
2025-06-04T15:32:49.298;802341166908155392;-113547;-112660;-81481;-317800;
