Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-05-28T18:09:26.196;536603740473877888;113368;150202;137687;-170163;
2025-05-28T18:09:26.214;536603740492059712;113364;150195;137628;-170192;
2025-05-28T18:09:26.232;536603740510241536;113389;150176;137667;-170168;
2025-05-28T18:09:26.250;536603740528423360;113372;150160;137647;-170194;
2025-05-28T18:09:26.268;536603740546605184;113419;150178;137690;-170162;
2025-05-28T18:09:26.286;536603740564787008;113332;150117;137634;-170143;
2025-05-28T18:09:26.305;536603740582968768;113255;150021;137552;-170173;
2025-05-28T18:09:26.323;536603740601150592;113180;150047;137541;-170242;
2025-05-28T18:09:26.341;536603740619332416;113099;149945;137495;-170223;
2025-05-28T18:09:26.359;536603740637514240;113119;149953;137439;-170212;
2025-05-28T18:09:26.377;536603740655696064;113135;150050;137480;-170160;
2025-05-28T18:09:26.396;536603740673877888;113203;150083;137479;-170173;
2025-05-28T18:09:26.414;536603740692059712;113307;150089;137431;-170138;
2025-05-28T18:09:26.432;536603740710241536;113232;150057;137444;-170202;
2025-05-28T18:09:26.450;536603740728423360;113176;150020;137476;-170199;
2025-05-28T18:09:26.468;536603740746605184;113181;150122;137487;-170174;
2025-05-28T18:09:26.486;536603740764787008;113206;150164;137565;-170135;
2025-05-28T18:09:26.505;536603740782968768;113222;150122;137456;-170179;
2025-05-28T18:09:26.523;536603740801150592;113262;150173;137520;-170178;
2025-05-28T18:09:26.541;536603740819332416;113297;150186;137553;-170148;
2025-05-28T18:09:26.559;536603740837514240;113318;150257;137631;-170129;
2025-05-28T18:09:26.577;536603740855696064;113282;150280;137635;-170129;
2025-05-28T18:09:26.596;536603740873877888;113298;150378;137699;-170162;
2025-05-28T18:09:26.614;536603740892059712;113306;150362;137774;-170169;
2025-05-28T18:09:26.632;536603740910241536;113334;150435;137912;-170162;
2025-05-28T18:09:26.650;536603740928423360;113239;150437;137929;-170181;
2025-05-28T18:09:26.668;536603740946605184;113136;150468;137937;-170176;
2025-05-28T18:09:26.686;536603740964787008;113141;150408;137852;-170120;
2025-05-28T18:09:26.705;536603740982968768;113069;150342;137837;-170105;
2025-05-28T18:09:26.723;536603741001150592;112999;150300;137816;-170122;
2025-05-28T18:09:26.741;536603741019332416;112975;150343;137827;-170177;
2025-05-28T18:09:26.759;536603741037514240;112942;150364;137816;-170127;
2025-05-28T18:09:26.777;536603741055696064;112937;150357;137804;-170128;
2025-05-28T18:09:26.796;536603741073877888;112927;150287;137752;-170204;
2025-05-28T18:09:26.814;536603741092059712;112965;150391;137824;-170123;
2025-05-28T18:09:26.832;536603741110241536;112982;150367;137738;-170157;
2025-05-28T18:09:26.850;536603741128423360;112988;150491;137729;-170156;
2025-05-28T18:09:26.868;536603741146605184;113073;150482;137722;-170145;
2025-05-28T18:09:26.886;536603741164787008;113181;150559;137712;-170177;
2025-05-28T18:09:26.905;536603741182968768;113214;150623;137718;-170187;
2025-05-28T18:09:26.923;536603741201150592;113247;150686;137692;-170148;
2025-05-28T18:09:26.941;536603741219332416;113282;150666;137708;-170124;
2025-05-28T18:09:26.959;536603741237514240;113263;150682;137683;-170162;
2025-05-28T18:09:26.977;536603741255696064;113322;150707;137685;-170162;
2025-05-28T18:09:26.996;536603741273877911;113337;150693;137675;-170160;
2025-05-28T18:09:27.014;536603741292075776;113399;150678;137633;-170178;
2025-05-28T18:09:27.032;536603741310273664;113423;150714;137609;-170148;
2025-05-28T18:09:27.050;536603741328471552;113483;150876;137691;-170138;
2025-05-28T18:09:27.068;536603741346669440;113395;150811;137679;-170191;
2025-05-28T18:09:27.086;536603741364867328;113432;150832;137794;-170127;
2025-05-28T18:09:27.105;536603741383065216;113376;150879;137760;-170065;
2025-05-28T18:09:27.123;536603741401263104;113305;150828;137843;-170150;
2025-05-28T18:09:27.141;536603741419460928;113212;150813;137903;-170129;
2025-05-28T18:09:27.159;536603741437658816;113064;150740;137818;-170158;
2025-05-28T18:09:27.177;536603741455856704;113108;150764;137843;-170152;
2025-05-28T18:09:27.196;536603741474054592;113210;150757;137730;-170186;
2025-05-28T18:09:27.214;536603741492252480;113400;150878;137793;-170139;
2025-05-28T18:09:27.232;536603741510450368;113317;151074;138230;-170116;
2025-05-28T18:09:27.250;536603741528648256;113204;151082;138472;-170100;
2025-05-28T18:09:27.268;536603741546846144;113090;150995;138464;-170126;
2025-05-28T18:09:27.287;536603741565044032;113114;151001;138450;-170124;
2025-05-28T18:09:27.305;536603741583241920;113099;151030;138395;-170120;
2025-05-28T18:09:27.323;536603741601439808;113148;151045;138389;-170156;
2025-05-28T18:09:27.341;536603741619637696;113254;151112;138306;-170152;
2025-05-28T18:09:27.359;536603741637835584;113245;151148;138377;-170109;
2025-05-28T18:09:27.378;536603741656033472;113274;151169;138493;-170170;
2025-05-28T18:09:27.396;536603741674231296;113337;151315;138620;-170142;
2025-05-28T18:09:27.414;536603741692429184;113318;151353;138514;-170165;
2025-05-28T18:09:27.432;536603741710627072;113427;151404;138411;-170158;
2025-05-28T18:09:27.450;536603741728824960;113607;151419;138336;-170138;
2025-05-28T18:09:27.469;536603741747022848;113808;151505;138251;-170147;
2025-05-28T18:09:27.487;536603741765220736;114090;151598;138194;-170178;
2025-05-28T18:09:27.505;536603741783418624;114297;151629;138185;-170181;
2025-05-28T18:09:27.523;536603741801616512;114583;151819;138319;-170154;
2025-05-28T18:09:27.541;536603741819814400;114765;151926;138574;-170134;
2025-05-28T18:09:27.560;536603741838012288;114925;152121;138881;-170161;
2025-05-28T18:09:27.578;536603741856210176;114756;152105;138851;-170163;
2025-05-28T18:09:27.596;536603741874408064;114561;152056;138793;-170122;
2025-05-28T18:09:27.614;536603741892605952;114597;151896;138569;-170155;
2025-05-28T18:09:27.632;536603741910803840;114580;151917;138464;-170201;
2025-05-28T18:09:27.651;536603741929001664;114699;151977;138460;-170193;
2025-05-28T18:09:27.669;536603741947199552;114665;151966;138517;-170172;
2025-05-28T18:09:27.687;536603741965397440;114680;152066;138579;-170136;
2025-05-28T18:09:27.705;536603741983595328;114695;152086;138645;-170187;
2025-05-28T18:09:27.723;536603742001793216;114749;152174;138690;-170150;
2025-05-28T18:09:27.742;536603742019991104;114884;152189;138797;-170123;
2025-05-28T18:09:27.760;536603742038189013;114974;152318;138849;-170079;
2025-05-28T18:09:27.778;536603742056386496;114948;152306;138865;-170125;
2025-05-28T18:09:27.796;536603742074584000;115073;152336;138987;-170162;
2025-05-28T18:09:27.814;536603742092781568;115120;152382;139005;-170127;
2025-05-28T18:09:27.833;536603742110979072;115197;152397;139002;-170131;
2025-05-28T18:09:27.851;536603742129176640;115280;152413;139077;-170121;
2025-05-28T18:09:27.869;536603742147374144;115413;152426;139124;-170133;
2025-05-28T18:09:27.887;536603742165571648;115536;152451;139187;-170178;
2025-05-28T18:09:27.905;536603742183769216;115644;152459;139286;-170135;
2025-05-28T18:09:27.924;536603742201966720;115704;152501;139387;-170181;
2025-05-28T18:09:27.942;536603742220164224;115774;152522;139443;-170101;
2025-05-28T18:09:27.960;536603742238361792;115765;152553;139474;-170150;
2025-05-28T18:09:27.978;536603742256559296;115670;152506;139434;-170161;
2025-05-28T18:09:27.996;536603742274756864;115718;152505;139403;-170143;
2025-05-28T18:09:28.015;536603742292954368;115668;152553;139476;-170170;
2025-05-28T18:09:28.033;536603742311151872;115534;152551;139327;-170226;
2025-05-28T18:09:28.051;536603742329349440;115611;152574;139301;-170167;
2025-05-28T18:09:28.069;536603742347546944;115615;152570;139264;-170117;
2025-05-28T18:09:28.087;536603742365744512;115640;152550;139261;-170154;
2025-05-28T18:09:28.106;536603742383942016;115671;152544;139245;-170143;
2025-05-28T18:09:28.124;536603742402139520;115686;152583;139187;-170148;
2025-05-28T18:09:28.142;536603742420337088;115674;152602;139185;-170155;
2025-05-28T18:09:28.160;536603742438534592;115727;152625;139215;-170150;
2025-05-28T18:09:28.178;536603742456732096;115605;152704;139269;-170162;
2025-05-28T18:09:28.197;536603742474929664;115585;152728;139244;-170121;
2025-05-28T18:09:28.215;536603742493127168;115464;152758;139204;-170188;
2025-05-28T18:09:28.233;536603742511324736;115476;152732;139245;-170168;
2025-05-28T18:09:28.251;536603742529522240;115437;152801;139267;-170174;
2025-05-28T18:09:28.269;536603742547719744;115367;152772;139226;-170158;
2025-05-28T18:09:28.288;536603742565917312;115386;152741;139296;-170148;
2025-05-28T18:09:28.306;536603742584114816;115270;152775;139203;-170246;
2025-05-28T18:09:28.324;536603742602312320;115288;152782;139272;-170186;
2025-05-28T18:09:28.342;536603742620509888;115231;152885;139307;-170170;
2025-05-28T18:09:28.360;536603742638707392;115210;152867;139395;-170094;
2025-05-28T18:09:28.379;536603742656904960;115168;152882;139403;-170119;
2025-05-28T18:09:28.397;536603742675102464;115207;152934;139452;-170122;
2025-05-28T18:09:28.415;536603742693299968;115188;152863;139423;-170186;
2025-05-28T18:09:28.433;536603742711497536;115255;152954;139417;-170203;
2025-05-28T18:09:28.451;536603742729695040;115316;152985;139410;-170210;
2025-05-28T18:09:28.470;536603742747892608;115413;152974;139523;-170165;
2025-05-28T18:09:28.488;536603742766090112;115502;153085;139517;-170195;
2025-05-28T18:09:28.506;536603742784287616;115510;153120;139529;-170152;
2025-05-28T18:09:28.524;536603742802485184;115583;153157;139592;-170107;
2025-05-28T18:09:28.542;536603742820682738;115627;153223;139610;-170125;
2025-05-28T18:09:28.561;536603742838882816;115592;153179;139634;-170181;
2025-05-28T18:09:28.579;536603742857082880;115582;153287;139704;-170169;
2025-05-28T18:09:28.597;536603742875282880;115622;153364;139797;-170152;
2025-05-28T18:09:28.615;536603742893482944;115544;153394;139845;-170163;
2025-05-28T18:09:28.633;536603742911682944;115539;153398;139806;-170156;
2025-05-28T18:09:28.652;536603742929883008;115527;153376;139785;-170145;
2025-05-28T18:09:28.670;536603742948083008;115398;153284;139698;-170171;
2025-05-28T18:09:28.688;536603742966283072;115327;153243;139625;-170168;
2025-05-28T18:09:28.706;536603742984483072;115380;153212;139722;-170157;
2025-05-28T18:09:28.724;536603743002683136;115360;153261;139730;-170145;
2025-05-28T18:09:28.743;536603743020883136;115361;153282;139718;-170150;
2025-05-28T18:09:28.761;536603743039083200;115373;153311;139691;-170191;
2025-05-28T18:09:28.779;536603743057283200;115466;153316;139684;-170158;
2025-05-28T18:09:28.797;536603743075483264;115413;153243;139695;-170180;
2025-05-28T18:09:28.815;536603743093683264;115369;153306;139697;-170170;
2025-05-28T18:09:28.834;536603743111883328;115381;153402;139776;-170130;
2025-05-28T18:09:28.852;536603743130083328;115421;153354;139753;-170164;
2025-05-28T18:09:28.870;536603743148283392;115431;153370;139733;-170174;
2025-05-28T18:09:28.888;536603743166483392;115437;153417;139744;-170126;
2025-05-28T18:09:28.906;536603743184683456;115428;153403;139766;-170196;
2025-05-28T18:09:28.925;536603743202883456;115423;153361;139818;-170180;
2025-05-28T18:09:28.943;536603743221083520;115432;153389;139851;-170160;
2025-05-28T18:09:28.961;536603743239283520;115433;153408;139876;-170147;
2025-05-28T18:09:28.979;536603743257483584;115518;153524;139873;-170116;
2025-05-28T18:09:28.997;536603743275683584;115550;153506;139938;-170163;
2025-05-28T18:09:29.016;536603743293883648;115520;153533;139924;-170218;
2025-05-28T18:09:29.034;536603743312083648;115601;153573;139964;-170124;
2025-05-28T18:09:29.052;536603743330283712;115608;153580;139989;-170123;
2025-05-28T18:09:29.070;536603743348483712;115603;153609;140069;-170092;
2025-05-28T18:09:29.088;536603743366683776;115549;153637;140092;-170133;
2025-05-28T18:09:29.107;536603743384883776;115620;153675;140094;-170129;
2025-05-28T18:09:29.125;536603743403083840;115696;153781;140119;-170133;
