Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-23T12:56:58.366;538831382413093184;-69261;-117592;-64302;-298854;
2025-06-23T12:56:58.384;538831382431275008;-69348;-117593;-64385;-298820;
2025-06-23T12:56:58.402;538831382449456832;-69397;-117657;-64437;-298802;
2025-06-23T12:56:58.420;538831382467638656;-69425;-117617;-64486;-298846;
2025-06-23T12:56:58.438;538831382485820480;-69483;-117762;-64643;-298866;
2025-06-23T12:56:58.456;538831382504002304;-69566;-117719;-64723;-298798;
2025-06-23T12:56:58.475;538831382522184064;-69553;-117734;-64751;-298810;
2025-06-23T12:56:58.493;538831382540365888;-69547;-117745;-64828;-298839;
2025-06-23T12:56:58.511;538831382558547712;-69591;-117748;-64859;-298836;
2025-06-23T12:56:58.529;538831382576729536;-69594;-117822;-64939;-298854;
2025-06-23T12:56:58.547;538831382594911360;-69655;-117842;-64954;-298857;
2025-06-23T12:56:58.566;538831382613093184;-69664;-117824;-64987;-298843;
2025-06-23T12:56:58.584;538831382631275008;-69610;-117810;-64956;-298806;
2025-06-23T12:56:58.602;538831382649456832;-69682;-117834;-64950;-298806;
2025-06-23T12:56:58.620;538831382667638656;-69642;-117863;-64977;-298789;
2025-06-23T12:56:58.638;538831382685820480;-69578;-117827;-64923;-298797;
2025-06-23T12:56:58.656;538831382704002304;-69630;-117800;-64870;-298811;
2025-06-23T12:56:58.675;538831382722184064;-69654;-117831;-64927;-298819;
2025-06-23T12:56:58.693;538831382740365888;-69669;-117799;-64901;-298786;
2025-06-23T12:56:58.711;538831382758547712;-69587;-117670;-64829;-298738;
2025-06-23T12:56:58.729;538831382776729536;-69630;-117689;-64766;-298784;
2025-06-23T12:56:58.747;538831382794911360;-69568;-117638;-64790;-298769;
2025-06-23T12:56:58.766;538831382813093184;-69611;-117668;-64809;-298761;
2025-06-23T12:56:58.784;538831382831275008;-69557;-117686;-64809;-298838;
2025-06-23T12:56:58.802;538831382849456832;-69559;-117639;-64809;-298799;
2025-06-23T12:56:58.820;538831382867638656;-69570;-117603;-64775;-298775;
2025-06-23T12:56:58.838;538831382885820480;-69537;-117618;-64748;-298748;
2025-06-23T12:56:58.856;538831382904002304;-69606;-117670;-64778;-298823;
2025-06-23T12:56:58.875;538831382922184064;-69637;-117720;-64860;-298741;
2025-06-23T12:56:58.893;538831382940365888;-69734;-117796;-64847;-298764;
2025-06-23T12:56:58.911;538831382958547712;-69748;-117877;-64948;-298776;
2025-06-23T12:56:58.929;538831382976729536;-69723;-117907;-64926;-298743;
2025-06-23T12:56:58.947;538831382994911360;-69856;-117995;-65012;-298825;
2025-06-23T12:56:58.966;538831383013093184;-69845;-118007;-65052;-298839;
2025-06-23T12:56:58.984;538831383031275008;-69868;-117992;-65098;-298828;
2025-06-23T12:56:59.002;538831383049456832;-69869;-118041;-65127;-298803;
2025-06-23T12:56:59.020;538831383067638656;-69919;-118088;-65211;-298793;
2025-06-23T12:56:59.038;538831383085820480;-69937;-118105;-65179;-298777;
2025-06-23T12:56:59.056;538831383104002304;-69880;-118109;-65181;-298771;
2025-06-23T12:56:59.075;538831383122184064;-69910;-118042;-65134;-298803;
2025-06-23T12:56:59.093;538831383140365888;-69911;-118090;-65126;-298883;
2025-06-23T12:56:59.111;538831383158547712;-69867;-118055;-65109;-298829;
2025-06-23T12:56:59.129;538831383176729547;-69912;-118109;-65088;-298855;
2025-06-23T12:56:59.147;538831383194928960;-69842;-118037;-64989;-298792;
2025-06-23T12:56:59.166;538831383213128384;-69851;-118010;-65024;-298858;
2025-06-23T12:56:59.184;538831383231327808;-69846;-118011;-64995;-298806;
2025-06-23T12:56:59.202;538831383249527168;-69823;-117990;-64966;-298743;
2025-06-23T12:56:59.220;538831383267726592;-69755;-117931;-64888;-298802;
2025-06-23T12:56:59.238;538831383285926016;-69737;-117874;-64875;-298786;
2025-06-23T12:56:59.257;538831383304125440;-69718;-117824;-64883;-298797;
2025-06-23T12:56:59.275;538831383322324800;-69730;-117800;-64887;-298826;
2025-06-23T12:56:59.293;538831383340524224;-69654;-117769;-64825;-298829;
2025-06-23T12:56:59.311;538831383358723648;-69614;-117692;-64785;-298747;
2025-06-23T12:56:59.329;538831383376923072;-69575;-117704;-64756;-298762;
2025-06-23T12:56:59.348;538831383395122432;-69524;-117695;-64761;-298833;
2025-06-23T12:56:59.366;538831383413321856;-69464;-117645;-64684;-298774;
2025-06-23T12:56:59.384;538831383431521280;-69503;-117659;-64733;-298804;
2025-06-23T12:56:59.402;538831383449720704;-69491;-117635;-64731;-298773;
2025-06-23T12:56:59.420;538831383467920128;-69534;-117717;-64735;-298835;
