Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-23T13:20:17.686;538832781722187840;-60465;-106487;-61084;-298731;
2025-06-23T13:20:17.704;538832781740369664;-60450;-106482;-61073;-298729;
2025-06-23T13:20:17.722;538832781758551488;-60477;-106457;-61081;-298747;
2025-06-23T13:20:17.740;538832781776733312;-60452;-106418;-61032;-298740;
2025-06-23T13:20:17.758;538832781794915136;-60426;-106373;-61090;-298729;
2025-06-23T13:20:17.776;538832781813096960;-60408;-106344;-60976;-298701;
2025-06-23T13:20:17.795;538832781831278720;-60341;-106338;-61013;-298755;
2025-06-23T13:20:17.813;538832781849460544;-60355;-106325;-61021;-298808;
2025-06-23T13:20:17.831;538832781867642368;-60388;-106310;-60993;-298754;
2025-06-23T13:20:17.849;538832781885824192;-60279;-106333;-61021;-298677;
2025-06-23T13:20:17.867;538832781904006016;-60276;-106353;-61044;-298716;
2025-06-23T13:20:17.886;538832781922187840;-60287;-106313;-61013;-298661;
2025-06-23T13:20:17.904;538832781940369664;-60260;-106281;-61118;-298726;
2025-06-23T13:20:17.922;538832781958551488;-60338;-106355;-61111;-298746;
2025-06-23T13:20:17.940;538832781976733312;-60322;-106340;-61179;-298754;
2025-06-23T13:20:17.958;538832781994915136;-60299;-106450;-61168;-298785;
2025-06-23T13:20:17.976;538832782013096960;-60323;-106497;-61181;-298757;
2025-06-23T13:20:17.995;538832782031278720;-60398;-106490;-61127;-298722;
2025-06-23T13:20:18.013;538832782049460544;-60438;-106575;-61131;-298758;
2025-06-23T13:20:18.031;538832782067642368;-60406;-106577;-61123;-298741;
2025-06-23T13:20:18.049;538832782085824192;-60441;-106594;-61185;-298769;
2025-06-23T13:20:18.067;538832782104006016;-60436;-106524;-61177;-298759;
2025-06-23T13:20:18.086;538832782122187840;-60405;-106525;-61178;-298772;
2025-06-23T13:20:18.104;538832782140369664;-60361;-106496;-61164;-298763;
2025-06-23T13:20:18.122;538832782158551488;-60351;-106515;-61210;-298743;
2025-06-23T13:20:18.140;538832782176733312;-60309;-106435;-61189;-298704;
2025-06-23T13:20:18.158;538832782194915136;-60290;-106466;-61140;-298728;
2025-06-23T13:20:18.176;538832782213096960;-60257;-106450;-61156;-298746;
2025-06-23T13:20:18.195;538832782231278720;-60144;-106434;-61094;-298748;
2025-06-23T13:20:18.213;538832782249460544;-60214;-106425;-61112;-298778;
2025-06-23T13:20:18.231;538832782267642368;-60119;-106316;-61105;-298694;
2025-06-23T13:20:18.249;538832782285824192;-60056;-106322;-61050;-298792;
2025-06-23T13:20:18.267;538832782304006016;-60068;-106294;-61071;-298807;
2025-06-23T13:20:18.286;538832782322187840;-60022;-106269;-61016;-298821;
2025-06-23T13:20:18.304;538832782340369664;-59977;-106253;-60979;-298782;
2025-06-23T13:20:18.322;538832782358551488;-59931;-106178;-60931;-298772;
2025-06-23T13:20:18.340;538832782376733312;-59862;-106158;-60845;-298761;
2025-06-23T13:20:18.358;538832782394915136;-59863;-106098;-60816;-298740;
2025-06-23T13:20:18.376;538832782413096960;-59851;-106114;-60823;-298761;
2025-06-23T13:20:18.395;538832782431278720;-59756;-106074;-60777;-298710;
2025-06-23T13:20:18.413;538832782449460544;-59723;-106020;-60724;-298774;
2025-06-23T13:20:18.431;538832782467642368;-59715;-106041;-60707;-298765;
2025-06-23T13:20:18.449;538832782485824192;-59636;-105945;-60669;-298755;
2025-06-23T13:20:18.467;538832782504006016;-59680;-105897;-60658;-298720;
2025-06-23T13:20:18.486;538832782522187840;-59547;-105864;-60634;-298748;
2025-06-23T13:20:18.504;538832782540369664;-59558;-105910;-60664;-298742;
2025-06-23T13:20:18.522;538832782558551488;-59557;-105826;-60650;-298720;
2025-06-23T13:20:18.540;538832782576733312;-59562;-105895;-60702;-298754;
2025-06-23T13:20:18.558;538832782594915165;-59564;-105895;-60731;-298717;
2025-06-23T13:20:18.576;538832782613110336;-59607;-105910;-60704;-298756;
2025-06-23T13:20:18.595;538832782631305536;-59581;-105913;-60720;-298742;
2025-06-23T13:20:18.613;538832782649500672;-59509;-105848;-60766;-298712;
2025-06-23T13:20:18.631;538832782667695872;-59575;-105882;-60715;-298731;
2025-06-23T13:20:18.649;538832782685891072;-59611;-105912;-60746;-298718;
2025-06-23T13:20:18.667;538832782704086272;-59537;-105916;-60728;-298741;
2025-06-23T13:20:18.686;538832782722281408;-59514;-105841;-60688;-298710;
2025-06-23T13:20:18.704;538832782740476608;-59458;-105832;-60695;-298714;
2025-06-23T13:20:18.722;538832782758671808;-59467;-105866;-60685;-298701;
2025-06-23T13:20:18.740;538832782776867008;-59469;-105848;-60672;-298753;
2025-06-23T13:20:18.758;538832782795062144;-59458;-105890;-60663;-298736;
2025-06-23T13:20:18.777;538832782813257344;-59479;-105898;-60600;-298751;
2025-06-23T13:20:18.795;538832782831452544;-59462;-105866;-60623;-298748;
2025-06-23T13:20:18.813;538832782849647744;-59474;-105866;-60605;-298774;
2025-06-23T13:20:18.831;538832782867842880;-59398;-105830;-60543;-298703;
2025-06-23T13:20:18.849;538832782886038080;-59395;-105869;-60517;-298750;
2025-06-23T13:20:18.868;538832782904233280;-59414;-105807;-60519;-298717;
2025-06-23T13:20:18.886;538832782922428480;-59320;-105795;-60408;-298705;
2025-06-23T13:20:18.904;538832782940623616;-59330;-105787;-60411;-298718;
2025-06-23T13:20:18.922;538832782958818816;-59308;-105795;-60412;-298748;
2025-06-23T13:20:18.940;538832782977014016;-59267;-105744;-60320;-298708;
2025-06-23T13:20:18.959;538832782995209216;-59325;-105723;-60327;-298748;
2025-06-23T13:20:18.977;538832783013404352;-59315;-105752;-60287;-298779;
2025-06-23T13:20:18.995;538832783031599552;-59239;-105774;-60225;-298736;
2025-06-23T13:20:19.013;538832783049794752;-59168;-105749;-60184;-298763;
2025-06-23T13:20:19.031;538832783067989952;-59144;-105747;-60203;-298744;
2025-06-23T13:20:19.049;538832783086185088;-59188;-105801;-60219;-298722;
2025-06-23T13:20:19.068;538832783104380288;-59256;-105830;-60265;-298792;
