Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-17T15:59:41.830;538323950680967424;-144705;-166591;-153589;-471320;
2025-06-17T15:59:41.848;538323950699149248;-144745;-166672;-153639;-471306;
2025-06-17T15:59:41.866;538323950717331072;-144759;-166635;-153626;-471431;
2025-06-17T15:59:41.884;538323950735512896;-144796;-166670;-153644;-471337;
2025-06-17T15:59:41.902;538323950753694720;-144801;-166667;-153624;-471351;
2025-06-17T15:59:41.920;538323950771876544;-144895;-166755;-153709;-471458;
2025-06-17T15:59:41.939;538323950790058304;-144881;-166743;-153721;-471383;
2025-06-17T15:59:41.957;538323950808240128;-144881;-166781;-153646;-471371;
2025-06-17T15:59:41.975;538323950826421952;-144972;-166816;-153685;-471419;
2025-06-17T15:59:41.993;538323950844603776;-145011;-166784;-153723;-471439;
2025-06-17T15:59:42.011;538323950862785600;-144996;-166756;-153692;-471411;
2025-06-17T15:59:42.030;538323950880967424;-144966;-166783;-153728;-471468;
2025-06-17T15:59:42.048;538323950899149248;-145020;-166833;-153702;-471468;
2025-06-17T15:59:42.066;538323950917331072;-144916;-166780;-153607;-471385;
2025-06-17T15:59:42.084;538323950935512896;-144870;-166675;-153566;-471358;
2025-06-17T15:59:42.102;538323950953694720;-144867;-166695;-153536;-471429;
2025-06-17T15:59:42.120;538323950971876544;-144761;-166560;-153437;-471332;
2025-06-17T15:59:42.139;538323950990058304;-144700;-166562;-153350;-471420;
2025-06-17T15:59:42.157;538323951008240128;-144619;-166445;-153305;-471426;
2025-06-17T15:59:42.175;538323951026421952;-144558;-166394;-153225;-471416;
2025-06-17T15:59:42.193;538323951044603776;-144429;-166313;-153131;-471415;
2025-06-17T15:59:42.211;538323951062785600;-144369;-166218;-153033;-471399;
2025-06-17T15:59:42.230;538323951080967424;-144407;-166232;-153105;-471400;
2025-06-17T15:59:42.248;538323951099149248;-144506;-166337;-153209;-471391;
2025-06-17T15:59:42.266;538323951117331072;-144687;-166560;-153345;-471392;
2025-06-17T15:59:42.284;538323951135512896;-144992;-166818;-153638;-471386;
2025-06-17T15:59:42.302;538323951153694720;-145282;-167071;-153883;-471345;
2025-06-17T15:59:42.320;538323951171876544;-145591;-167319;-154054;-471436;
2025-06-17T15:59:42.339;538323951190058304;-145814;-167459;-154196;-471308;
2025-06-17T15:59:42.357;538323951208240128;-146025;-167747;-154481;-471320;
2025-06-17T15:59:42.375;538323951226421952;-146238;-167876;-154663;-471287;
2025-06-17T15:59:42.393;538323951244603776;-146391;-168038;-154737;-471320;
2025-06-17T15:59:42.411;538323951262785600;-146614;-168140;-154856;-471341;
2025-06-17T15:59:42.430;538323951280967424;-146646;-168183;-154959;-471263;
2025-06-17T15:59:42.448;538323951299149248;-146832;-168338;-155003;-471277;
2025-06-17T15:59:42.466;538323951317331072;-146868;-168338;-155093;-471255;
2025-06-17T15:59:42.484;538323951335512896;-146884;-168332;-155087;-471307;
2025-06-17T15:59:42.502;538323951353694720;-146945;-168343;-155116;-471258;
2025-06-17T15:59:42.520;538323951371876544;-146982;-168358;-155138;-471329;
2025-06-17T15:59:42.539;538323951390058304;-147051;-168379;-155159;-471269;
2025-06-17T15:59:42.557;538323951408240128;-147074;-168350;-155182;-471231;
2025-06-17T15:59:42.575;538323951426421952;-147045;-168337;-155144;-471175;
2025-06-17T15:59:42.593;538323951444603776;-147095;-168394;-155172;-471203;
2025-06-17T15:59:42.611;538323951462785584;-147038;-168347;-155110;-471181;
2025-06-17T15:59:42.630;538323951480979648;-147092;-168333;-155145;-471181;
2025-06-17T15:59:42.648;538323951499173696;-147011;-168279;-155079;-471172;
2025-06-17T15:59:42.666;538323951517367744;-146931;-168252;-155033;-471168;
2025-06-17T15:59:42.684;538323951535561728;-146817;-168146;-155012;-471185;
2025-06-17T15:59:42.702;538323951553755776;-146809;-168134;-154960;-471185;
2025-06-17T15:59:42.720;538323951571949824;-146776;-168104;-154887;-471189;
2025-06-17T15:59:42.739;538323951590143872;-146619;-167976;-154772;-471164;
2025-06-17T15:59:42.757;538323951608337856;-146569;-167815;-154703;-471207;
2025-06-17T15:59:42.775;538323951626531904;-146436;-167719;-154592;-471139;
2025-06-17T15:59:42.793;538323951644725952;-146307;-167680;-154572;-471135;
2025-06-17T15:59:42.811;538323951662920000;-146237;-167625;-154472;-471143;
2025-06-17T15:59:42.830;538323951681113984;-146172;-167582;-154382;-471166;
2025-06-17T15:59:42.848;538323951699308032;-146078;-167465;-154323;-471181;
2025-06-17T15:59:42.866;538323951717502080;-146116;-167423;-154302;-471189;
2025-06-17T15:59:42.884;538323951735696128;-146230;-167514;-154467;-471201;
2025-06-17T15:59:42.902;538323951753890112;-146434;-167724;-154657;-471136;
2025-06-17T15:59:42.921;538323951772084160;-146748;-167938;-154846;-471139;
2025-06-17T15:59:42.939;538323951790278208;-147069;-168291;-155173;-471132;
2025-06-17T15:59:42.957;538323951808472256;-147330;-168479;-155362;-471120;
2025-06-17T15:59:42.975;538323951826666240;-147641;-168695;-155631;-471103;
2025-06-17T15:59:42.993;538323951844860288;-147962;-168950;-155928;-471149;
2025-06-17T15:59:43.012;538323951863054336;-148182;-169190;-156075;-471189;
2025-06-17T15:59:43.030;538323951881248384;-148399;-169319;-156244;-471156;
2025-06-17T15:59:43.048;538323951899442368;-148519;-169446;-156427;-471151;
2025-06-17T15:59:43.066;538323951917636416;-148646;-169487;-156476;-471107;
2025-06-17T15:59:43.084;538323951935830464;-148767;-169589;-156566;-471133;
2025-06-17T15:59:43.103;538323951954024512;-148766;-169600;-156638;-471124;
2025-06-17T15:59:43.121;538323951972218496;-148784;-169642;-156670;-471101;
2025-06-17T15:59:43.139;538323951990412544;-148830;-169660;-156693;-471110;
2025-06-17T15:59:43.157;538323952008606592;-148813;-169577;-156613;-471151;
2025-06-17T15:59:43.175;538323952026800640;-148785;-169598;-156687;-471132;
2025-06-17T15:59:43.194;538323952044994624;-148843;-169585;-156705;-471154;
2025-06-17T15:59:43.212;538323952063188672;-148830;-169585;-156712;-471107;
2025-06-17T15:59:43.230;538323952081382720;-148858;-169651;-156777;-471138;
2025-06-17T15:59:43.248;538323952099576768;-148880;-169594;-156770;-471037;
2025-06-17T15:59:43.266;538323952117770752;-148954;-169559;-156760;-471078;
2025-06-17T15:59:43.284;538323952135964800;-148902;-169680;-156845;-471122;
2025-06-17T15:59:43.303;538323952154158848;-148973;-169731;-156861;-471172;
2025-06-17T15:59:43.321;538323952172352896;-148986;-169631;-156809;-471160;
2025-06-17T15:59:43.339;538323952190546880;-149020;-169711;-156907;-471206;
2025-06-17T15:59:43.357;538323952208740928;-148977;-169642;-156854;-471181;
2025-06-17T15:59:43.375;538323952226934940;-148972;-169599;-156838;-471196;
2025-06-17T15:59:43.394;538323952245128512;-148899;-169561;-156788;-471170;
2025-06-17T15:59:43.412;538323952263322112;-148811;-169488;-156708;-471142;
2025-06-17T15:59:43.430;538323952281515712;-148805;-169448;-156776;-471207;
2025-06-17T15:59:43.448;538323952299709312;-148761;-169355;-156596;-471169;
2025-06-17T15:59:43.466;538323952317902912;-148594;-169306;-156529;-471105;
2025-06-17T15:59:43.485;538323952336096512;-148578;-169216;-156501;-471134;
2025-06-17T15:59:43.503;538323952354290112;-148486;-169175;-156481;-471160;
2025-06-17T15:59:43.521;538323952372483712;-148447;-169152;-156434;-471141;
2025-06-17T15:59:43.539;538323952390677312;-148432;-169084;-156435;-471110;
2025-06-17T15:59:43.557;538323952408870848;-148576;-169199;-156613;-471082;
2025-06-17T15:59:43.576;538323952427064448;-148846;-169439;-156828;-471137;
2025-06-17T15:59:43.594;538323952445258048;-149121;-169656;-157076;-471112;
2025-06-17T15:59:43.612;538323952463451648;-149389;-169881;-157321;-471136;
2025-06-17T15:59:43.630;538323952481645248;-149660;-170086;-157528;-471160;
2025-06-17T15:59:43.648;538323952499838848;-149935;-170313;-157731;-471167;
2025-06-17T15:59:43.667;538323952518032448;-150095;-170396;-157924;-471135;
2025-06-17T15:59:43.685;538323952536226048;-150358;-170538;-158049;-471108;
2025-06-17T15:59:43.703;538323952554419648;-150495;-170651;-158165;-471136;
2025-06-17T15:59:43.721;538323952572613248;-150616;-170829;-158336;-471152;
2025-06-17T15:59:43.739;538323952590806848;-150714;-170856;-158428;-471121;
2025-06-17T15:59:43.758;538323952609000448;-150797;-170925;-158527;-471119;
2025-06-17T15:59:43.776;538323952627194048;-150876;-170966;-158582;-471064;
2025-06-17T15:59:43.794;538323952645387648;-150975;-171029;-158641;-471136;
2025-06-17T15:59:43.812;538323952663581248;-150949;-171008;-158664;-471084;
2025-06-17T15:59:43.830;538323952681774848;-150969;-171075;-158662;-471155;
2025-06-17T15:59:43.849;538323952699968448;-150961;-170994;-158628;-471119;
2025-06-17T15:59:43.867;538323952718162048;-150935;-170950;-158670;-471037;
2025-06-17T15:59:43.885;538323952736355584;-151016;-171042;-158728;-471135;
2025-06-17T15:59:43.903;538323952754549184;-150977;-170995;-158692;-471079;
2025-06-17T15:59:43.921;538323952772742784;-151012;-170990;-158665;-471116;
2025-06-17T15:59:43.939;538323952790936384;-151043;-171013;-158724;-471212;
2025-06-17T15:59:43.958;538323952809129984;-150965;-170963;-158664;-471059;
2025-06-17T15:59:43.976;538323952827323584;-150974;-170983;-158662;-471120;
2025-06-17T15:59:43.994;538323952845517184;-150864;-170872;-158689;-471134;
2025-06-17T15:59:44.012;538323952863710784;-150873;-170803;-158608;-471070;
2025-06-17T15:59:44.030;538323952881904384;-150772;-170789;-158540;-471075;
2025-06-17T15:59:44.049;538323952900097984;-150709;-170738;-158558;-471077;
2025-06-17T15:59:44.067;538323952918291584;-150638;-170642;-158489;-471059;
2025-06-17T15:59:44.085;538323952936485184;-150567;-170584;-158426;-471116;
2025-06-17T15:59:44.103;538323952954678784;-150438;-170481;-158262;-471066;
2025-06-17T15:59:44.121;538323952972872384;-150293;-170349;-158124;-471118;
2025-06-17T15:59:44.140;538323952991065986;-150155;-170243;-158062;-471072;
2025-06-17T15:59:44.158;538323953009259392;-150146;-170211;-158055;-471111;
2025-06-17T15:59:44.176;538323953027452800;-150164;-170275;-158125;-471130;
2025-06-17T15:59:44.194;538323953045646144;-150242;-170331;-158282;-471106;
2025-06-17T15:59:44.212;538323953063839552;-150472;-170525;-158447;-471099;
2025-06-17T15:59:44.231;538323953082032896;-150819;-170839;-158769;-471128;
2025-06-17T15:59:44.249;538323953100226304;-151156;-171089;-159049;-471126;
2025-06-17T15:59:44.267;538323953118419648;-151498;-171304;-159361;-471107;
2025-06-17T15:59:44.285;538323953136613056;-151791;-171496;-159601;-471104;
2025-06-17T15:59:44.303;538323953154806400;-152042;-171782;-159888;-471102;
2025-06-17T15:59:44.322;538323953172999808;-152291;-171847;-160032;-471105;
2025-06-17T15:59:44.340;538323953191193152;-152451;-171963;-160126;-471100;
2025-06-17T15:59:44.358;538323953209386560;-152612;-172116;-160359;-471163;
2025-06-17T15:59:44.376;538323953227579904;-152724;-172243;-160497;-471145;
2025-06-17T15:59:44.394;538323953245773312;-152770;-172245;-160475;-471113;
2025-06-17T15:59:44.412;538323953263966720;-152897;-172308;-160574;-471132;
2025-06-17T15:59:44.431;538323953282160064;-152892;-172293;-160663;-471141;
2025-06-17T15:59:44.449;538323953300353472;-152995;-172348;-160647;-471118;
2025-06-17T15:59:44.467;538323953318546816;-152902;-172380;-160697;-471120;
2025-06-17T15:59:44.485;538323953336740224;-152969;-172342;-160694;-471146;
2025-06-17T15:59:44.503;538323953354933568;-152960;-172375;-160668;-471094;
2025-06-17T15:59:44.522;538323953373126976;-152962;-172388;-160666;-471152;
2025-06-17T15:59:44.540;538323953391320320;-152965;-172397;-160744;-471120;
2025-06-17T15:59:44.558;538323953409513728;-152917;-172322;-160700;-471145;
2025-06-17T15:59:44.576;538323953427707072;-152925;-172263;-160642;-471138;
2025-06-17T15:59:44.594;538323953445900480;-152806;-172240;-160600;-471145;
2025-06-17T15:59:44.613;538323953464093824;-152704;-172123;-160529;-471132;
2025-06-17T15:59:44.631;538323953482287232;-152616;-172083;-160515;-471117;
2025-06-17T15:59:44.649;538323953500480576;-152592;-172018;-160453;-471094;
2025-06-17T15:59:44.667;538323953518673984;-152495;-171892;-160380;-471089;
2025-06-17T15:59:44.685;538323953536867392;-152391;-171823;-160342;-471087;
2025-06-17T15:59:44.704;538323953555060736;-152326;-171688;-160236;-471089;
2025-06-17T15:59:44.722;538323953573254144;-152262;-171662;-160158;-471161;
2025-06-17T15:59:44.740;538323953591447488;-152110;-171518;-160052;-471146;
2025-06-17T15:59:44.758;538323953609640896;-151910;-171399;-160023;-471172;
2025-06-17T15:59:44.776;538323953627834240;-151827;-171327;-159915;-471177;
2025-06-17T15:59:44.795;538323953646027648;-151677;-171182;-159767;-471153;
2025-06-17T15:59:44.813;538323953664220992;-151656;-171157;-159713;-471189;
2025-06-17T15:59:44.831;538323953682414400;-151708;-171182;-159746;-471117;
2025-06-17T15:59:44.849;538323953700607744;-151816;-171269;-159912;-471076;
2025-06-17T15:59:44.867;538323953718801152;-152035;-171442;-160155;-471090;
2025-06-17T15:59:44.886;538323953736994496;-152377;-171657;-160390;-471057;
2025-06-17T15:59:44.904;538323953755187874;-152666;-171913;-160688;-471093;
2025-06-17T15:59:44.922;538323953773379712;-152924;-172146;-160877;-471094;
2025-06-17T15:59:44.940;538323953791571520;-153216;-172358;-161125;-471150;
2025-06-17T15:59:44.958;538323953809763264;-153448;-172468;-161270;-471188;
2025-06-17T15:59:44.976;538323953827955072;-153505;-172523;-161337;-471102;
2025-06-17T15:59:44.995;538323953846146816;-153721;-172638;-161538;-471185;
2025-06-17T15:59:45.013;538323953864338624;-153800;-172663;-161643;-471124;
2025-06-17T15:59:45.031;538323953882530368;-153807;-172751;-161634;-471094;
2025-06-17T15:59:45.049;538323953900722176;-153868;-172804;-161711;-471122;
2025-06-17T15:59:45.067;538323953918913920;-153847;-172853;-161663;-471115;
2025-06-17T15:59:45.086;538323953937105728;-153807;-172730;-161679;-471100;
2025-06-17T15:59:45.104;538323953955297536;-153765;-172668;-161651;-471136;
2025-06-17T15:59:45.122;538323953973489280;-153855;-172730;-161717;-471085;
2025-06-17T15:59:45.140;538323953991681088;-153796;-172635;-161671;-471047;
2025-06-17T15:59:45.158;538323954009872832;-153774;-172622;-161639;-471085;
2025-06-17T15:59:45.177;538323954028064640;-153724;-172676;-161590;-471130;
2025-06-17T15:59:45.195;538323954046256384;-153730;-172638;-161611;-471138;
2025-06-17T15:59:45.213;538323954064448192;-153682;-172546;-161596;-471136;
2025-06-17T15:59:45.231;538323954082639936;-153653;-172448;-161521;-471078;
2025-06-17T15:59:45.249;538323954100831744;-153645;-172439;-161503;-471096;
2025-06-17T15:59:45.268;538323954119023552;-153502;-172399;-161456;-471095;
2025-06-17T15:59:45.286;538323954137215296;-153450;-172372;-161367;-471095;
2025-06-17T15:59:45.304;538323954155407104;-153392;-172276;-161342;-471098;
2025-06-17T15:59:45.322;538323954173598848;-153268;-172218;-161283;-471077;
2025-06-17T15:59:45.340;538323954191790656;-153229;-172132;-161255;-471091;
2025-06-17T15:59:45.359;538323954209982400;-153208;-172118;-161200;-471126;
2025-06-17T15:59:45.377;538323954228174208;-153064;-171918;-161070;-471117;
2025-06-17T15:59:45.395;538323954246366016;-152928;-171934;-160991;-471168;
2025-06-17T15:59:45.413;538323954264557760;-152805;-171825;-160881;-471107;
2025-06-17T15:59:45.431;538323954282749568;-152615;-171597;-160724;-471042;
2025-06-17T15:59:45.449;538323954300941312;-152460;-171515;-160659;-471106;
2025-06-17T15:59:45.468;538323954319133120;-152328;-171364;-160451;-471118;
2025-06-17T15:59:45.486;538323954337324864;-152167;-171167;-160317;-471106;
2025-06-17T15:59:45.504;538323954355516672;-152181;-171214;-160316;-471151;
2025-06-17T15:59:45.522;538323954373708416;-152252;-171256;-160437;-471116;
2025-06-17T15:59:45.540;538323954391900224;-152406;-171345;-160532;-471089;
