Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-12T16:26:35.937;803035600492032128;181154;82251;65182;-178878;
2025-06-12T16:26:35.955;803035600510213888;181307;82368;65342;-178876;
2025-06-12T16:26:35.973;803035600528395776;181364;82355;65335;-178891;
2025-06-12T16:26:35.991;803035600546577536;181457;82495;65421;-178877;
2025-06-12T16:26:36.009;803035600564759424;181525;82626;65549;-178846;
2025-06-12T16:26:36.027;803035600582941184;181545;82657;65597;-178863;
2025-06-12T16:26:36.046;803035600601123072;181642;82753;65629;-178845;
2025-06-12T16:26:36.064;803035600619304832;181740;82855;65676;-178824;
2025-06-12T16:26:36.082;803035600637486720;181867;82879;65758;-178824;
2025-06-12T16:26:36.100;803035600655668480;181955;83016;65832;-178818;
2025-06-12T16:26:36.118;803035600673850368;182073;83149;65950;-178853;
2025-06-12T16:26:36.137;803035600692032128;182111;83214;65955;-178854;
2025-06-12T16:26:36.155;803035600710213888;182224;83399;66134;-178856;
2025-06-12T16:26:36.173;803035600728395776;182324;83473;66191;-178864;
2025-06-12T16:26:36.191;803035600746577536;182504;83661;66336;-178824;
2025-06-12T16:26:36.209;803035600764759424;182570;83727;66412;-178855;
2025-06-12T16:26:36.227;803035600782941184;182615;83777;66475;-178872;
2025-06-12T16:26:36.246;803035600801123072;182734;83833;66514;-178819;
2025-06-12T16:26:36.264;803035600819304832;182750;83786;66433;-178887;
2025-06-12T16:26:36.282;803035600837486720;182628;83615;66182;-178878;
2025-06-12T16:26:36.300;803035600855668480;182420;83410;65983;-178823;
2025-06-12T16:26:36.318;803035600873850368;182149;83168;65624;-178845;
2025-06-12T16:26:36.337;803035600892032128;181903;83020;65372;-178855;
2025-06-12T16:26:36.355;803035600910213888;181674;82782;65076;-178905;
2025-06-12T16:26:36.373;803035600928395776;181450;82623;64906;-178897;
2025-06-12T16:26:36.391;803035600946577536;181261;82561;64774;-178839;
2025-06-12T16:26:36.409;803035600964759424;181160;82465;64646;-178814;
2025-06-12T16:26:36.427;803035600982941184;181081;82358;64494;-178798;
2025-06-12T16:26:36.446;803035601001123072;180933;82327;64468;-178839;
2025-06-12T16:26:36.464;803035601019304832;180869;82309;64438;-178809;
2025-06-12T16:26:36.482;803035601037486720;180733;82165;64334;-178862;
2025-06-12T16:26:36.500;803035601055668480;180697;82245;64301;-178894;
2025-06-12T16:26:36.518;803035601073850368;180699;82241;64340;-178942;
2025-06-12T16:26:36.537;803035601092032128;180676;82220;64330;-178914;
2025-06-12T16:26:36.555;803035601110213888;180769;82211;64319;-178879;
2025-06-12T16:26:36.573;803035601128395776;180703;82194;64289;-178879;
2025-06-12T16:26:36.591;803035601146577536;180645;82153;64275;-178865;
2025-06-12T16:26:36.609;803035601164759424;180662;82132;64207;-178878;
2025-06-12T16:26:36.627;803035601182941184;180611;82205;64223;-178912;
2025-06-12T16:26:36.646;803035601201123072;180642;82219;64276;-178880;
2025-06-12T16:26:36.664;803035601219304832;180663;82247;64299;-178892;
2025-06-12T16:26:36.682;803035601237486760;180749;82324;64342;-178842;
2025-06-12T16:26:36.700;803035601255740288;180750;82340;64391;-178822;
2025-06-12T16:26:36.718;803035601273993856;180814;82398;64463;-178822;
2025-06-12T16:26:36.737;803035601292247424;180899;82459;64571;-178811;
2025-06-12T16:26:36.755;803035601310500864;180908;82502;64562;-178845;
2025-06-12T16:26:36.773;803035601328754432;180965;82576;64615;-178864;
2025-06-12T16:26:36.791;803035601347008000;181127;82645;64681;-178866;
2025-06-12T16:26:36.810;803035601365261568;181141;82772;64858;-178854;
2025-06-12T16:26:36.828;803035601383515136;181197;82817;64868;-178879;
2025-06-12T16:26:36.846;803035601401768576;181243;82862;64922;-178880;
2025-06-12T16:26:36.864;803035601420022144;181279;82963;64931;-178922;
2025-06-12T16:26:36.883;803035601438275712;181418;83141;65068;-178933;
2025-06-12T16:26:36.901;803035601456529280;181438;83133;65165;-178873;
2025-06-12T16:26:36.919;803035601474782848;181552;83214;65261;-178911;
2025-06-12T16:26:36.938;803035601493036288;181649;83355;65317;-178928;
2025-06-12T16:26:36.956;803035601511289856;181773;83446;65460;-178926;
2025-06-12T16:26:36.974;803035601529543424;181938;83543;65568;-178921;
2025-06-12T16:26:36.992;803035601547796992;181960;83662;65634;-178940;
2025-06-12T16:26:37.011;803035601566050560;182086;83704;65746;-178886;
2025-06-12T16:26:37.029;803035601584304000;182220;83825;65855;-178887;
2025-06-12T16:26:37.047;803035601602557568;182266;83911;65988;-178917;
2025-06-12T16:26:37.065;803035601620811136;182399;83970;66069;-178895;
2025-06-12T16:26:37.084;803035601639064704;182496;84137;66205;-178871;
2025-06-12T16:26:37.102;803035601657318272;182648;84254;66325;-178860;
2025-06-12T16:26:37.120;803035601675571712;182731;84319;66447;-178857;
2025-06-12T16:26:37.138;803035601693825280;182889;84398;66594;-178923;
2025-06-12T16:26:37.157;803035601712078848;182931;84466;66608;-178888;
2025-06-12T16:26:37.175;803035601730332416;182860;84474;66549;-178929;
2025-06-12T16:26:37.193;803035601748585984;182708;84286;66294;-178938;
2025-06-12T16:26:37.211;803035601766839424;182589;84129;66060;-178897;
2025-06-12T16:26:37.230;803035601785092992;182306;83832;65769;-178918;
2025-06-12T16:26:37.248;803035601803346560;182063;83638;65507;-178890;
