Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-11T18:11:36.748;802955499328484992;-13526;-87739;-103371;-318114;
2025-06-11T18:11:36.766;802955499346666752;-13660;-87762;-103402;-318010;
2025-06-11T18:11:36.784;802955499364848640;-13671;-87854;-103443;-318067;
2025-06-11T18:11:36.802;802955499383030400;-13738;-87926;-103516;-318093;
2025-06-11T18:11:36.820;802955499401212288;-13792;-87929;-103538;-318091;
2025-06-11T18:11:36.838;802955499419394048;-13818;-87935;-103500;-318119;
2025-06-11T18:11:36.857;802955499437575936;-13814;-87894;-103521;-318124;
2025-06-11T18:11:36.875;802955499455757696;-13813;-87893;-103439;-318062;
2025-06-11T18:11:36.893;802955499473939584;-13781;-87931;-103488;-318045;
2025-06-11T18:11:36.911;802955499492121344;-13762;-87970;-103482;-318034;
2025-06-11T18:11:36.929;802955499510303232;-13823;-87989;-103463;-318025;
2025-06-11T18:11:36.948;802955499528484992;-13891;-87965;-103447;-318023;
2025-06-11T18:11:36.966;802955499546666752;-13861;-87914;-103389;-318057;
2025-06-11T18:11:36.984;802955499564848640;-13884;-87981;-103456;-318100;
2025-06-11T18:11:37.002;802955499583030400;-13804;-87965;-103533;-318053;
2025-06-11T18:11:37.020;802955499601212288;-13817;-87948;-103480;-318062;
2025-06-11T18:11:37.038;802955499619394048;-13789;-87949;-103437;-318042;
2025-06-11T18:11:37.057;802955499637575936;-13697;-87930;-103389;-318040;
2025-06-11T18:11:37.075;802955499655757696;-13810;-87903;-103382;-318119;
2025-06-11T18:11:37.093;802955499673939584;-13642;-87818;-103288;-318074;
2025-06-11T18:11:37.111;802955499692121344;-13631;-87787;-103293;-318090;
2025-06-11T18:11:37.129;802955499710303232;-13525;-87755;-103217;-318051;
2025-06-11T18:11:37.148;802955499728484992;-13494;-87683;-103174;-318101;
2025-06-11T18:11:37.166;802955499746666752;-13440;-87611;-103082;-318076;
2025-06-11T18:11:37.184;802955499764848640;-13377;-87578;-103062;-318055;
2025-06-11T18:11:37.202;802955499783030400;-13439;-87642;-103060;-318075;
2025-06-11T18:11:37.220;802955499801212288;-13445;-87658;-103104;-317991;
2025-06-11T18:11:37.238;802955499819394048;-13608;-87764;-103198;-317994;
2025-06-11T18:11:37.257;802955499837575936;-13801;-87840;-103345;-318025;
2025-06-11T18:11:37.275;802955499855757696;-13956;-88038;-103499;-318054;
2025-06-11T18:11:37.293;802955499873939584;-14191;-88243;-103619;-318078;
2025-06-11T18:11:37.311;802955499892121344;-14302;-88237;-103678;-318042;
2025-06-11T18:11:37.329;802955499910303232;-14430;-88322;-103729;-318039;
2025-06-11T18:11:37.348;802955499928484992;-14562;-88464;-103811;-318069;
2025-06-11T18:11:37.366;802955499946666752;-14672;-88545;-103882;-318093;
2025-06-11T18:11:37.384;802955499964848640;-14636;-88529;-103884;-318100;
2025-06-11T18:11:37.402;802955499983030400;-14682;-88552;-103897;-318134;
2025-06-11T18:11:37.420;802955500001212288;-14614;-88508;-103874;-318088;
2025-06-11T18:11:37.438;802955500019394048;-14629;-88501;-103870;-318050;
2025-06-11T18:11:37.457;802955500037575992;-14632;-88512;-103824;-317997;
2025-06-11T18:11:37.475;802955500055833984;-14665;-88551;-103906;-318053;
2025-06-11T18:11:37.493;802955500074092032;-14625;-88475;-103816;-318032;
2025-06-11T18:11:37.511;802955500092350208;-14691;-88532;-103834;-318079;
2025-06-11T18:11:37.530;802955500110608256;-14620;-88501;-103779;-318082;
2025-06-11T18:11:37.548;802955500128866432;-14668;-88485;-103736;-318137;
2025-06-11T18:11:37.566;802955500147124480;-14613;-88394;-103706;-318034;
2025-06-11T18:11:37.584;802955500165382656;-14620;-88409;-103685;-318124;
2025-06-11T18:11:37.603;802955500183640704;-14619;-88437;-103706;-318108;
2025-06-11T18:11:37.621;802955500201898752;-14566;-88327;-103604;-318095;
2025-06-11T18:11:37.639;802955500220156928;-14497;-88311;-103544;-318063;
2025-06-11T18:11:37.657;802955500238414976;-14469;-88301;-103569;-318023;
2025-06-11T18:11:37.676;802955500256673152;-14357;-88280;-103484;-318025;
2025-06-11T18:11:37.694;802955500274931200;-14337;-88207;-103446;-318103;
2025-06-11T18:11:37.712;802955500293189376;-14210;-88186;-103382;-318062;
2025-06-11T18:11:37.730;802955500311447424;-14173;-88187;-103423;-318108;
2025-06-11T18:11:37.749;802955500329705472;-14062;-88053;-103254;-318020;
2025-06-11T18:11:37.767;802955500347963648;-14099;-88028;-103267;-318016;
2025-06-11T18:11:37.785;802955500366221696;-14002;-88007;-103200;-317979;
2025-06-11T18:11:37.803;802955500384479872;-14035;-87939;-103222;-318068;
2025-06-11T18:11:37.822;802955500402737920;-14070;-87981;-103239;-318027;
2025-06-11T18:11:37.840;802955500420996096;-14257;-88081;-103301;-318088;
2025-06-11T18:11:37.858;802955500439254144;-14331;-88139;-103415;-317998;
2025-06-11T18:11:37.877;802955500457512192;-14496;-88269;-103534;-318000;
2025-06-11T18:11:37.895;802955500475770368;-14676;-88371;-103621;-318019;
2025-06-11T18:11:37.913;802955500494028416;-14826;-88500;-103726;-318050;
2025-06-11T18:11:37.931;802955500512286592;-14950;-88633;-103855;-318057;
2025-06-11T18:11:37.950;802955500530544640;-15036;-88706;-103900;-318069;
2025-06-11T18:11:37.968;802955500548802816;-15081;-88706;-103868;-318061;
2025-06-11T18:11:37.986;802955500567060864;-15084;-88759;-103919;-318078;
2025-06-11T18:11:38.004;802955500585319040;-15084;-88702;-103902;-318078;
2025-06-11T18:11:38.023;802955500603577088;-15074;-88711;-103853;-318032;
2025-06-11T18:11:38.041;802955500621835136;-15089;-88683;-103851;-318018;
2025-06-11T18:11:38.059;802955500640093312;-15021;-88588;-103845;-318065;
2025-06-11T18:11:38.077;802955500658351360;-14983;-88555;-103792;-318023;
2025-06-11T18:11:38.096;802955500676609536;-15035;-88636;-103850;-318039;
2025-06-11T18:11:38.114;802955500694867584;-14987;-88655;-103801;-318097;
2025-06-11T18:11:38.132;802955500713125760;-14983;-88547;-103743;-318092;
2025-06-11T18:11:38.150;802955500731383808;-14971;-88563;-103744;-318080;
2025-06-11T18:11:38.169;802955500749641856;-14933;-88502;-103635;-318099;
2025-06-11T18:11:38.187;802955500767900032;-14843;-88447;-103644;-318054;
2025-06-11T18:11:38.205;802955500786158080;-14847;-88410;-103574;-318072;
2025-06-11T18:11:38.223;802955500804416256;-14789;-88382;-103524;-318053;
2025-06-11T18:11:38.242;802955500822674429;-14695;-88312;-103426;-317999;
2025-06-11T18:11:38.260;802955500840930432;-14749;-88295;-103443;-317999;
2025-06-11T18:11:38.278;802955500859186432;-14638;-88260;-103411;-318055;
2025-06-11T18:11:38.296;802955500877442304;-14553;-88172;-103385;-318090;
2025-06-11T18:11:38.315;802955500895698304;-14376;-88101;-103236;-318052;
2025-06-11T18:11:38.333;802955500913954176;-14360;-88056;-103189;-318072;
2025-06-11T18:11:38.351;802955500932210176;-14257;-87955;-103122;-318073;
2025-06-11T18:11:38.369;802955500950466048;-14150;-87889;-103040;-318062;
2025-06-11T18:11:38.388;802955500968722048;-14132;-87835;-102989;-318021;
2025-06-11T18:11:38.406;802955500986977920;-14104;-87837;-103049;-318009;
2025-06-11T18:11:38.424;802955501005233920;-14190;-87840;-103064;-317993;
2025-06-11T18:11:38.443;802955501023489792;-14302;-87982;-103130;-318021;
2025-06-11T18:11:38.461;802955501041745792;-14393;-88056;-103200;-318048;
2025-06-11T18:11:38.479;802955501060001664;-14563;-88191;-103279;-318079;
2025-06-11T18:11:38.497;802955501078257664;-14642;-88265;-103338;-317977;
2025-06-11T18:11:38.516;802955501096513536;-14788;-88343;-103481;-318091;
2025-06-11T18:11:38.534;802955501114769536;-14850;-88408;-103542;-318056;
2025-06-11T18:11:38.552;802955501133025536;-14864;-88448;-103519;-318060;
2025-06-11T18:11:38.570;802955501151281408;-14941;-88472;-103543;-318020;
2025-06-11T18:11:38.589;802955501169537408;-15013;-88448;-103582;-318030;
2025-06-11T18:11:38.607;802955501187793280;-15019;-88390;-103499;-318024;
2025-06-11T18:11:38.625;802955501206049280;-14889;-88293;-103459;-317956;
2025-06-11T18:11:38.643;802955501224305152;-14928;-88325;-103446;-318019;
2025-06-11T18:11:38.662;802955501242561152;-14822;-88352;-103399;-318036;
2025-06-11T18:11:38.680;802955501260817024;-14877;-88269;-103361;-318009;
2025-06-11T18:11:38.698;802955501279073024;-14794;-88244;-103287;-318037;
2025-06-11T18:11:38.716;802955501297328896;-14868;-88224;-103353;-318106;
2025-06-11T18:11:38.735;802955501315584896;-14707;-88152;-103312;-318068;
2025-06-11T18:11:38.753;802955501333840768;-14685;-88138;-103322;-318086;
2025-06-11T18:11:38.771;802955501352096768;-14574;-88083;-103211;-318071;
2025-06-11T18:11:38.789;802955501370352640;-14578;-88074;-103212;-318076;
2025-06-11T18:11:38.808;802955501388608640;-14497;-88039;-103123;-318039;
2025-06-11T18:11:38.826;802955501406864640;-14432;-87945;-102988;-318061;
2025-06-11T18:11:38.844;802955501425120512;-14407;-87896;-102980;-318053;
2025-06-11T18:11:38.862;802955501443376512;-14331;-87857;-102951;-318052;
2025-06-11T18:11:38.881;802955501461632384;-14181;-87759;-102860;-318071;
2025-06-11T18:11:38.899;802955501479888384;-14108;-87700;-102857;-318049;
2025-06-11T18:11:38.917;802955501498144256;-14055;-87590;-102726;-318077;
2025-06-11T18:11:38.935;802955501516400256;-13910;-87563;-102578;-318060;
2025-06-11T18:11:38.954;802955501534656128;-13747;-87446;-102490;-318105;
2025-06-11T18:11:38.972;802955501552912128;-13680;-87365;-102447;-318071;
2025-06-11T18:11:38.990;802955501571168000;-13588;-87359;-102400;-318067;
2025-06-11T18:11:39.008;802955501589423919;-13523;-87222;-102307;-318112;
2025-06-11T18:11:39.027;802955501607681280;-13517;-87152;-102256;-318084;
2025-06-11T18:11:39.045;802955501625938688;-13538;-87206;-102333;-318082;
2025-06-11T18:11:39.063;802955501644196096;-13588;-87299;-102414;-318043;
2025-06-11T18:11:39.081;802955501662453504;-13656;-87333;-102439;-318052;
2025-06-11T18:11:39.100;802955501680710912;-13740;-87386;-102560;-318024;
2025-06-11T18:11:39.118;802955501698968192;-13937;-87508;-102669;-318075;
2025-06-11T18:11:39.136;802955501717225600;-14039;-87494;-102656;-318040;
2025-06-11T18:11:39.154;802955501735483008;-14030;-87590;-102623;-318000;
2025-06-11T18:11:39.173;802955501753740416;-14167;-87580;-102710;-318107;
2025-06-11T18:11:39.191;802955501771997824;-14157;-87633;-102699;-318106;
2025-06-11T18:11:39.209;802955501790255232;-14088;-87622;-102758;-318102;
2025-06-11T18:11:39.228;802955501808512640;-14079;-87577;-102658;-318085;
2025-06-11T18:11:39.246;802955501826770048;-14026;-87474;-102625;-318111;
2025-06-11T18:11:39.264;802955501845027456;-13984;-87408;-102554;-318111;
2025-06-11T18:11:39.282;802955501863284736;-13894;-87442;-102538;-318088;
2025-06-11T18:11:39.301;802955501881542144;-13845;-87405;-102542;-318086;
2025-06-11T18:11:39.319;802955501899799552;-13848;-87373;-102481;-318146;
2025-06-11T18:11:39.337;802955501918056960;-13763;-87326;-102436;-318063;
2025-06-11T18:11:39.355;802955501936314368;-13614;-87291;-102330;-318083;
2025-06-11T18:11:39.374;802955501954571776;-13618;-87241;-102283;-318096;
2025-06-11T18:11:39.392;802955501972829184;-13550;-87179;-102262;-318041;
2025-06-11T18:11:39.410;802955501991086592;-13570;-87077;-102213;-318062;
2025-06-11T18:11:39.428;802955502009344000;-13452;-87017;-102075;-318038;
2025-06-11T18:11:39.447;802955502027601280;-13367;-86963;-102038;-318028;
2025-06-11T18:11:39.465;802955502045858688;-13277;-86934;-101994;-317993;
2025-06-11T18:11:39.483;802955502064116096;-13195;-86873;-101990;-318056;
2025-06-11T18:11:39.501;802955502082373504;-13126;-86796;-101872;-318040;
2025-06-11T18:11:39.520;802955502100630912;-12991;-86636;-101752;-318022;
2025-06-11T18:11:39.538;802955502118888320;-12900;-86620;-101696;-318072;
2025-06-11T18:11:39.556;802955502137145728;-12825;-86545;-101667;-318021;
2025-06-11T18:11:39.574;802955502155403136;-12668;-86391;-101515;-318040;
2025-06-11T18:11:39.593;802955502173660416;-12555;-86343;-101454;-318025;
2025-06-11T18:11:39.611;802955502191917824;-12445;-86216;-101332;-318026;
2025-06-11T18:11:39.629;802955502210175232;-12433;-86207;-101324;-318060;
2025-06-11T18:11:39.647;802955502228432640;-12460;-86273;-101354;-318050;
2025-06-11T18:11:39.666;802955502246690048;-12473;-86226;-101359;-318110;
2025-06-11T18:11:39.684;802955502264947456;-12544;-86316;-101366;-318069;
2025-06-11T18:11:39.702;802955502283204864;-12610;-86353;-101443;-318108;
2025-06-11T18:11:39.720;802955502301462272;-12703;-86431;-101526;-318121;
2025-06-11T18:11:39.739;802955502319719680;-12820;-86531;-101590;-318141;
2025-06-11T18:11:39.757;802955502337976960;-12822;-86555;-101622;-318044;
2025-06-11T18:11:39.775;802955502356234368;-12905;-86551;-101647;-318129;
2025-06-11T18:11:39.794;802955502374491838;-12874;-86599;-101633;-318138;
2025-06-11T18:11:39.812;802955502392749184;-12801;-86609;-101631;-318052;
2025-06-11T18:11:39.830;802955502411006592;-12733;-86520;-101569;-318080;
2025-06-11T18:11:39.848;802955502429264000;-12773;-86515;-101525;-318067;
2025-06-11T18:11:39.867;802955502447521408;-12699;-86397;-101432;-318061;
2025-06-11T18:11:39.885;802955502465778816;-12644;-86402;-101377;-318112;
2025-06-11T18:11:39.903;802955502484036096;-12509;-86325;-101342;-318050;
2025-06-11T18:11:39.921;802955502502293504;-12544;-86299;-101312;-318175;
2025-06-11T18:11:39.940;802955502520550912;-12411;-86250;-101300;-318127;
2025-06-11T18:11:39.958;802955502538808320;-12371;-86197;-101232;-318066;
2025-06-11T18:11:39.976;802955502557065728;-12339;-86139;-101188;-318085;
2025-06-11T18:11:39.994;802955502575323136;-12253;-86047;-101152;-318099;
2025-06-11T18:11:40.013;802955502593580544;-12189;-85998;-101160;-318040;
2025-06-11T18:11:40.031;802955502611837952;-12123;-85990;-101133;-318041;
2025-06-11T18:11:40.049;802955502630095360;-12061;-85934;-101073;-318050;
2025-06-11T18:11:40.067;802955502648352640;-11943;-85898;-100953;-318036;
2025-06-11T18:11:40.086;802955502666610048;-11929;-85880;-100886;-318118;
2025-06-11T18:11:40.104;802955502684867456;-11813;-85788;-100855;-318137;
2025-06-11T18:11:40.122;802955502703124864;-11716;-85636;-100711;-318090;
2025-06-11T18:11:40.140;802955502721382272;-11622;-85607;-100702;-318168;
2025-06-11T18:11:40.159;802955502739639680;-11559;-85513;-100628;-318130;
2025-06-11T18:11:40.177;802955502757897088;-11392;-85448;-100549;-318118;
2025-06-11T18:11:40.195;802955502776154496;-11271;-85302;-100429;-318071;
2025-06-11T18:11:40.213;802955502794411904;-11154;-85217;-100379;-318048;
2025-06-11T18:11:40.232;802955502812669184;-11170;-85164;-100264;-318102;
