Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-16T11:53:53.014;538222803897100288;382099;304816;263908;1651;
2025-06-16T11:53:53.032;538222803915294208;381972;304694;263735;1670;
2025-06-16T11:53:53.051;538222803933488192;381884;304674;263621;1657;
2025-06-16T11:53:53.069;538222803951682112;381757;304603;263539;1670;
2025-06-16T11:53:53.087;538222803969876032;381564;304450;263402;1641;
2025-06-16T11:53:53.105;538222803988070013;381410;304372;263224;1703;
2025-06-16T11:53:53.123;538222804006264064;381177;304183;262973;1684;
2025-06-16T11:53:53.142;538222804024458112;381063;304088;262823;1582;
2025-06-16T11:53:53.160;538222804042652224;380912;304057;262813;1645;
2025-06-16T11:53:53.178;538222804060846272;380751;303970;262735;1581;
2025-06-16T11:53:53.196;538222804079040320;380614;303838;262721;1613;
2025-06-16T11:53:53.214;538222804097234432;380459;303687;262621;1646;
2025-06-16T11:53:53.232;538222804115428480;380093;303547;262470;1632;
2025-06-16T11:53:53.251;538222804133622528;379779;303293;262281;1617;
2025-06-16T11:53:53.269;538222804151816640;379560;303126;262192;1665;
2025-06-16T11:53:53.287;538222804170010688;379261;302832;261910;1623;
2025-06-16T11:53:53.305;538222804188204736;379057;302658;261750;1629;
2025-06-16T11:53:53.323;538222804206398848;378770;302510;261593;1633;
2025-06-16T11:53:53.342;538222804224592896;378456;302288;261431;1656;
2025-06-16T11:53:53.360;538222804242786944;378234;302144;261336;1655;
2025-06-16T11:53:53.378;538222804260981056;378091;302105;261221;1631;
2025-06-16T11:53:53.396;538222804279175104;377935;302026;261171;1596;
2025-06-16T11:53:53.414;538222804297369152;377845;302000;261231;1650;
2025-06-16T11:53:53.433;538222804315563264;377766;302001;261282;1653;
2025-06-16T11:53:53.451;538222804333757312;377627;301944;261266;1631;
2025-06-16T11:53:53.469;538222804351951360;377554;301853;261121;1624;
2025-06-16T11:53:53.487;538222804370145472;377413;301785;261114;1652;
2025-06-16T11:53:53.505;538222804388339520;377206;301649;261067;1697;
2025-06-16T11:53:53.524;538222804406533568;377002;301569;260962;1597;
2025-06-16T11:53:53.542;538222804424727680;376972;301516;260993;1633;
2025-06-16T11:53:53.560;538222804442921728;376862;301412;260905;1613;
2025-06-16T11:53:53.578;538222804461115776;376786;301334;260835;1603;
2025-06-16T11:53:53.596;538222804479309824;376724;301336;260809;1595;
2025-06-16T11:53:53.615;538222804497503936;376681;301303;260817;1662;
2025-06-16T11:53:53.633;538222804515697984;376651;301270;260795;1674;
2025-06-16T11:53:53.651;538222804533892032;376610;301275;260824;1674;
2025-06-16T11:53:53.669;538222804552086144;376507;301229;260745;1612;
2025-06-16T11:53:53.687;538222804570280192;376478;301191;260728;1635;
2025-06-16T11:53:53.706;538222804588474240;376447;301197;260729;1610;
2025-06-16T11:53:53.724;538222804606668352;376535;301269;260734;1641;
2025-06-16T11:53:53.742;538222804624862400;376571;301277;260817;1572;
2025-06-16T11:53:53.760;538222804643056448;376644;301321;260835;1595;
2025-06-16T11:53:53.778;538222804661250560;376815;301479;261059;1649;
2025-06-16T11:53:53.797;538222804679444608;377042;301576;261170;1621;
2025-06-16T11:53:53.815;538222804697638656;377204;301758;261286;1593;
2025-06-16T11:53:53.833;538222804715832768;377393;301959;261424;1590;
2025-06-16T11:53:53.851;538222804734026816;377613;302111;261653;1572;
2025-06-16T11:53:53.869;538222804752220907;377837;302274;261918;1583;
2025-06-16T11:53:53.887;538222804770414976;378092;302426;262107;1595;
2025-06-16T11:53:53.906;538222804788609024;378241;302537;262214;1572;
2025-06-16T11:53:53.924;538222804806803072;378447;302747;262302;1621;
2025-06-16T11:53:53.942;538222804824997056;378690;302902;262508;1638;
2025-06-16T11:53:53.960;538222804843191104;378917;303154;262811;1652;
2025-06-16T11:53:53.978;538222804861385152;379231;303350;263006;1695;
2025-06-16T11:53:53.997;538222804879579200;379415;303482;263150;1624;
2025-06-16T11:53:54.015;538222804897773184;379454;303608;263176;1593;
2025-06-16T11:53:54.033;538222804915967232;379573;303710;263306;1523;
2025-06-16T11:53:54.051;538222804934161280;379732;303836;263460;1616;
2025-06-16T11:53:54.069;538222804952355328;379862;303957;263557;1633;
