Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-18T10:33:52.000;538390801248751296;228609;160644;130962;-169959;
2025-06-18T10:33:52.018;538390801266947008;228774;160758;130964;-169968;
2025-06-18T10:33:52.037;538390801285142720;228999;160951;131121;-169891;
2025-06-18T10:33:52.055;538390801303338432;229079;161064;131049;-169928;
2025-06-18T10:33:52.073;538390801321534125;229200;161062;130948;-169954;
2025-06-18T10:33:52.091;538390801339730240;229121;161018;130852;-169973;
2025-06-18T10:33:52.109;538390801357926336;229138;160997;130699;-169897;
2025-06-18T10:33:52.128;538390801376122368;229018;160873;130502;-169916;
2025-06-18T10:33:52.146;538390801394318464;228924;160688;130276;-169896;
2025-06-18T10:33:52.164;538390801412514496;228816;160606;130054;-169891;
2025-06-18T10:33:52.182;538390801430710592;228768;160539;129833;-169899;
2025-06-18T10:33:52.200;538390801448906624;228714;160391;129541;-169953;
2025-06-18T10:33:52.219;538390801467102720;228513;160328;129398;-169923;
2025-06-18T10:33:52.237;538390801485298752;228514;160277;129343;-169928;
2025-06-18T10:33:52.255;538390801503494848;228440;160174;129218;-169829;
2025-06-18T10:33:52.273;538390801521690880;228462;160191;129152;-169899;
2025-06-18T10:33:52.291;538390801539886976;228391;160034;128945;-169940;
2025-06-18T10:33:52.310;538390801558083072;228339;160001;128733;-169901;
2025-06-18T10:33:52.328;538390801576279104;228298;159923;128578;-169890;
2025-06-18T10:33:52.346;538390801594475200;228154;159831;128522;-169907;
2025-06-18T10:33:52.364;538390801612671232;228064;159678;128359;-169911;
2025-06-18T10:33:52.382;538390801630867328;227980;159608;128347;-169864;
2025-06-18T10:33:52.401;538390801649063360;227831;159468;128232;-169926;
2025-06-18T10:33:52.419;538390801667259456;227722;159411;128272;-169954;
2025-06-18T10:33:52.437;538390801685455488;227623;159469;128376;-169942;
2025-06-18T10:33:52.455;538390801703651584;227525;159453;128407;-169959;
2025-06-18T10:33:52.473;538390801721847616;227412;159360;128503;-169988;
2025-06-18T10:33:52.492;538390801740043712;227457;159447;128702;-169939;
2025-06-18T10:33:52.510;538390801758239808;227393;159376;128804;-169919;
2025-06-18T10:33:52.528;538390801776435840;227338;159436;128977;-169892;
2025-06-18T10:33:52.546;538390801794631936;227327;159421;129147;-169896;
2025-06-18T10:33:52.564;538390801812827968;227296;159447;129325;-169902;
2025-06-18T10:33:52.582;538390801831024064;227256;159508;129479;-169954;
2025-06-18T10:33:52.601;538390801849220096;227395;159546;129728;-169895;
2025-06-18T10:33:52.619;538390801867416192;227353;159589;129818;-169931;
2025-06-18T10:33:52.637;538390801885612224;227413;159571;129928;-169880;
2025-06-18T10:33:52.655;538390801903808320;227422;159626;130171;-169865;
2025-06-18T10:33:52.673;538390801922004352;227450;159683;130307;-169866;
2025-06-18T10:33:52.692;538390801940200448;227463;159663;130388;-169970;
2025-06-18T10:33:52.710;538390801958396480;227671;159695;130605;-169903;
2025-06-18T10:33:52.728;538390801976592576;227709;159714;130668;-169956;
2025-06-18T10:33:52.746;538390801994788672;227780;159771;130813;-169870;
2025-06-18T10:33:52.764;538390802012984704;227788;159761;130794;-169899;
2025-06-18T10:33:52.783;538390802031180800;227934;159815;130951;-169883;
2025-06-18T10:33:52.801;538390802049376832;227980;159815;131043;-169879;
2025-06-18T10:33:52.819;538390802067572928;228174;159968;131275;-169941;
2025-06-18T10:33:52.837;538390802085768931;228274;160013;131402;-169947;
2025-06-18T10:33:52.855;538390802103964032;228326;160037;131455;-169879;
