Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-18T17:17:39.232;538415026740094016;44234;-9464;-12241;-169954;
2025-06-18T17:17:39.250;538415026758275840;44164;-9538;-12329;-169956;
2025-06-18T17:17:39.268;538415026776457664;44079;-9629;-12418;-169958;
2025-06-18T17:17:39.286;538415026794639488;44039;-9686;-12408;-169882;
2025-06-18T17:17:39.304;538415026812821312;43927;-9808;-12476;-169931;
2025-06-18T17:17:39.322;538415026831003136;43827;-9895;-12548;-169900;
2025-06-18T17:17:39.341;538415026849184896;43695;-10036;-12668;-169946;
2025-06-18T17:17:39.359;538415026867366720;43523;-10100;-12755;-169942;
2025-06-18T17:17:39.377;538415026885548544;43315;-10181;-12896;-169950;
2025-06-18T17:17:39.395;538415026903730368;43183;-10428;-13036;-169970;
2025-06-18T17:17:39.413;538415026921912192;42991;-10541;-13177;-169908;
2025-06-18T17:17:39.432;538415026940094016;42815;-10554;-13284;-169878;
2025-06-18T17:17:39.450;538415026958275840;42590;-10787;-13480;-169930;
2025-06-18T17:17:39.468;538415026976457664;42448;-10859;-13540;-169915;
2025-06-18T17:17:39.486;538415026994639488;42242;-10936;-13666;-169937;
2025-06-18T17:17:39.504;538415027012821312;42173;-11043;-13719;-169885;
2025-06-18T17:17:39.522;538415027031003136;42028;-11173;-13831;-169943;
2025-06-18T17:17:39.541;538415027049184896;41970;-11204;-13913;-169923;
2025-06-18T17:17:39.559;538415027067366720;41848;-11329;-13937;-169895;
2025-06-18T17:17:39.577;538415027085548544;41745;-11386;-14019;-169954;
2025-06-18T17:17:39.595;538415027103730368;41666;-11462;-14105;-169946;
2025-06-18T17:17:39.613;538415027121912192;41572;-11489;-14121;-169918;
2025-06-18T17:17:39.632;538415027140094016;41503;-11564;-14225;-169936;
2025-06-18T17:17:39.650;538415027158275840;41507;-11597;-14231;-169896;
2025-06-18T17:17:39.668;538415027176457664;41515;-11594;-14271;-169854;
2025-06-18T17:17:39.686;538415027194639488;41412;-11680;-14330;-169896;
2025-06-18T17:17:39.704;538415027212821312;41380;-11778;-14353;-169919;
2025-06-18T17:17:39.722;538415027231003136;41311;-11782;-14360;-169897;
2025-06-18T17:17:39.741;538415027249184896;41312;-11753;-14424;-169922;
2025-06-18T17:17:39.759;538415027267366720;41344;-11770;-14447;-169905;
2025-06-18T17:17:39.777;538415027285548544;41399;-11752;-14423;-169966;
2025-06-18T17:17:39.795;538415027303730368;41428;-11748;-14354;-169899;
2025-06-18T17:17:39.813;538415027321912192;41429;-11731;-14412;-169911;
2025-06-18T17:17:39.832;538415027340094016;41481;-11710;-14367;-169966;
2025-06-18T17:17:39.850;538415027358275840;41532;-11712;-14388;-169923;
2025-06-18T17:17:39.868;538415027376457664;41609;-11615;-14319;-169989;
2025-06-18T17:17:39.886;538415027394639488;41749;-11572;-14213;-169981;
2025-06-18T17:17:39.904;538415027412821312;41759;-11541;-14183;-169980;
2025-06-18T17:17:39.922;538415027431003136;41710;-11504;-14216;-170001;
2025-06-18T17:17:39.941;538415027449184896;41728;-11462;-14200;-169963;
2025-06-18T17:17:39.959;538415027467366720;41632;-11555;-14280;-169952;
2025-06-18T17:17:39.977;538415027485548544;41608;-11599;-14288;-170020;
2025-06-18T17:17:39.995;538415027503730361;41594;-11557;-14223;-169929;
2025-06-18T17:17:40.013;538415027521926720;41470;-11633;-14312;-169943;
2025-06-18T17:17:40.032;538415027540123072;41461;-11671;-14337;-169946;
2025-06-18T17:17:40.050;538415027558319424;41476;-11597;-14292;-169970;
2025-06-18T17:17:40.068;538415027576515776;41554;-11602;-14182;-169875;
2025-06-18T17:17:40.086;538415027594712128;41490;-11678;-14195;-169925;
2025-06-18T17:17:40.104;538415027612908480;41511;-11615;-14239;-169953;
2025-06-18T17:17:40.123;538415027631104896;41533;-11586;-14185;-169902;
2025-06-18T17:17:40.141;538415027649301248;41612;-11552;-14193;-169959;
2025-06-18T17:17:40.159;538415027667497600;41655;-11491;-14080;-169947;
2025-06-18T17:17:40.177;538415027685693952;41643;-11507;-14134;-169957;
2025-06-18T17:17:40.195;538415027703890304;41681;-11461;-14109;-169954;
2025-06-18T17:17:40.213;538415027722086656;41783;-11458;-14053;-169924;
2025-06-18T17:17:40.232;538415027740283008;41737;-11483;-14109;-170011;
2025-06-18T17:17:40.250;538415027758479360;41858;-11442;-14003;-169870;
2025-06-18T17:17:40.268;538415027776675712;41940;-11369;-13965;-169885;
2025-06-18T17:17:40.286;538415027794872064;42166;-11116;-13677;-169692;
2025-06-18T17:17:40.304;538415027813068416;42055;-11187;-13821;-169809;
2025-06-18T17:17:40.323;538415027831264768;42062;-11257;-13830;-169923;
2025-06-18T17:17:40.341;538415027849461184;42110;-11206;-13829;-169959;
2025-06-18T17:17:40.359;538415027867657536;42198;-11191;-13817;-170018;
2025-06-18T17:17:40.377;538415027885853888;42247;-11110;-13718;-169947;
