Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-13T16:48:59.504;803123341586017792;-319030;-361001;-373400;-502651;
2025-06-13T16:48:59.522;803123341604199552;-318978;-360916;-373435;-502622;
2025-06-13T16:48:59.540;803123341622381440;-318971;-360874;-373389;-502623;
2025-06-13T16:48:59.558;803123341640563200;-318899;-360849;-373352;-502655;
2025-06-13T16:48:59.576;803123341658745088;-318813;-360799;-373296;-502651;
2025-06-13T16:48:59.594;803123341676926848;-318694;-360713;-373142;-502678;
2025-06-13T16:48:59.613;803123341695108736;-318698;-360650;-373169;-502681;
2025-06-13T16:48:59.631;803123341713290496;-318636;-360638;-373127;-502709;
2025-06-13T16:48:59.649;803123341731472384;-318515;-360544;-373059;-502651;
2025-06-13T16:48:59.667;803123341749654144;-318470;-360523;-373013;-502591;
2025-06-13T16:48:59.685;803123341767836032;-318404;-360389;-372957;-502611;
2025-06-13T16:48:59.704;803123341786017792;-318275;-360340;-372847;-502576;
2025-06-13T16:48:59.722;803123341804199552;-318159;-360294;-372770;-502588;
2025-06-13T16:48:59.740;803123341822381440;-318083;-360206;-372727;-502632;
2025-06-13T16:48:59.758;803123341840563200;-317942;-360105;-372683;-502649;
2025-06-13T16:48:59.776;803123341858745088;-317765;-359947;-372572;-502643;
2025-06-13T16:48:59.794;803123341876926848;-317618;-359792;-372422;-502635;
2025-06-13T16:48:59.813;803123341895108736;-317495;-359701;-372332;-502607;
2025-06-13T16:48:59.831;803123341913290496;-317409;-359616;-372278;-502660;
2025-06-13T16:48:59.849;803123341931472384;-317434;-359749;-372364;-502620;
2025-06-13T16:48:59.867;803123341949654144;-317635;-359872;-372450;-502630;
2025-06-13T16:48:59.885;803123341967836032;-317914;-360108;-372653;-502592;
2025-06-13T16:48:59.904;803123341986017792;-318247;-360356;-372871;-502636;
2025-06-13T16:48:59.922;803123342004199552;-318613;-360603;-373132;-502667;
2025-06-13T16:48:59.940;803123342022381440;-318834;-360844;-373306;-502615;
2025-06-13T16:48:59.958;803123342040563200;-319055;-361069;-373433;-502667;
2025-06-13T16:48:59.976;803123342058745088;-319168;-361113;-373511;-502616;
2025-06-13T16:48:59.994;803123342076926848;-319278;-361153;-373555;-502601;
2025-06-13T16:49:00.013;803123342095108736;-319370;-361254;-373654;-502695;
2025-06-13T16:49:00.031;803123342113290496;-319328;-361238;-373623;-502667;
2025-06-13T16:49:00.049;803123342131472384;-319346;-361205;-373532;-502643;
2025-06-13T16:49:00.067;803123342149654144;-319242;-361182;-373542;-502656;
2025-06-13T16:49:00.085;803123342167836032;-319193;-361174;-373422;-502681;
2025-06-13T16:49:00.104;803123342186017792;-319098;-361150;-373392;-502706;
2025-06-13T16:49:00.122;803123342204199552;-319029;-361056;-373320;-502642;
2025-06-13T16:49:00.140;803123342222381440;-319081;-361101;-373321;-502682;
2025-06-13T16:49:00.158;803123342240563200;-318940;-361070;-373324;-502655;
2025-06-13T16:49:00.176;803123342258745088;-318927;-361023;-373277;-502627;
2025-06-13T16:49:00.194;803123342276926848;-318862;-360970;-373239;-502671;
2025-06-13T16:49:00.213;803123342295108736;-318767;-360912;-373093;-502624;
2025-06-13T16:49:00.231;803123342313290496;-318733;-360866;-373138;-502639;
2025-06-13T16:49:00.249;803123342331472396;-318608;-360784;-373089;-502614;
2025-06-13T16:49:00.267;803123342349732096;-318511;-360770;-372931;-502655;
2025-06-13T16:49:00.285;803123342367991808;-318339;-360636;-372789;-502650;
2025-06-13T16:49:00.304;803123342386251520;-318255;-360576;-372777;-502669;
2025-06-13T16:49:00.322;803123342404511232;-318021;-360411;-372678;-502614;
2025-06-13T16:49:00.340;803123342422770944;-317880;-360318;-372532;-502608;
2025-06-13T16:49:00.359;803123342441030656;-317833;-360275;-372537;-502668;
2025-06-13T16:49:00.377;803123342459290368;-317640;-360171;-372343;-502622;
2025-06-13T16:49:00.395;803123342477550080;-317458;-360026;-372197;-502608;
2025-06-13T16:49:00.413;803123342495809792;-317242;-359922;-372139;-502620;
2025-06-13T16:49:00.432;803123342514069504;-317137;-359812;-372022;-502601;
2025-06-13T16:49:00.450;803123342532329344;-317174;-359892;-372089;-502635;
2025-06-13T16:49:00.468;803123342550589056;-317327;-359974;-372162;-502584;
2025-06-13T16:49:00.486;803123342568848768;-317555;-360230;-372365;-502622;
2025-06-13T16:49:00.505;803123342587108480;-317920;-360514;-372652;-502627;
2025-06-13T16:49:00.523;803123342605368192;-318324;-360810;-372838;-502590;
