lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
946.8700272905002,201.99295932007436,4.687638769577642,82.41801140134187,17.581988598658118,5.308232841942643,0.14285714285714285,0.21428571428571427,113,58.387675,88.387675,1,41
871.091447832252,218.19291655818887,3.992299390708885,79.96915005015344,20.030849949846544,5.385379609802322,0.13793103448275862,0.20689655172413793,117,59.387675,89.387675,2,43
734.9591046740114,208.14199737756206,3.531046660135687,77.93004409338717,22.069955906612844,5.33822052648135,0.13559322033898305,0.2033898305084746,119,60.387675,90.387675,3,44
695.292169604565,178.2598897778053,3.9004409262858974,79.59367299713759,20.406327002862408,5.1832425403797355,0.13793103448275862,0.20689655172413793,117,61.387675,91.387675,4,43
634.6061286505198,187.3050721707689,3.3880883272180675,77.21103301870012,22.78896698129989,5.232738689546635,0.13559322033898305,0.2033898305084746,119,62.387675,92.387675,5,44
506.4968848011021,173.89256795082053,2.9127000122532385,74.44220111768493,25.557798882315076,5.158437682958871,0.13793103448275862,0.20689655172413793,117,63.387675,93.387675,6,43
408.05447892735907,155.25729964129272,2.628246658096787,72.43847802440878,27.56152197559122,5.045083738331711,0.13793103448275862,0.20689655172413793,117,64.387675,94.387675,7,43
438.9969563443565,145.60586727869958,3.014967491001488,75.09319808339066,24.906801916609325,4.98090343219449,0.13793103448275862,0.20689655172413793,117,65.387675,95.387675,8,43
468.3951501244016,146.28032573664908,3.202037921132752,76.2020234284219,23.797976571578104,4.98552482008106,0.06896551724137931,0.20689655172413793,117,66.387675,96.387675,9,43
418.6997365541052,139.06295377522235,3.0108646852912404,75.06772034301657,24.932279656983418,4.934926735457958,0.13559322033898305,0.2033898305084746,118,67.387675,97.387675,10,43
433.67333347592574,161.3085372954954,2.688471055202087,72.8884953945989,27.111504605401088,5.083318911786911,0.06896551724137931,0.20689655172413793,116,68.387675,98.387675,11,42
