nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
39,804.4160747763074,638.9149999999972,912.7360000000095,78.1988179638597,51.12382304026715,50.45580451337062,60.526315789473685,26.31578947368421,6.5,58.319922000000005,88.319922,1
39,803.9479978532304,638.9149999999972,912.7360000000095,78.14871930909361,50.38598087460103,49.7557072199753,57.89473684210527,23.684210526315788,5.571428571428571,59.319922000000005,89.319922,2
38,800.7066542657316,638.9149999999972,912.7360000000095,77.79673332700075,50.66245617792701,49.9751516902704,54.054054054054056,24.324324324324326,4.75,60.319922000000005,90.319922,3
37,800.4745848614998,638.9149999999972,912.7360000000095,78.72737693970326,50.32524223114303,49.644670299872786,50.0,25.0,4.625,61.319922000000005,91.319922,4
38,797.6641747335657,638.9149999999972,912.7360000000095,79.45195100348323,50.7289006632746,50.06056485697834,48.64864864864865,27.027027027027028,4.75,62.319922000000005,92.319922,5
38,795.7426221019867,638.9149999999972,912.7360000000095,81.0872679562883,50.38745934516992,49.78996170823848,45.94594594594595,27.027027027027028,4.75,63.319922000000005,93.319922,6
38,790.9387536809339,638.9149999999972,912.7360000000095,83.7744640023819,50.3228714021373,49.69943324261945,45.94594594594595,27.027027027027028,5.428571428571429,64.319922,94.319922,7
38,787.5760694704079,638.9149999999972,912.7360000000095,85.80858288935272,50.18345865386188,49.69941338840032,45.94594594594595,27.027027027027028,6.333333333333333,65.319922,95.319922,8
39,780.0196830737308,638.9149999999972,912.7360000000095,88.41788789185986,46.37907509712286,45.80507852376485,42.10526315789473,23.684210526315788,6.5,66.319922,96.319922,9
39,778.6154779455254,638.9149999999972,912.7360000000095,89.65629120994353,42.666066144163615,42.322340917061005,39.473684210526315,21.052631578947366,6.5,67.319922,97.319922,10
39,774.8709138429613,638.9149999999972,912.7360000000095,90.08584818906635,42.29502161815756,42.01036493740078,36.84210526315789,21.052631578947366,6.5,68.319922,98.319922,11
