nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
36,856.4208797711829,693.8829999999996,1022.5650000000002,84.74145335477326,56.54969102790954,55.82381909580129,57.14285714285714,37.142857142857146,9.0,57.709773999999996,87.709774,1
36,857.9425742156272,693.8829999999996,1022.5650000000002,84.92913624897965,57.317417410570435,56.502298695192344,60.0,40.0,9.0,58.709773999999996,88.709774,2
37,858.937207344935,693.8829999999996,1022.5650000000002,84.28983605235642,57.899554628843795,57.09038420254521,61.111111111111114,41.66666666666667,12.333333333333334,59.709773999999996,89.709774,3
36,858.6022622090641,693.8829999999996,1022.5650000000002,85.65938485321985,58.79254617616614,57.947496605651864,62.857142857142854,42.857142857142854,9.0,60.709773999999996,90.709774,4
36,857.2685867644634,693.8829999999996,1022.5650000000002,86.4364684480376,59.083786648973756,58.24296321297973,65.71428571428571,42.857142857142854,9.0,61.709773999999996,91.709774,5
37,848.9046249600185,675.6239999999991,1022.5650000000002,93.88685243568723,58.73172350320599,58.22925178836865,63.888888888888886,41.66666666666667,12.333333333333334,62.709773999999996,92.709774,6
36,844.5879478755745,675.6239999999991,1022.5650000000002,97.47120682095722,58.55516626885273,57.750319463803066,62.857142857142854,40.0,12.0,63.709773999999996,93.709774,7
36,843.5734756533525,675.6239999999991,1022.5650000000002,98.29372638480504,58.59341608691491,57.75030139612039,62.857142857142854,40.0,12.0,64.709774,94.709774,8
36,846.1096145422415,675.6239999999991,1022.5650000000002,96.94352452292337,60.485310111954604,59.69710055198754,65.71428571428571,42.857142857142854,9.0,65.709774,95.709774,9
37,847.4240573924513,675.6239999999991,1022.5650000000002,93.97043203273043,58.56939318254271,57.75020048594224,61.111111111111114,38.88888888888889,9.25,66.709774,96.709774,10
36,849.1529756533525,675.6239999999991,1022.5650000000002,95.00602510623267,59.75362825853039,58.893818997047276,62.857142857142854,42.857142857142854,9.0,67.709774,97.709774,11
