Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;518160;522492;527651;373661;
2025-07-01 00:00:00.018256;518253;522608;527713;373670;
2025-07-01 00:00:00.036513;518215;522630;527688;373671;
2025-07-01 00:00:00.054769;518174;522591;527651;373618;
2025-07-01 00:00:00.073025;518162;522550;527655;373640;
2025-07-01 00:00:00.091281;518095;522447;527581;373604;
2025-07-01 00:00:00.109538;517940;522306;527377;373604;
2025-07-01 00:00:00.127794;517858;522254;527348;373672;
2025-07-01 00:00:00.146050;517817;522186;527272;373653;
2025-07-01 00:00:00.164306;517713;522108;527114;373596;
2025-07-01 00:00:00.182563;517635;522012;527137;373602;
2025-07-01 00:00:00.200819;517679;521958;527107;373610;
2025-07-01 00:00:00.219075;517669;521961;527084;373662;
2025-07-01 00:00:00.237331;517677;522007;527048;373611;
2025-07-01 00:00:00.255588;517650;521935;527064;373618;
2025-07-01 00:00:00.273844;517655;521848;527045;373647;
2025-07-01 00:00:00.292100;517643;521823;527010;373595;
2025-07-01 00:00:00.310356;517662;521939;527032;373676;
2025-07-01 00:00:00.328613;517569;521928;526995;373586;
2025-07-01 00:00:00.346869;517568;521849;526970;373528;
2025-07-01 00:00:00.365125;517662;521922;526988;373570;
2025-07-01 00:00:00.383381;517697;521921;527047;373608;
2025-07-01 00:00:00.401638;517636;521949;527018;373622;
2025-07-01 00:00:00.419894;517682;521976;527004;373632;
2025-07-01 00:00:00.438150;517639;521930;526990;373573;
2025-07-01 00:00:00.456406;517676;521951;527070;373609;
2025-07-01 00:00:00.474663;517642;521943;527049;373602;
2025-07-01 00:00:00.492919;517686;521979;527111;373627;
2025-07-01 00:00:00.511175;517715;521991;527134;373604;
2025-07-01 00:00:00.529431;517670;522080;527097;373541;
2025-07-01 00:00:00.547688;517682;522087;527154;373567;
2025-07-01 00:00:00.565944;517778;522127;527183;373652;
2025-07-01 00:00:00.584200;517875;522183;527235;373679;
2025-07-01 00:00:00.602456;517817;522239;527178;373619;
2025-07-01 00:00:00.620713;517847;522255;527251;373617;
2025-07-01 00:00:00.638969;517865;522259;527297;373580;
2025-07-01 00:00:00.657225;517900;522286;527335;373580;
2025-07-01 00:00:00.675481;518000;522439;527389;373627;
2025-07-01 00:00:00.693738;517989;522396;527379;373580;
2025-07-01 00:00:00.711994;518062;522442;527457;373572;
2025-07-01 00:00:00.730250;518133;522549;527541;373646;
