Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;58478;-3177;-2057;-169953;
2025-07-01 00:00:00.018197;58475;-3183;-2078;-169922;
2025-07-01 00:00:00.036394;58453;-3122;-2112;-169977;
2025-07-01 00:00:00.054591;58478;-3250;-2155;-169994;
2025-07-01 00:00:00.072788;58518;-3219;-2060;-169935;
2025-07-01 00:00:00.090985;58560;-3088;-2077;-169914;
2025-07-01 00:00:00.109182;58597;-3086;-2058;-169946;
2025-07-01 00:00:00.127379;58590;-3071;-2062;-169934;
2025-07-01 00:00:00.145576;58706;-3016;-2016;-169951;
2025-07-01 00:00:00.163773;58760;-2997;-1963;-169986;
2025-07-01 00:00:00.181970;58867;-2878;-1886;-169956;
2025-07-01 00:00:00.200167;58858;-2896;-1921;-170000;
2025-07-01 00:00:00.218364;58911;-2804;-1835;-169960;
2025-07-01 00:00:00.236561;58962;-2807;-1822;-169936;
2025-07-01 00:00:00.254758;58960;-2797;-1774;-169962;
2025-07-01 00:00:00.272955;58955;-2815;-1806;-169973;
2025-07-01 00:00:00.291152;58969;-2728;-1778;-169907;
2025-07-01 00:00:00.309349;59000;-2708;-1735;-169918;
2025-07-01 00:00:00.327546;58938;-2797;-1787;-169953;
2025-07-01 00:00:00.345743;59051;-2689;-1745;-169881;
2025-07-01 00:00:00.363940;58981;-2738;-1756;-169906;
2025-07-01 00:00:00.382137;59008;-2669;-1741;-169953;
2025-07-01 00:00:00.400334;59060;-2633;-1694;-169911;
2025-07-01 00:00:00.418531;59121;-2648;-1764;-169971;
2025-07-01 00:00:00.436728;59216;-2598;-1718;-169949;
2025-07-01 00:00:00.454925;59312;-2486;-1610;-169922;
2025-07-01 00:00:00.473122;59346;-2487;-1638;-169950;
2025-07-01 00:00:00.491319;59448;-2376;-1525;-169958;
2025-07-01 00:00:00.509516;59502;-2344;-1483;-169914;
2025-07-01 00:00:00.527713;59496;-2358;-1514;-169904;
2025-07-01 00:00:00.545910;59466;-2342;-1500;-169888;
2025-07-01 00:00:00.564107;59475;-2268;-1511;-169912;
2025-07-01 00:00:00.582304;59398;-2404;-1584;-169963;
2025-07-01 00:00:00.600501;59384;-2358;-1596;-169954;
2025-07-01 00:00:00.618698;59287;-2400;-1621;-169963;
2025-07-01 00:00:00.636895;59266;-2412;-1578;-169947;
2025-07-01 00:00:00.655092;59191;-2410;-1602;-169926;
2025-07-01 00:00:00.673289;59151;-2466;-1692;-169895;
2025-07-01 00:00:00.691486;59153;-2487;-1684;-169953;
2025-07-01 00:00:00.709683;59121;-2557;-1724;-169973;
2025-07-01 00:00:00.727880;59129;-2491;-1659;-169935;
2025-07-01 00:00:00.746077;59135;-2467;-1637;-169960;
2025-07-01 00:00:00.764274;59161;-2462;-1662;-169919;
2025-07-01 00:00:00.782471;59088;-2444;-1722;-169945;
2025-07-01 00:00:00.800668;59105;-2534;-1672;-169922;
2025-07-01 00:00:00.818865;59106;-2467;-1650;-169880;
2025-07-01 00:00:00.837062;59025;-2605;-1710;-169963;
2025-07-01 00:00:00.855259;59032;-2531;-1723;-169918;
2025-07-01 00:00:00.873456;58993;-2514;-1746;-169960;
2025-07-01 00:00:00.891653;58973;-2507;-1731;-169965;
2025-07-01 00:00:00.909850;58964;-2550;-1823;-169994;
2025-07-01 00:00:00.928047;59065;-2445;-1790;-170000;
2025-07-01 00:00:00.946244;59041;-2491;-1734;-169962;
2025-07-01 00:00:00.964441;59044;-2455;-1756;-169992;
2025-07-01 00:00:00.982638;59136;-2411;-1656;-169899;
2025-07-01 00:00:01.000835;59179;-2321;-1653;-169928;
2025-07-01 00:00:01.019032;59236;-2326;-1630;-169929;
2025-07-01 00:00:01.037229;59273;-2292;-1619;-169956;
2025-07-01 00:00:01.055426;59344;-2239;-1536;-169911;
2025-07-01 00:00:01.073623;59390;-2209;-1558;-169935;
2025-07-01 00:00:01.091820;59472;-2196;-1509;-169924;
2025-07-01 00:00:01.110017;59428;-2208;-1510;-169972;
2025-07-01 00:00:01.128214;59432;-2155;-1542;-169885;
2025-07-01 00:00:01.146410;59278;-2260;-1597;-169924;
2025-07-01 00:00:01.164607;59189;-2345;-1656;-169940;
2025-07-01 00:00:01.182804;59141;-2404;-1743;-169950;
2025-07-01 00:00:01.201001;59067;-2370;-1757;-169936;
2025-07-01 00:00:01.219198;58969;-2450;-1860;-169960;
2025-07-01 00:00:01.237395;58944;-2469;-1944;-169938;
2025-07-01 00:00:01.255592;58840;-2528;-1972;-169974;
2025-07-01 00:00:01.273789;58810;-2555;-1875;-169946;
2025-07-01 00:00:01.291986;58751;-2571;-1929;-169906;
2025-07-01 00:00:01.310183;58780;-2532;-1860;-169939;
2025-07-01 00:00:01.328380;58681;-2545;-1957;-169966;
2025-07-01 00:00:01.346577;58661;-2628;-1966;-169945;
2025-07-01 00:00:01.364774;58674;-2618;-1979;-169897;
2025-07-01 00:00:01.382971;58661;-2625;-1984;-169929;
2025-07-01 00:00:01.401168;58594;-2634;-2035;-169962;
2025-07-01 00:00:01.419365;58665;-2619;-2011;-169902;
2025-07-01 00:00:01.437562;58640;-2664;-2024;-169916;
2025-07-01 00:00:01.455759;58599;-2644;-1960;-169954;
2025-07-01 00:00:01.473956;58633;-2616;-1982;-169917;
2025-07-01 00:00:01.492153;58639;-2589;-1965;-169967;
2025-07-01 00:00:01.510350;58691;-2540;-1928;-169948;
2025-07-01 00:00:01.528547;58714;-2542;-1897;-169936;
2025-07-01 00:00:01.546744;58763;-2538;-1899;-169947;
2025-07-01 00:00:01.564941;58850;-2489;-1833;-169896;
2025-07-01 00:00:01.583138;58875;-2426;-1807;-169920;
2025-07-01 00:00:01.601335;58945;-2417;-1822;-169971;
2025-07-01 00:00:01.619532;58993;-2368;-1804;-169979;
2025-07-01 00:00:01.637729;59077;-2300;-1728;-169950;
2025-07-01 00:00:01.655926;59161;-2244;-1651;-169902;
2025-07-01 00:00:01.674123;59173;-2255;-1645;-169952;
2025-07-01 00:00:01.692320;59091;-2267;-1718;-169919;
2025-07-01 00:00:01.710517;59044;-2340;-1765;-169914;
2025-07-01 00:00:01.728714;59039;-2285;-1755;-169928;
2025-07-01 00:00:01.746911;59010;-2323;-1790;-169926;
2025-07-01 00:00:01.765108;58889;-2350;-1824;-169913;
2025-07-01 00:00:01.783305;58843;-2368;-1797;-169955;
2025-07-01 00:00:01.801502;58794;-2395;-1849;-169956;
2025-07-01 00:00:01.819699;58803;-2380;-1788;-169888;
2025-07-01 00:00:01.837896;58722;-2388;-1854;-169921;
2025-07-01 00:00:01.856093;58710;-2287;-1821;-169931;
2025-07-01 00:00:01.874290;58722;-2355;-1842;-169931;
2025-07-01 00:00:01.892487;58719;-2371;-1865;-169922;
2025-07-01 00:00:01.910684;58735;-2349;-1828;-169936;
