Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;40187;-13939;-14579;-169918;
2025-07-01 00:00:00.018196;40119;-13894;-14572;-169864;
2025-07-01 00:00:00.036391;40006;-13983;-14676;-169918;
2025-07-01 00:00:00.054587;39978;-14033;-14699;-169892;
2025-07-01 00:00:00.072782;39966;-14037;-14721;-169937;
2025-07-01 00:00:00.090978;39951;-13982;-14700;-169907;
2025-07-01 00:00:00.109174;39922;-14034;-14722;-169920;
2025-07-01 00:00:00.127369;39913;-14011;-14695;-169889;
2025-07-01 00:00:00.145565;39912;-14020;-14693;-169915;
2025-07-01 00:00:00.163760;39894;-14038;-14781;-169947;
2025-07-01 00:00:00.181956;39950;-13928;-14734;-169951;
2025-07-01 00:00:00.200151;39928;-13960;-14734;-169931;
2025-07-01 00:00:00.218347;39924;-13986;-14758;-169920;
2025-07-01 00:00:00.236543;39930;-13897;-14693;-169942;
2025-07-01 00:00:00.254738;39937;-13955;-14673;-169909;
2025-07-01 00:00:00.272934;39926;-13935;-14685;-169951;
2025-07-01 00:00:00.291129;39956;-13916;-14707;-169925;
2025-07-01 00:00:00.309325;39962;-13961;-14699;-169969;
2025-07-01 00:00:00.327521;39956;-13909;-14718;-169951;
2025-07-01 00:00:00.345716;39935;-13891;-14630;-169895;
2025-07-01 00:00:00.363912;39987;-13840;-14667;-169917;
2025-07-01 00:00:00.382107;40089;-13751;-14542;-169902;
2025-07-01 00:00:00.400303;40106;-13752;-14528;-169934;
2025-07-01 00:00:00.418498;40182;-13756;-14496;-169966;
2025-07-01 00:00:00.436694;40262;-13650;-14461;-169914;
2025-07-01 00:00:00.454890;40307;-13613;-14429;-169913;
2025-07-01 00:00:00.473085;40246;-13665;-14449;-169937;
2025-07-01 00:00:00.491281;40248;-13677;-14509;-169922;
2025-07-01 00:00:00.509476;40214;-13713;-14508;-169937;
2025-07-01 00:00:00.527672;40077;-13781;-14518;-169951;
2025-07-01 00:00:00.545868;39962;-13820;-14687;-169938;
2025-07-01 00:00:00.564063;39801;-13853;-14716;-169939;
2025-07-01 00:00:00.582259;39725;-13886;-14801;-169971;
2025-07-01 00:00:00.600454;39670;-13884;-14876;-169912;
2025-07-01 00:00:00.618650;39603;-14018;-14928;-169914;
2025-07-01 00:00:00.636845;39521;-14053;-14904;-169949;
2025-07-01 00:00:00.655041;39544;-13972;-14890;-169892;
2025-07-01 00:00:00.673237;39499;-14008;-14891;-169914;
2025-07-01 00:00:00.691432;39465;-13998;-14940;-169935;
2025-07-01 00:00:00.709628;39509;-13965;-14898;-169923;
2025-07-01 00:00:00.727823;39540;-13889;-14852;-169921;
2025-07-01 00:00:00.746019;39504;-13911;-14874;-169932;
2025-07-01 00:00:00.764215;39453;-13982;-14961;-169957;
2025-07-01 00:00:00.782410;39488;-13893;-14877;-169988;
2025-07-01 00:00:00.800606;39489;-13903;-14833;-169889;
