Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;43038;-9398;-13434;-169966;
2025-07-01 00:00:00.018196;42967;-9434;-13448;-169920;
2025-07-01 00:00:00.036391;42954;-9449;-13470;-169964;
2025-07-01 00:00:00.054587;42942;-9432;-13448;-169982;
2025-07-01 00:00:00.072783;43014;-9399;-13457;-170015;
2025-07-01 00:00:00.090979;43000;-9338;-13446;-169954;
2025-07-01 00:00:00.109174;43046;-9409;-13466;-169932;
2025-07-01 00:00:00.127370;42973;-9431;-13492;-169950;
2025-07-01 00:00:00.145566;43011;-9421;-13491;-169945;
2025-07-01 00:00:00.163761;43082;-9405;-13406;-169933;
2025-07-01 00:00:00.181957;43075;-9338;-13423;-169959;
2025-07-01 00:00:00.200153;43109;-9348;-13392;-169931;
2025-07-01 00:00:00.218349;43165;-9314;-13338;-169911;
2025-07-01 00:00:00.236544;43089;-9319;-13354;-169963;
2025-07-01 00:00:00.254740;43106;-9277;-13319;-169983;
2025-07-01 00:00:00.272936;43063;-9317;-13395;-169985;
2025-07-01 00:00:00.291131;43043;-9339;-13450;-169949;
2025-07-01 00:00:00.309327;42843;-9445;-13574;-169999;
2025-07-01 00:00:00.327523;42709;-9561;-13640;-169948;
2025-07-01 00:00:00.345719;42522;-9643;-13796;-169983;
2025-07-01 00:00:00.363914;42346;-9820;-13930;-169999;
2025-07-01 00:00:00.382110;42269;-9877;-13940;-169945;
2025-07-01 00:00:00.400306;42100;-9978;-14123;-169974;
2025-07-01 00:00:00.418501;42048;-9982;-14098;-169911;
2025-07-01 00:00:00.436697;41971;-10047;-14085;-169900;
2025-07-01 00:00:00.454893;41884;-10050;-14243;-169906;
2025-07-01 00:00:00.473089;41803;-10099;-14272;-169914;
2025-07-01 00:00:00.491284;41769;-10116;-14298;-169945;
2025-07-01 00:00:00.509480;41706;-10170;-14344;-169959;
2025-07-01 00:00:00.527676;41655;-10232;-14363;-169981;
2025-07-01 00:00:00.545871;41633;-10197;-14365;-169968;
2025-07-01 00:00:00.564067;41624;-10282;-14388;-169911;
2025-07-01 00:00:00.582263;41593;-10344;-14409;-169949;
2025-07-01 00:00:00.600458;41565;-10282;-14410;-169973;
2025-07-01 00:00:00.618654;41509;-10339;-14473;-169947;
2025-07-01 00:00:00.636850;41503;-10336;-14440;-169923;
2025-07-01 00:00:00.655046;41481;-10268;-14450;-169941;
2025-07-01 00:00:00.673241;41493;-10318;-14534;-169950;
2025-07-01 00:00:00.691437;41534;-10303;-14499;-169956;
2025-07-01 00:00:00.709633;41502;-10321;-14455;-169940;
2025-07-01 00:00:00.727828;41562;-10354;-14460;-169940;
2025-07-01 00:00:00.746024;41599;-10257;-14406;-169937;
2025-07-01 00:00:00.764220;41605;-10279;-14437;-169964;
2025-07-01 00:00:00.782416;41668;-10252;-14366;-169936;
2025-07-01 00:00:00.800611;41753;-10314;-14416;-169981;
2025-07-01 00:00:00.818807;41761;-10293;-14332;-169950;
2025-07-01 00:00:00.837003;41799;-10187;-14264;-169943;
2025-07-01 00:00:00.855198;41809;-10147;-14285;-169986;
2025-07-01 00:00:00.873394;41908;-10176;-14250;-169921;
2025-07-01 00:00:00.891590;41930;-10106;-14240;-169958;
2025-07-01 00:00:00.909786;41950;-10067;-14169;-169941;
2025-07-01 00:00:00.927981;41992;-10040;-14158;-169904;
2025-07-01 00:00:00.946177;42028;-9987;-14157;-169959;
2025-07-01 00:00:00.964373;41964;-10077;-14207;-169942;
2025-07-01 00:00:00.982568;41960;-10049;-14271;-169920;
2025-07-01 00:00:01.000764;41844;-10126;-14275;-169922;
2025-07-01 00:00:01.018960;41660;-10275;-14439;-169946;
2025-07-01 00:00:01.037156;41537;-10360;-14483;-169941;
2025-07-01 00:00:01.055351;41447;-10397;-14552;-169967;
2025-07-01 00:00:01.073547;41389;-10480;-14665;-169924;
2025-07-01 00:00:01.091743;41342;-10507;-14707;-169915;
2025-07-01 00:00:01.109938;41162;-10602;-14805;-169940;
2025-07-01 00:00:01.128134;41145;-10594;-14771;-169881;
2025-07-01 00:00:01.146330;41040;-10686;-14847;-169919;
2025-07-01 00:00:01.164526;41052;-10730;-14946;-169952;
2025-07-01 00:00:01.182721;41029;-10748;-14894;-169890;
2025-07-01 00:00:01.200917;41018;-10744;-14917;-169882;
2025-07-01 00:00:01.219113;40919;-10814;-14994;-169928;
2025-07-01 00:00:01.237308;40926;-10832;-15001;-169940;
2025-07-01 00:00:01.255504;40937;-10814;-15022;-170008;
2025-07-01 00:00:01.273700;40919;-10805;-15040;-169937;
2025-07-01 00:00:01.291896;40879;-10858;-15053;-169932;
2025-07-01 00:00:01.310091;40894;-10885;-15031;-169973;
2025-07-01 00:00:01.328287;40833;-10881;-15103;-169969;
2025-07-01 00:00:01.346483;40938;-10807;-15063;-169947;
2025-07-01 00:00:01.364678;40987;-10762;-15030;-169883;
2025-07-01 00:00:01.382874;40992;-10763;-14973;-169949;
2025-07-01 00:00:01.401070;41066;-10783;-14966;-169962;
