Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;444791;387060;439117;1748;
2025-07-01 00:00:00.018191;444834;387101;439174;1755;
2025-07-01 00:00:00.036382;444817;387104;439155;1735;
2025-07-01 00:00:00.054573;444836;387197;439185;1768;
2025-07-01 00:00:00.072764;444889;387205;439234;1753;
2025-07-01 00:00:00.090955;444965;387260;439311;1744;
2025-07-01 00:00:00.109146;445026;387262;439285;1697;
2025-07-01 00:00:00.127337;445083;387278;439365;1704;
2025-07-01 00:00:00.145528;445190;387341;439411;1714;
2025-07-01 00:00:00.163719;445188;387353;439404;1741;
2025-07-01 00:00:00.181910;445241;387345;439415;1742;
2025-07-01 00:00:00.200101;445220;387329;439465;1764;
2025-07-01 00:00:00.218292;445093;387187;439277;1748;
2025-07-01 00:00:00.236483;444945;386974;439116;1721;
2025-07-01 00:00:00.254674;444752;386861;438953;1751;
2025-07-01 00:00:00.272865;444487;386637;438654;1744;
2025-07-01 00:00:00.291056;444280;386470;438440;1712;
2025-07-01 00:00:00.309247;444081;386252;438298;1750;
2025-07-01 00:00:00.327438;443877;386048;438051;1754;
2025-07-01 00:00:00.345629;443672;385879;437857;1730;
2025-07-01 00:00:00.363820;443407;385721;437671;1713;
2025-07-01 00:00:00.382010;443261;385519;437377;1727;
2025-07-01 00:00:00.400201;443063;385367;437326;1727;
2025-07-01 00:00:00.418392;442922;385233;437091;1692;
2025-07-01 00:00:00.436583;442905;385198;437046;1732;
2025-07-01 00:00:00.454774;442858;385139;436994;1776;
2025-07-01 00:00:00.472965;442705;385011;436849;1744;
2025-07-01 00:00:00.491156;442660;384969;436853;1767;
2025-07-01 00:00:00.509347;442523;384831;436737;1804;
2025-07-01 00:00:00.527538;442474;384738;436644;1751;
2025-07-01 00:00:00.545729;442485;384688;436655;1750;
2025-07-01 00:00:00.563920;442501;384696;436617;1835;
2025-07-01 00:00:00.582111;442321;384593;436480;1759;
2025-07-01 00:00:00.600302;442275;384579;436506;1760;
2025-07-01 00:00:00.618493;442227;384602;436448;1734;
2025-07-01 00:00:00.636684;442223;384542;436434;1741;
2025-07-01 00:00:00.654875;442167;384438;436351;1800;
2025-07-01 00:00:00.673066;442128;384393;436312;1779;
2025-07-01 00:00:00.691257;442174;384402;436337;1726;
2025-07-01 00:00:00.709448;442142;384386;436332;1744;
2025-07-01 00:00:00.727639;442157;384384;436358;1713;
2025-07-01 00:00:00.745830;442205;384355;436333;1743;
2025-07-01 00:00:00.764021;442211;384439;436368;1737;
2025-07-01 00:00:00.782212;442255;384477;436400;1782;
2025-07-01 00:00:00.800403;442225;384512;436454;1806;
2025-07-01 00:00:00.818594;442252;384448;436453;1713;
2025-07-01 00:00:00.836785;442365;384467;436519;1672;
2025-07-01 00:00:00.854976;442360;384510;436634;1721;
2025-07-01 00:00:00.873167;442470;384646;436712;1758;
2025-07-01 00:00:00.891358;442415;384642;436683;1731;
2025-07-01 00:00:00.909549;442574;384730;436729;1759;
2025-07-01 00:00:00.927740;442605;384729;436814;1733;
2025-07-01 00:00:00.945931;442646;384777;436874;1716;
2025-07-01 00:00:00.964122;442777;384815;437026;1761;
2025-07-01 00:00:00.982313;442821;384873;437110;1706;
2025-07-01 00:00:01.000504;442977;385075;437175;1771;
2025-07-01 00:00:01.018695;443080;385120;437292;1794;
2025-07-01 00:00:01.036886;443205;385199;437468;1764;
2025-07-01 00:00:01.055077;443253;385298;437537;1749;
2025-07-01 00:00:01.073268;443260;385342;437573;1718;
2025-07-01 00:00:01.091459;443257;385222;437517;1777;
2025-07-01 00:00:01.109650;443150;385122;437438;1751;
2025-07-01 00:00:01.127841;443066;384977;437283;1766;
2025-07-01 00:00:01.146031;442908;384867;437188;1791;
2025-07-01 00:00:01.164222;442743;384671;437023;1747;
2025-07-01 00:00:01.182413;442626;384566;436960;1702;
2025-07-01 00:00:01.200604;442594;384463;436895;1772;
2025-07-01 00:00:01.218795;442455;384301;436754;1791;
2025-07-01 00:00:01.236986;442402;384227;436746;1770;
2025-07-01 00:00:01.255177;442297;384164;436689;1758;
2025-07-01 00:00:01.273368;442251;384103;436668;1748;
2025-07-01 00:00:01.291559;442176;384096;436714;1777;
2025-07-01 00:00:01.309750;442171;383982;436644;1764;
2025-07-01 00:00:01.327941;442214;383967;436637;1760;
2025-07-01 00:00:01.346132;442235;383964;436716;1817;
2025-07-01 00:00:01.364323;442166;383964;436689;1747;
2025-07-01 00:00:01.382514;442271;383992;436780;1775;
2025-07-01 00:00:01.400705;442220;384049;436806;1768;
2025-07-01 00:00:01.418896;442329;384100;436910;1754;
2025-07-01 00:00:01.437087;442329;384046;436894;1751;
2025-07-01 00:00:01.455278;442319;384084;436865;1767;
2025-07-01 00:00:01.473469;442475;384145;436963;1796;
2025-07-01 00:00:01.491660;442513;384148;437051;1771;
2025-07-01 00:00:01.509851;442538;384236;437105;1780;
2025-07-01 00:00:01.528042;442663;384285;437197;1780;
2025-07-01 00:00:01.546233;442762;384391;437285;1752;
2025-07-01 00:00:01.564424;442843;384444;437376;1772;
2025-07-01 00:00:01.582615;442917;384507;437487;1760;
2025-07-01 00:00:01.600806;442950;384608;437578;1748;
2025-07-01 00:00:01.618997;443082;384716;437660;1762;
2025-07-01 00:00:01.637188;443196;384761;437797;1763;
2025-07-01 00:00:01.655379;443303;384893;437916;1784;
2025-07-01 00:00:01.673570;443344;384956;438021;1783;
2025-07-01 00:00:01.691761;443518;385003;438059;1777;
2025-07-01 00:00:01.709952;443670;385097;438218;1706;
2025-07-01 00:00:01.728143;443751;385205;438315;1713;
2025-07-01 00:00:01.746334;443938;385337;438484;1711;
2025-07-01 00:00:01.764525;444052;385470;438625;1762;
2025-07-01 00:00:01.782716;444165;385514;438779;1760;
2025-07-01 00:00:01.800907;444263;385598;438944;1772;
2025-07-01 00:00:01.819098;444413;385821;439093;1755;
2025-07-01 00:00:01.837289;444606;385988;439250;1823;
