Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;360325;394746;377040;172715;
2025-07-01 00:00:00.018199;360334;394733;377024;172670;
2025-07-01 00:00:00.036399;360431;394796;377113;172673;
2025-07-01 00:00:00.054598;360561;394870;377217;172712;
2025-07-01 00:00:00.072797;360587;394941;377241;172695;
2025-07-01 00:00:00.090997;360670;395103;377418;172675;
2025-07-01 00:00:00.109196;360770;395108;377417;172695;
2025-07-01 00:00:00.127396;360903;395205;377519;172741;
2025-07-01 00:00:00.145595;360902;395273;377508;172714;
2025-07-01 00:00:00.163794;361006;395420;377591;172716;
2025-07-01 00:00:00.181994;361111;395444;377693;172737;
2025-07-01 00:00:00.200193;361125;395457;377733;172680;
2025-07-01 00:00:00.218392;361125;395481;377770;172706;
2025-07-01 00:00:00.236592;361142;395477;377706;172710;
2025-07-01 00:00:00.254791;361190;395538;377770;172695;
2025-07-01 00:00:00.272990;361219;395579;377797;172701;
2025-07-01 00:00:00.291190;361282;395696;377858;172695;
2025-07-01 00:00:00.309389;361380;395679;377859;172673;
2025-07-01 00:00:00.327588;361355;395697;377891;172634;
2025-07-01 00:00:00.345788;361489;395724;377923;172714;
2025-07-01 00:00:00.363987;361521;395862;378020;172715;
2025-07-01 00:00:00.382187;361543;395921;378056;172726;
2025-07-01 00:00:00.400386;361643;395996;378101;172716;
2025-07-01 00:00:00.418585;361720;396044;378117;172733;
2025-07-01 00:00:00.436785;361796;396046;378259;172708;
2025-07-01 00:00:00.454984;361778;396154;378235;172704;
2025-07-01 00:00:00.473183;361888;396198;378358;172699;
2025-07-01 00:00:00.491383;361964;396287;378368;172708;
2025-07-01 00:00:00.509582;362074;396370;378477;172766;
2025-07-01 00:00:00.527781;362060;396344;378441;172642;
2025-07-01 00:00:00.545981;362152;396420;378529;172702;
2025-07-01 00:00:00.564180;362217;396521;378595;172741;
2025-07-01 00:00:00.582380;362219;396555;378579;172679;
2025-07-01 00:00:00.600579;362301;396502;378648;172747;
2025-07-01 00:00:00.618778;362380;396699;378656;172700;
2025-07-01 00:00:00.636978;362397;396689;378659;172738;
2025-07-01 00:00:00.655177;362489;396773;378796;172743;
2025-07-01 00:00:00.673376;362568;396797;378811;172744;
2025-07-01 00:00:00.691576;362569;396837;378862;172675;
2025-07-01 00:00:00.709775;362695;396902;378946;172703;
2025-07-01 00:00:00.727974;362701;396984;379000;172713;
2025-07-01 00:00:00.746174;362722;397045;379013;172715;
2025-07-01 00:00:00.764373;362722;397014;378997;172656;
2025-07-01 00:00:00.782572;362728;397062;378961;172708;
