Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;366732;402350;382944;172794;
2025-07-01 00:00:00.018199;366735;402345;382939;172764;
2025-07-01 00:00:00.036399;366801;402348;382918;172734;
2025-07-01 00:00:00.054598;366818;402407;382934;172720;
2025-07-01 00:00:00.072798;366850;402442;383002;172749;
2025-07-01 00:00:00.090997;366813;402495;383029;172711;
2025-07-01 00:00:00.109197;366925;402516;383080;172737;
2025-07-01 00:00:00.127396;366905;402485;383126;172655;
2025-07-01 00:00:00.145596;367007;402529;383110;172713;
2025-07-01 00:00:00.163795;367021;402572;383133;172730;
2025-07-01 00:00:00.181995;367070;402654;383200;172706;
2025-07-01 00:00:00.200194;367093;402679;383271;172716;
2025-07-01 00:00:00.218394;367107;402591;383264;172715;
2025-07-01 00:00:00.236593;367118;402680;383213;172702;
2025-07-01 00:00:00.254793;367161;402722;383266;172735;
2025-07-01 00:00:00.272992;367228;402739;383301;172728;
2025-07-01 00:00:00.291192;367203;402778;383243;172696;
2025-07-01 00:00:00.309391;367243;402791;383336;172740;
2025-07-01 00:00:00.327591;367209;402808;383356;172751;
2025-07-01 00:00:00.345790;367202;402848;383298;172757;
2025-07-01 00:00:00.363990;367222;402841;383343;172812;
2025-07-01 00:00:00.382189;367266;402902;383365;172824;
2025-07-01 00:00:00.400389;367226;402847;383295;172751;
2025-07-01 00:00:00.418588;367237;402903;383311;172759;
2025-07-01 00:00:00.436788;367294;402900;383375;172745;
2025-07-01 00:00:00.454987;367261;402902;383336;172703;
2025-07-01 00:00:00.473187;367278;402915;383407;172698;
2025-07-01 00:00:00.491386;367383;402890;383328;172729;
2025-07-01 00:00:00.509586;367400;402942;383443;172728;
2025-07-01 00:00:00.527785;367461;403035;383528;172755;
2025-07-01 00:00:00.545985;367469;403093;383568;172793;
2025-07-01 00:00:00.564184;367471;403053;383505;172767;
2025-07-01 00:00:00.582384;367499;403078;383537;172728;
2025-07-01 00:00:00.600583;367498;403091;383508;172726;
2025-07-01 00:00:00.618783;367573;403132;383572;172703;
2025-07-01 00:00:00.636982;367524;403138;383556;172711;
2025-07-01 00:00:00.655182;367612;403156;383576;172693;
2025-07-01 00:00:00.673381;367625;403184;383664;172738;
2025-07-01 00:00:00.691581;367672;403248;383693;172704;
2025-07-01 00:00:00.709780;367660;403231;383652;172718;
2025-07-01 00:00:00.727980;367755;403358;383770;172743;
2025-07-01 00:00:00.746179;367820;403400;383777;172786;
2025-07-01 00:00:00.764378;367799;403425;383749;172745;
2025-07-01 00:00:00.782578;367816;403384;383812;172702;
2025-07-01 00:00:00.800777;367874;403483;383804;172712;
2025-07-01 00:00:00.818977;367892;403455;383892;172708;
2025-07-01 00:00:00.837176;367957;403529;383910;172708;
2025-07-01 00:00:00.855376;368001;403577;383949;172692;
2025-07-01 00:00:00.873575;368085;403655;384019;172747;
2025-07-01 00:00:00.891775;368092;403708;384052;172720;
2025-07-01 00:00:00.909974;368114;403722;384081;172728;
2025-07-01 00:00:00.928174;368184;403809;384121;172691;
2025-07-01 00:00:00.946373;368237;403813;384151;172785;
2025-07-01 00:00:00.964573;368240;403862;384201;172784;
2025-07-01 00:00:00.982772;368287;403872;384231;172733;
2025-07-01 00:00:01.000972;368332;403881;384245;172770;
2025-07-01 00:00:01.019171;368415;403966;384296;172749;
2025-07-01 00:00:01.037371;368423;404052;384317;172740;
2025-07-01 00:00:01.055570;368443;404011;384330;172704;
2025-07-01 00:00:01.073770;368509;404049;384355;172767;
2025-07-01 00:00:01.091969;368472;404062;384320;172682;
2025-07-01 00:00:01.110169;368479;404071;384351;172675;
2025-07-01 00:00:01.128368;368476;404113;384398;172734;
2025-07-01 00:00:01.146568;368571;404146;384379;172715;
2025-07-01 00:00:01.164767;368562;404183;384480;172689;
2025-07-01 00:00:01.182967;368571;404196;384479;172723;
2025-07-01 00:00:01.201166;368564;404247;384498;172675;
2025-07-01 00:00:01.219366;368636;404262;384512;172706;
2025-07-01 00:00:01.237565;368771;404343;384607;172707;
2025-07-01 00:00:01.255765;368788;404377;384654;172714;
2025-07-01 00:00:01.273964;368797;404422;384678;172714;
2025-07-01 00:00:01.292164;368800;404523;384693;172726;
2025-07-01 00:00:01.310363;368831;404536;384685;172740;
2025-07-01 00:00:01.328563;368861;404492;384729;172767;
2025-07-01 00:00:01.346762;368909;404528;384721;172719;
2025-07-01 00:00:01.364962;368906;404590;384719;172709;
2025-07-01 00:00:01.383161;368972;404609;384773;172663;
2025-07-01 00:00:01.401361;368981;404558;384773;172702;
2025-07-01 00:00:01.419560;369048;404673;384769;172693;
2025-07-01 00:00:01.437760;369115;404718;384867;172657;
2025-07-01 00:00:01.455959;369147;404750;384947;172735;
2025-07-01 00:00:01.474159;369174;404788;384965;172772;
2025-07-01 00:00:01.492358;369196;404810;384995;172662;
2025-07-01 00:00:01.510558;369272;404826;385001;172728;
2025-07-01 00:00:01.528757;369254;404862;384991;172660;
2025-07-01 00:00:01.546956;369318;404933;385009;172648;
2025-07-01 00:00:01.565156;369314;404944;385091;172644;
2025-07-01 00:00:01.583355;369351;404997;385071;172646;
2025-07-01 00:00:01.601555;369451;405013;385109;172713;
2025-07-01 00:00:01.619754;369496;405025;385153;172664;
2025-07-01 00:00:01.637954;369459;405076;385209;172692;
2025-07-01 00:00:01.656153;369475;405098;385230;172687;
2025-07-01 00:00:01.674353;369553;405097;385322;172643;
2025-07-01 00:00:01.692552;369597;405160;385307;172724;
2025-07-01 00:00:01.710752;369621;405254;385296;172713;
2025-07-01 00:00:01.728951;369702;405280;385323;172751;
2025-07-01 00:00:01.747151;369669;405237;385283;172729;
2025-07-01 00:00:01.765350;369665;405251;385328;172717;
2025-07-01 00:00:01.783550;369608;405275;385327;172680;
2025-07-01 00:00:01.801749;369638;405257;385259;172679;
2025-07-01 00:00:01.819949;369629;405249;385269;172670;
2025-07-01 00:00:01.838148;369674;405290;385246;172659;
2025-07-01 00:00:01.856348;369755;405362;385353;172704;
2025-07-01 00:00:01.874547;369695;405360;385352;172679;
2025-07-01 00:00:01.892747;369679;405350;385356;172686;
2025-07-01 00:00:01.910946;369691;405312;385363;172731;
2025-07-01 00:00:01.929146;369737;405321;385334;172763;
2025-07-01 00:00:01.947345;369703;405365;385362;172733;
