Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;565754;590062;560974;374447;
2025-07-01 00:00:00.018257;565704;590014;560950;374531;
2025-07-01 00:00:00.036514;565615;589958;560916;374484;
2025-07-01 00:00:00.054771;565588;589939;560825;374490;
2025-07-01 00:00:00.073028;565598;589915;560742;374499;
2025-07-01 00:00:00.091285;565531;589810;560716;374493;
2025-07-01 00:00:00.109542;565542;589742;560693;374515;
2025-07-01 00:00:00.127799;565441;589728;560571;374499;
2025-07-01 00:00:00.146056;565407;589698;560577;374551;
2025-07-01 00:00:00.164313;565349;589581;560538;374515;
2025-07-01 00:00:00.182570;565280;589560;560510;374487;
2025-07-01 00:00:00.200827;565276;589562;560443;374479;
2025-07-01 00:00:00.219084;565314;589615;560427;374482;
2025-07-01 00:00:00.237341;565300;589526;560396;374526;
2025-07-01 00:00:00.255598;565265;589571;560355;374483;
2025-07-01 00:00:00.273855;565220;589499;560360;374512;
2025-07-01 00:00:00.292112;565195;589468;560346;374491;
2025-07-01 00:00:00.310369;565214;589442;560312;374466;
2025-07-01 00:00:00.328626;565193;589480;560316;374468;
2025-07-01 00:00:00.346883;565124;589446;560204;374504;
2025-07-01 00:00:00.365140;565111;589483;560231;374496;
2025-07-01 00:00:00.383398;565096;589401;560191;374454;
2025-07-01 00:00:00.401655;565125;589419;560256;374493;
2025-07-01 00:00:00.419912;565077;589403;560208;374508;
2025-07-01 00:00:00.438169;565044;589389;560178;374507;
2025-07-01 00:00:00.456426;565030;589379;560217;374491;
2025-07-01 00:00:00.474683;565060;589414;560206;374482;
2025-07-01 00:00:00.492940;565068;589425;560202;374535;
2025-07-01 00:00:00.511197;565096;589464;560213;374456;
2025-07-01 00:00:00.529454;565088;589467;560223;374450;
2025-07-01 00:00:00.547711;565130;589485;560237;374549;
2025-07-01 00:00:00.565968;565138;589500;560286;374542;
2025-07-01 00:00:00.584225;565061;589420;560175;374430;
2025-07-01 00:00:00.602482;565144;589471;560220;374498;
2025-07-01 00:00:00.620739;565071;589481;560227;374476;
2025-07-01 00:00:00.638996;565081;589516;560285;374428;
2025-07-01 00:00:00.657253;565121;589558;560230;374414;
2025-07-01 00:00:00.675510;565137;589556;560247;374439;
2025-07-01 00:00:00.693767;565127;589541;560258;374500;
2025-07-01 00:00:00.712024;565130;589506;560266;374497;
2025-07-01 00:00:00.730281;565158;589557;560256;374465;
2025-07-01 00:00:00.748538;565178;589560;560278;374444;
2025-07-01 00:00:00.766795;565192;589676;560354;374495;
2025-07-01 00:00:00.785052;565159;589658;560306;374511;
2025-07-01 00:00:00.803309;565115;589584;560256;374496;
2025-07-01 00:00:00.821566;565031;589467;560163;374457;
2025-07-01 00:00:00.839823;564965;589437;560179;374509;
2025-07-01 00:00:00.858080;564935;589377;560099;374474;
2025-07-01 00:00:00.876337;564884;589291;560012;374505;
2025-07-01 00:00:00.894594;564857;589179;559906;374517;
2025-07-01 00:00:00.912851;564734;589107;559938;374517;
2025-07-01 00:00:00.931108;564725;589055;559909;374535;
2025-07-01 00:00:00.949365;564691;588984;559864;374534;
2025-07-01 00:00:00.967622;564628;588920;559769;374467;
2025-07-01 00:00:00.985879;564570;588864;559690;374440;
2025-07-01 00:00:01.004136;564534;588850;559647;374453;
2025-07-01 00:00:01.022393;564502;588766;559589;374406;
2025-07-01 00:00:01.040650;564483;588719;559582;374483;
2025-07-01 00:00:01.058907;564480;588715;559555;374451;
2025-07-01 00:00:01.077164;564499;588755;559541;374475;
2025-07-01 00:00:01.095421;564416;588719;559564;374541;
2025-07-01 00:00:01.113678;564379;588674;559533;374569;
2025-07-01 00:00:01.131935;564327;588618;559477;374462;
2025-07-01 00:00:01.150193;564344;588589;559431;374444;
