Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;363155;290860;251557;1724;
2025-07-01 00:00:00.018193;363015;290758;251448;1677;
2025-07-01 00:00:00.036386;362947;290619;251332;1659;
2025-07-01 00:00:00.054579;362799;290524;251231;1679;
2025-07-01 00:00:00.072772;362673;290409;251209;1657;
2025-07-01 00:00:00.090965;362599;290397;251127;1702;
2025-07-01 00:00:00.109159;362518;290387;251100;1692;
2025-07-01 00:00:00.127352;362461;290296;251030;1700;
2025-07-01 00:00:00.145545;362385;290178;250972;1682;
2025-07-01 00:00:00.163738;362291;290169;250899;1704;
2025-07-01 00:00:00.181931;362161;290142;250808;1689;
2025-07-01 00:00:00.200124;362074;290064;250716;1692;
2025-07-01 00:00:00.218317;361987;289998;250735;1617;
2025-07-01 00:00:00.236510;361898;289975;250701;1644;
2025-07-01 00:00:00.254703;361909;289957;250677;1704;
2025-07-01 00:00:00.272896;361935;289995;250708;1646;
2025-07-01 00:00:00.291089;361892;289983;250705;1713;
2025-07-01 00:00:00.309282;361923;289952;250755;1682;
2025-07-01 00:00:00.327476;361816;289948;250661;1662;
2025-07-01 00:00:00.345669;361850;289922;250744;1681;
2025-07-01 00:00:00.363862;361823;289933;250727;1677;
2025-07-01 00:00:00.382055;361819;289917;250670;1651;
2025-07-01 00:00:00.400248;361881;289987;250765;1710;
2025-07-01 00:00:00.418441;361893;290009;250784;1698;
2025-07-01 00:00:00.436634;361889;289954;250725;1616;
2025-07-01 00:00:00.454827;361942;289961;250794;1675;
2025-07-01 00:00:00.473020;361931;289987;250771;1700;
2025-07-01 00:00:00.491213;361916;290004;250780;1677;
2025-07-01 00:00:00.509406;361921;290023;250840;1634;
2025-07-01 00:00:00.527600;361988;290092;250808;1655;
2025-07-01 00:00:00.545793;361988;290119;250812;1676;
2025-07-01 00:00:00.563986;361863;289977;250724;1634;
2025-07-01 00:00:00.582179;361780;289871;250677;1673;
2025-07-01 00:00:00.600372;361691;289769;250523;1709;
2025-07-01 00:00:00.618565;361396;289588;250419;1658;
2025-07-01 00:00:00.636758;361279;289469;250302;1724;
2025-07-01 00:00:00.654951;361119;289330;250113;1679;
2025-07-01 00:00:00.673144;361038;289197;250021;1704;
2025-07-01 00:00:00.691337;360772;289053;249938;1693;
2025-07-01 00:00:00.709530;360712;288987;249833;1677;
2025-07-01 00:00:00.727724;360502;288872;249782;1642;
2025-07-01 00:00:00.745917;360422;288853;249713;1714;
2025-07-01 00:00:00.764110;360311;288656;249597;1670;
2025-07-01 00:00:00.782303;360203;288643;249563;1610;
2025-07-01 00:00:00.800496;360070;288575;249468;1617;
2025-07-01 00:00:00.818689;360056;288510;249493;1689;
2025-07-01 00:00:00.836882;360021;288468;249428;1634;
2025-07-01 00:00:00.855075;359925;288410;249331;1698;
2025-07-01 00:00:00.873268;359928;288443;249287;1744;
2025-07-01 00:00:00.891461;359852;288425;249300;1645;
2025-07-01 00:00:00.909654;359822;288429;249343;1673;
2025-07-01 00:00:00.927847;359768;288388;249313;1728;
2025-07-01 00:00:00.946041;359732;288329;249292;1698;
2025-07-01 00:00:00.964234;359718;288332;249280;1623;
2025-07-01 00:00:00.982427;359661;288292;249191;1663;
2025-07-01 00:00:01.000620;359664;288289;249251;1687;
2025-07-01 00:00:01.018813;359654;288339;249220;1711;
2025-07-01 00:00:01.037006;359599;288325;249239;1696;
2025-07-01 00:00:01.055199;359602;288294;249239;1697;
2025-07-01 00:00:01.073392;359666;288319;249256;1658;
2025-07-01 00:00:01.091585;359718;288351;249251;1706;
2025-07-01 00:00:01.109778;359679;288325;249257;1685;
2025-07-01 00:00:01.127971;359648;288366;249276;1670;
2025-07-01 00:00:01.146165;359774;288394;249275;1682;
2025-07-01 00:00:01.164358;359750;288374;249250;1687;
2025-07-01 00:00:01.182551;359789;288401;249324;1720;
2025-07-01 00:00:01.200744;359797;288489;249380;1716;
2025-07-01 00:00:01.218937;359828;288464;249363;1700;
2025-07-01 00:00:01.237130;359884;288493;249294;1748;
2025-07-01 00:00:01.255323;359921;288547;249389;1784;
2025-07-01 00:00:01.273516;359884;288584;249343;1733;
2025-07-01 00:00:01.291709;359900;288540;249371;1744;
2025-07-01 00:00:01.309902;359891;288512;249280;1676;
2025-07-01 00:00:01.328095;359741;288433;249201;1630;
2025-07-01 00:00:01.346289;359646;288384;249131;1667;
2025-07-01 00:00:01.364482;359502;288246;248985;1713;
2025-07-01 00:00:01.382675;359282;288087;248878;1674;
2025-07-01 00:00:01.400868;359169;287941;248789;1676;
2025-07-01 00:00:01.419061;358974;287804;248673;1649;
2025-07-01 00:00:01.437254;358737;287701;248530;1649;
2025-07-01 00:00:01.455447;358625;287598;248521;1770;
2025-07-01 00:00:01.473640;358433;287411;248331;1678;
2025-07-01 00:00:01.491833;358286;287437;248330;1635;
2025-07-01 00:00:01.510026;358180;287281;248243;1660;
2025-07-01 00:00:01.528219;358153;287174;248185;1649;
2025-07-01 00:00:01.546412;358080;287192;248123;1697;
2025-07-01 00:00:01.564606;357999;287178;248091;1736;
2025-07-01 00:00:01.582799;357996;287063;248060;1668;
2025-07-01 00:00:01.600992;357882;287037;247997;1628;
2025-07-01 00:00:01.619185;357826;287026;247937;1668;
2025-07-01 00:00:01.637378;357727;286902;247834;1673;
2025-07-01 00:00:01.655571;357734;286875;247788;1697;
2025-07-01 00:00:01.673764;357768;286960;247885;1715;
2025-07-01 00:00:01.691957;357726;286926;247889;1726;
2025-07-01 00:00:01.710150;357682;286897;247866;1648;
2025-07-01 00:00:01.728343;357660;286886;247879;1694;
2025-07-01 00:00:01.746536;357741;286946;247879;1734;
2025-07-01 00:00:01.764730;357712;286935;247853;1704;
2025-07-01 00:00:01.782923;357706;286857;247835;1675;
2025-07-01 00:00:01.801116;357746;286937;247890;1662;
2025-07-01 00:00:01.819309;357769;286899;247877;1702;
2025-07-01 00:00:01.837502;357771;286971;247901;1617;
2025-07-01 00:00:01.855695;357822;287021;247937;1653;
2025-07-01 00:00:01.873888;357913;287070;247982;1758;
2025-07-01 00:00:01.892081;357903;287069;247950;1696;
2025-07-01 00:00:01.910274;357913;287102;248011;1652;
2025-07-01 00:00:01.928467;357996;287189;248052;1681;
2025-07-01 00:00:01.946660;358118;287249;248084;1710;
2025-07-01 00:00:01.964854;358086;287208;248114;1650;
2025-07-01 00:00:01.983047;358096;287226;248160;1677;
2025-07-01 00:00:02.001240;358183;287288;248162;1690;
2025-07-01 00:00:02.019433;358230;287360;248244;1707;
2025-07-01 00:00:02.037626;358231;287403;248238;1657;
2025-07-01 00:00:02.055819;358253;287370;248238;1665;
2025-07-01 00:00:02.074012;358312;287465;248251;1689;
2025-07-01 00:00:02.092205;358318;287464;248282;1661;
2025-07-01 00:00:02.110398;358317;287557;248285;1777;
2025-07-01 00:00:02.128591;358202;287440;248162;1680;
2025-07-01 00:00:02.146784;358078;287262;248041;1697;
2025-07-01 00:00:02.164977;357973;287148;247989;1668;
2025-07-01 00:00:02.183171;357768;287028;247864;1663;
2025-07-01 00:00:02.201364;357672;287004;247778;1618;
2025-07-01 00:00:02.219557;357535;286891;247698;1624;
2025-07-01 00:00:02.237750;357433;286791;247602;1667;
2025-07-01 00:00:02.255943;357357;286752;247615;1677;
2025-07-01 00:00:02.274136;357196;286643;247503;1666;
2025-07-01 00:00:02.292329;357165;286639;247459;1702;
2025-07-01 00:00:02.310522;357101;286611;247491;1751;
2025-07-01 00:00:02.328715;356954;286523;247401;1706;
