Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;256668;125238;108580;-179184;
2025-07-01 00:00:00.018255;256514;124988;108392;-179143;
2025-07-01 00:00:00.036509;256466;124796;108201;-179085;
2025-07-01 00:00:00.054764;256296;124581;107964;-179112;
2025-07-01 00:00:00.073018;256037;124476;107673;-179111;
2025-07-01 00:00:00.091273;255916;124301;107538;-179122;
2025-07-01 00:00:00.109528;255780;124224;107357;-179135;
2025-07-01 00:00:00.127782;255814;124176;107217;-179135;
2025-07-01 00:00:00.146037;255836;124239;107299;-179073;
2025-07-01 00:00:00.164291;255843;124293;107361;-179096;
2025-07-01 00:00:00.182546;255843;124284;107487;-179148;
2025-07-01 00:00:00.200801;255894;124326;107511;-179128;
2025-07-01 00:00:00.219055;255835;124308;107498;-179179;
2025-07-01 00:00:00.237310;255898;124349;107536;-179094;
2025-07-01 00:00:00.255564;255856;124395;107522;-179119;
2025-07-01 00:00:00.273819;255808;124357;107556;-179115;
2025-07-01 00:00:00.292073;255752;124370;107494;-179083;
2025-07-01 00:00:00.310328;255669;124342;107434;-179153;
2025-07-01 00:00:00.328583;255724;124369;107473;-179056;
2025-07-01 00:00:00.346837;255666;124386;107468;-179077;
2025-07-01 00:00:00.365092;255665;124365;107459;-179150;
2025-07-01 00:00:00.383346;255643;124421;107443;-179065;
2025-07-01 00:00:00.401601;255645;124462;107548;-179063;
2025-07-01 00:00:00.419856;255704;124478;107713;-179170;
2025-07-01 00:00:00.438110;255764;124566;107881;-179146;
2025-07-01 00:00:00.456365;255871;124630;107929;-179121;
2025-07-01 00:00:00.474619;255878;124646;107986;-179083;
2025-07-01 00:00:00.492874;255790;124647;107995;-179143;
2025-07-01 00:00:00.511129;255764;124544;107894;-179120;
2025-07-01 00:00:00.529383;255659;124325;107727;-179130;
2025-07-01 00:00:00.547638;255298;124090;107283;-179125;
2025-07-01 00:00:00.565892;255051;123741;106865;-179150;
2025-07-01 00:00:00.584147;254593;123416;106482;-179171;
2025-07-01 00:00:00.602402;254368;123315;106148;-179153;
2025-07-01 00:00:00.620656;254192;123175;105986;-179148;
2025-07-01 00:00:00.638911;253990;123058;105839;-179149;
2025-07-01 00:00:00.657165;253869;123049;105676;-179137;
2025-07-01 00:00:00.675420;253706;122981;105481;-179218;
2025-07-01 00:00:00.693674;253623;122984;105443;-179162;
2025-07-01 00:00:00.711929;253551;122955;105438;-179204;
2025-07-01 00:00:00.730184;253606;122956;105622;-179130;
2025-07-01 00:00:00.748438;253504;122928;105681;-179190;
2025-07-01 00:00:00.766693;253504;122945;105639;-179119;
2025-07-01 00:00:00.784947;253352;122911;105500;-179139;
2025-07-01 00:00:00.803202;253168;122805;105398;-179177;
2025-07-01 00:00:00.821457;253067;122704;105419;-179173;
2025-07-01 00:00:00.839711;253021;122730;105388;-179115;
2025-07-01 00:00:00.857966;252956;122702;105343;-179118;
2025-07-01 00:00:00.876220;252883;122638;105322;-179130;
2025-07-01 00:00:00.894475;252795;122662;105371;-179139;
2025-07-01 00:00:00.912730;252733;122657;105357;-179165;
2025-07-01 00:00:00.930984;252761;122709;105419;-179091;
2025-07-01 00:00:00.949239;252770;122696;105405;-179137;
2025-07-01 00:00:00.967493;252693;122703;105430;-179086;
2025-07-01 00:00:00.985748;252658;122696;105485;-179109;
2025-07-01 00:00:01.004003;252619;122684;105568;-179126;
2025-07-01 00:00:01.022257;252590;122769;105539;-179166;
2025-07-01 00:00:01.040512;252566;122768;105620;-179159;
2025-07-01 00:00:01.058766;252588;122770;105636;-179069;
2025-07-01 00:00:01.077021;252571;122783;105764;-179079;
2025-07-01 00:00:01.095276;252535;122782;105810;-179109;
2025-07-01 00:00:01.113530;252534;122844;105901;-179109;
2025-07-01 00:00:01.131785;252458;122857;105906;-179136;
2025-07-01 00:00:01.150039;252415;122836;105956;-179161;
