Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-4384;-92384;-103463;-318157;
2025-07-01 00:00:00.018259;-4382;-92367;-103433;-318128;
2025-07-01 00:00:00.036519;-4360;-92282;-103394;-318105;
2025-07-01 00:00:00.054778;-4277;-92213;-103362;-318120;
2025-07-01 00:00:00.073038;-4373;-92315;-103422;-318141;
2025-07-01 00:00:00.091297;-4317;-92307;-103388;-318040;
2025-07-01 00:00:00.109557;-4405;-92358;-103488;-318052;
2025-07-01 00:00:00.127816;-4417;-92419;-103586;-318086;
2025-07-01 00:00:00.146076;-4519;-92462;-103611;-318048;
2025-07-01 00:00:00.164335;-4611;-92524;-103665;-318112;
2025-07-01 00:00:00.182595;-4520;-92511;-103653;-318076;
2025-07-01 00:00:00.200854;-4493;-92441;-103600;-318078;
2025-07-01 00:00:00.219113;-4418;-92406;-103627;-318114;
2025-07-01 00:00:00.237373;-4443;-92391;-103556;-318083;
2025-07-01 00:00:00.255632;-4383;-92331;-103504;-318078;
2025-07-01 00:00:00.273892;-4355;-92303;-103440;-318067;
2025-07-01 00:00:00.292151;-4247;-92280;-103358;-318049;
2025-07-01 00:00:00.310411;-4197;-92300;-103381;-318066;
2025-07-01 00:00:00.328670;-4222;-92259;-103371;-318158;
2025-07-01 00:00:00.346930;-4154;-92194;-103260;-318130;
2025-07-01 00:00:00.365189;-4072;-92117;-103244;-318053;
2025-07-01 00:00:00.383449;-4071;-92022;-103234;-318112;
2025-07-01 00:00:00.401708;-3906;-91984;-103157;-318061;
2025-07-01 00:00:00.419967;-3874;-91945;-103108;-318093;
2025-07-01 00:00:00.438227;-3756;-91856;-103036;-318001;
2025-07-01 00:00:00.456486;-3731;-91789;-103056;-317999;
2025-07-01 00:00:00.474746;-3657;-91620;-102975;-318028;
2025-07-01 00:00:00.493005;-3538;-91640;-102929;-318089;
2025-07-01 00:00:00.511265;-3424;-91461;-102807;-318050;
2025-07-01 00:00:00.529524;-3330;-91395;-102761;-318058;
2025-07-01 00:00:00.547784;-3310;-91336;-102697;-318058;
2025-07-01 00:00:00.566043;-3262;-91339;-102714;-318136;
2025-07-01 00:00:00.584303;-3267;-91289;-102678;-318113;
2025-07-01 00:00:00.602562;-3264;-91251;-102661;-318088;
2025-07-01 00:00:00.620822;-3294;-91272;-102704;-318011;
2025-07-01 00:00:00.639081;-3361;-91348;-102790;-318062;
2025-07-01 00:00:00.657340;-3350;-91423;-102766;-318034;
2025-07-01 00:00:00.675600;-3345;-91462;-102834;-318080;
2025-07-01 00:00:00.693859;-3347;-91530;-102845;-318126;
2025-07-01 00:00:00.712119;-3321;-91483;-102797;-318085;
2025-07-01 00:00:00.730378;-3367;-91552;-102844;-318102;
2025-07-01 00:00:00.748638;-3281;-91560;-102798;-318052;
2025-07-01 00:00:00.766897;-3190;-91423;-102776;-318042;
2025-07-01 00:00:00.785157;-3153;-91393;-102771;-318094;
2025-07-01 00:00:00.803416;-3113;-91335;-102674;-318073;
2025-07-01 00:00:00.821676;-2996;-91207;-102624;-318090;
2025-07-01 00:00:00.839935;-2946;-91172;-102593;-318054;
2025-07-01 00:00:00.858194;-2895;-91139;-102560;-318083;
2025-07-01 00:00:00.876454;-2828;-91060;-102572;-318141;
2025-07-01 00:00:00.894713;-2750;-90936;-102476;-318122;
2025-07-01 00:00:00.912973;-2737;-90902;-102463;-318129;
2025-07-01 00:00:00.931232;-2700;-90848;-102463;-318153;
2025-07-01 00:00:00.949492;-2625;-90772;-102387;-318136;
2025-07-01 00:00:00.967751;-2540;-90788;-102340;-318150;
2025-07-01 00:00:00.986011;-2421;-90677;-102299;-318148;
2025-07-01 00:00:01.004270;-2347;-90572;-102202;-318129;
2025-07-01 00:00:01.022530;-2202;-90487;-102126;-318088;
2025-07-01 00:00:01.040789;-2093;-90359;-102013;-318088;
2025-07-01 00:00:01.059048;-2057;-90329;-101985;-318192;
2025-07-01 00:00:01.077308;-2005;-90276;-101852;-318189;
2025-07-01 00:00:01.095567;-1863;-90154;-101801;-318099;
2025-07-01 00:00:01.113827;-1832;-90168;-101741;-318062;
2025-07-01 00:00:01.132086;-1833;-90144;-101773;-318063;
2025-07-01 00:00:01.150346;-1911;-90165;-101804;-318065;
2025-07-01 00:00:01.168605;-1906;-90256;-101874;-318131;
2025-07-01 00:00:01.186865;-1897;-90225;-101866;-318140;
2025-07-01 00:00:01.205124;-2011;-90311;-102015;-318178;
2025-07-01 00:00:01.223384;-1915;-90259;-101986;-318075;
2025-07-01 00:00:01.241643;-1991;-90276;-101994;-318078;
2025-07-01 00:00:01.259902;-1955;-90215;-101932;-318158;
2025-07-01 00:00:01.278162;-1956;-90189;-101921;-318130;
2025-07-01 00:00:01.296421;-1910;-90132;-101946;-318135;
2025-07-01 00:00:01.314681;-1761;-90101;-101877;-318083;
2025-07-01 00:00:01.332940;-1715;-89988;-101833;-318095;
2025-07-01 00:00:01.351200;-1632;-89975;-101755;-318142;
2025-07-01 00:00:01.369459;-1552;-89854;-101641;-318044;
2025-07-01 00:00:01.387719;-1526;-89830;-101634;-318114;
2025-07-01 00:00:01.405978;-1462;-89832;-101631;-318135;
2025-07-01 00:00:01.424238;-1415;-89774;-101552;-318108;
2025-07-01 00:00:01.442497;-1341;-89659;-101525;-318068;
2025-07-01 00:00:01.460756;-1260;-89609;-101479;-318121;
2025-07-01 00:00:01.479016;-1135;-89575;-101400;-318082;
2025-07-01 00:00:01.497275;-1113;-89475;-101337;-318129;
2025-07-01 00:00:01.515535;-1020;-89403;-101222;-318066;
