Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-24655;-108256;-118399;-318116;
2025-07-01 00:00:00.018259;-24468;-108213;-118339;-318117;
2025-07-01 00:00:00.036518;-24389;-108122;-118302;-318128;
2025-07-01 00:00:00.054778;-24319;-108072;-118207;-318091;
2025-07-01 00:00:00.073037;-24291;-107998;-118203;-318075;
2025-07-01 00:00:00.091296;-24303;-108023;-118195;-318074;
2025-07-01 00:00:00.109555;-24345;-108046;-118292;-318096;
2025-07-01 00:00:00.127814;-24460;-108060;-118363;-318063;
2025-07-01 00:00:00.146074;-24614;-108267;-118475;-318036;
2025-07-01 00:00:00.164333;-24769;-108346;-118553;-318088;
2025-07-01 00:00:00.182592;-24883;-108493;-118701;-318075;
2025-07-01 00:00:00.200851;-25074;-108556;-118829;-318059;
2025-07-01 00:00:00.219110;-25260;-108625;-118877;-318119;
2025-07-01 00:00:00.237370;-25284;-108701;-118954;-318069;
2025-07-01 00:00:00.255629;-25335;-108798;-119004;-318071;
2025-07-01 00:00:00.273888;-25382;-108783;-119026;-318101;
2025-07-01 00:00:00.292147;-25346;-108765;-118981;-318096;
2025-07-01 00:00:00.310406;-25272;-108614;-118903;-318034;
2025-07-01 00:00:00.328666;-25315;-108723;-118924;-318160;
2025-07-01 00:00:00.346925;-25243;-108629;-118917;-318092;
2025-07-01 00:00:00.365184;-25256;-108697;-118970;-318102;
2025-07-01 00:00:00.383443;-25211;-108664;-118922;-318096;
2025-07-01 00:00:00.401702;-25260;-108605;-118941;-318148;
2025-07-01 00:00:00.419962;-25187;-108595;-118858;-318114;
2025-07-01 00:00:00.438221;-25173;-108545;-118921;-318158;
2025-07-01 00:00:00.456480;-25143;-108568;-118920;-318163;
2025-07-01 00:00:00.474739;-25112;-108514;-118870;-318171;
2025-07-01 00:00:00.492998;-24989;-108447;-118769;-318133;
2025-07-01 00:00:00.511258;-24931;-108352;-118759;-318138;
2025-07-01 00:00:00.529517;-24864;-108271;-118626;-318114;
2025-07-01 00:00:00.547776;-24761;-108226;-118593;-318124;
2025-07-01 00:00:00.566035;-24680;-108170;-118539;-318143;
2025-07-01 00:00:00.584294;-24625;-108170;-118511;-318102;
2025-07-01 00:00:00.602554;-24651;-108143;-118486;-318086;
2025-07-01 00:00:00.620813;-24676;-108155;-118524;-318118;
2025-07-01 00:00:00.639072;-24788;-108189;-118547;-318074;
2025-07-01 00:00:00.657331;-24993;-108302;-118696;-318113;
2025-07-01 00:00:00.675590;-25191;-108446;-118854;-318175;
2025-07-01 00:00:00.693850;-25281;-108500;-118908;-318138;
2025-07-01 00:00:00.712109;-25383;-108574;-118985;-318106;
2025-07-01 00:00:00.730368;-25565;-108688;-119147;-318139;
2025-07-01 00:00:00.748627;-25565;-108770;-119175;-318092;
2025-07-01 00:00:00.766886;-25627;-108702;-119197;-318113;
2025-07-01 00:00:00.785146;-25623;-108784;-119169;-318067;
2025-07-01 00:00:00.803405;-25671;-108739;-119198;-318086;
2025-07-01 00:00:00.821664;-25665;-108713;-119180;-318128;
2025-07-01 00:00:00.839923;-25703;-108702;-119146;-318142;
2025-07-01 00:00:00.858182;-25593;-108644;-119040;-318174;
2025-07-01 00:00:00.876442;-25597;-108630;-119032;-318092;
2025-07-01 00:00:00.894701;-25492;-108543;-118951;-318052;
2025-07-01 00:00:00.912960;-25475;-108532;-118945;-318086;
2025-07-01 00:00:00.931219;-25400;-108466;-118855;-318059;
2025-07-01 00:00:00.949478;-25342;-108386;-118845;-318087;
2025-07-01 00:00:00.967738;-25338;-108388;-118875;-318131;
2025-07-01 00:00:00.985997;-25275;-108340;-118805;-318080;
2025-07-01 00:00:01.004256;-25239;-108259;-118764;-318085;
2025-07-01 00:00:01.022515;-25173;-108183;-118709;-318067;
2025-07-01 00:00:01.040774;-25068;-108099;-118650;-318105;
2025-07-01 00:00:01.059034;-24980;-108036;-118550;-318111;
2025-07-01 00:00:01.077293;-24864;-107945;-118490;-318084;
2025-07-01 00:00:01.095552;-24750;-107903;-118421;-318082;
2025-07-01 00:00:01.113811;-24633;-107820;-118292;-318021;
2025-07-01 00:00:01.132070;-24695;-107831;-118325;-318102;
2025-07-01 00:00:01.150330;-24655;-107764;-118288;-318069;
2025-07-01 00:00:01.168589;-24731;-107808;-118346;-318087;
2025-07-01 00:00:01.186848;-24857;-107899;-118457;-318104;
2025-07-01 00:00:01.205107;-24989;-108037;-118579;-318140;
2025-07-01 00:00:01.223366;-25210;-108146;-118677;-318112;
2025-07-01 00:00:01.241626;-25299;-108187;-118663;-318062;
2025-07-01 00:00:01.259885;-25468;-108259;-118826;-318129;
2025-07-01 00:00:01.278144;-25638;-108402;-118914;-318138;
2025-07-01 00:00:01.296403;-25697;-108391;-118896;-318144;
2025-07-01 00:00:01.314662;-25586;-108389;-118844;-318122;
2025-07-01 00:00:01.332922;-25572;-108375;-118882;-318090;
2025-07-01 00:00:01.351181;-25566;-108350;-118826;-318090;
2025-07-01 00:00:01.369440;-25625;-108268;-118776;-318072;
2025-07-01 00:00:01.387699;-25556;-108214;-118767;-318159;
2025-07-01 00:00:01.405958;-25457;-108169;-118640;-318108;
2025-07-01 00:00:01.424218;-25407;-108204;-118661;-318085;
2025-07-01 00:00:01.442477;-25342;-108083;-118587;-318083;
2025-07-01 00:00:01.460736;-25353;-108066;-118602;-318123;
2025-07-01 00:00:01.478995;-25250;-108053;-118556;-318102;
2025-07-01 00:00:01.497254;-25154;-107897;-118368;-318045;
2025-07-01 00:00:01.515514;-25093;-107851;-118315;-318109;
2025-07-01 00:00:01.533773;-25057;-107773;-118266;-318106;
2025-07-01 00:00:01.552032;-24933;-107665;-118147;-318036;
2025-07-01 00:00:01.570291;-24939;-107620;-118114;-318094;
2025-07-01 00:00:01.588550;-24777;-107510;-118037;-318082;
2025-07-01 00:00:01.606810;-24665;-107481;-117926;-318097;
2025-07-01 00:00:01.625069;-24602;-107390;-117892;-318145;
2025-07-01 00:00:01.643328;-24527;-107364;-117747;-318138;
2025-07-01 00:00:01.661587;-24359;-107214;-117616;-318077;
2025-07-01 00:00:01.679846;-24261;-107147;-117626;-318105;
2025-07-01 00:00:01.698106;-24277;-107102;-117611;-318097;
2025-07-01 00:00:01.716365;-24259;-107077;-117639;-318111;
2025-07-01 00:00:01.734624;-24292;-107127;-117624;-318085;
2025-07-01 00:00:01.752883;-24373;-107158;-117657;-318093;
2025-07-01 00:00:01.771142;-24470;-107268;-117704;-318128;
2025-07-01 00:00:01.789402;-24578;-107338;-117817;-318145;
2025-07-01 00:00:01.807661;-24726;-107368;-117916;-318129;
2025-07-01 00:00:01.825920;-24734;-107408;-117912;-318071;
2025-07-01 00:00:01.844179;-24770;-107401;-117828;-318059;
2025-07-01 00:00:01.862438;-24783;-107362;-117870;-318090;
2025-07-01 00:00:01.880698;-24852;-107336;-117856;-318152;
2025-07-01 00:00:01.898957;-24792;-107355;-117789;-318136;
2025-07-01 00:00:01.917216;-24594;-107251;-117667;-318109;
2025-07-01 00:00:01.935475;-24603;-107251;-117611;-318167;
2025-07-01 00:00:01.953734;-24529;-107189;-117531;-318138;
