Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-27647;-68957;-121225;-318117;
2025-07-01 00:00:00.018260;-27923;-69137;-121323;-318143;
2025-07-01 00:00:00.036519;-28027;-69252;-121431;-318114;
2025-07-01 00:00:00.054779;-28128;-69372;-121581;-318169;
2025-07-01 00:00:00.073038;-28113;-69390;-121509;-318090;
2025-07-01 00:00:00.091298;-28185;-69469;-121585;-318130;
2025-07-01 00:00:00.109558;-28109;-69358;-121558;-318110;
2025-07-01 00:00:00.127817;-28113;-69342;-121583;-318151;
2025-07-01 00:00:00.146077;-28101;-69371;-121552;-318148;
2025-07-01 00:00:00.164336;-28032;-69319;-121539;-318109;
2025-07-01 00:00:00.182596;-28040;-69391;-121602;-318163;
2025-07-01 00:00:00.200855;-28036;-69425;-121600;-318167;
2025-07-01 00:00:00.219115;-28045;-69359;-121561;-318140;
2025-07-01 00:00:00.237375;-28027;-69402;-121563;-318143;
2025-07-01 00:00:00.255634;-27944;-69300;-121530;-318120;
2025-07-01 00:00:00.273894;-27921;-69291;-121510;-318110;
2025-07-01 00:00:00.292153;-27871;-69253;-121427;-318144;
2025-07-01 00:00:00.310413;-27804;-69216;-121387;-318171;
2025-07-01 00:00:00.328673;-27710;-69100;-121283;-318138;
2025-07-01 00:00:00.346932;-27568;-69045;-121302;-318151;
2025-07-01 00:00:00.365192;-27477;-68880;-121222;-318140;
2025-07-01 00:00:00.383451;-27328;-68865;-121155;-318168;
2025-07-01 00:00:00.401711;-27194;-68749;-121035;-318129;
2025-07-01 00:00:00.419970;-27078;-68629;-120952;-318139;
2025-07-01 00:00:00.438230;-26910;-68469;-120825;-318090;
2025-07-01 00:00:00.456490;-26753;-68324;-120725;-318147;
2025-07-01 00:00:00.474749;-26666;-68228;-120637;-318160;
2025-07-01 00:00:00.493009;-26571;-68157;-120609;-318204;
2025-07-01 00:00:00.511268;-26365;-67968;-120460;-318161;
2025-07-01 00:00:00.529528;-26243;-67940;-120373;-318197;
2025-07-01 00:00:00.547788;-26334;-67949;-120432;-318156;
2025-07-01 00:00:00.566047;-26604;-68199;-120567;-318176;
2025-07-01 00:00:00.584307;-26933;-68415;-120816;-318160;
2025-07-01 00:00:00.602566;-27257;-68727;-121075;-318175;
2025-07-01 00:00:00.620826;-27655;-69057;-121388;-318176;
2025-07-01 00:00:00.639085;-27927;-69306;-121603;-318134;
2025-07-01 00:00:00.657345;-28225;-69517;-121775;-318036;
2025-07-01 00:00:00.675605;-28495;-69789;-122012;-318189;
2025-07-01 00:00:00.693864;-28562;-69879;-122104;-318104;
2025-07-01 00:00:00.712124;-28747;-70001;-122228;-318128;
2025-07-01 00:00:00.730383;-28815;-70109;-122308;-318075;
2025-07-01 00:00:00.748643;-28899;-70258;-122456;-318141;
2025-07-01 00:00:00.766903;-28916;-70116;-122424;-318103;
2025-07-01 00:00:00.785162;-28951;-70245;-122524;-318196;
2025-07-01 00:00:00.803422;-28936;-70182;-122502;-318136;
2025-07-01 00:00:00.821681;-28952;-70159;-122528;-318111;
2025-07-01 00:00:00.839941;-28962;-70227;-122548;-318174;
2025-07-01 00:00:00.858200;-29003;-70235;-122574;-318158;
2025-07-01 00:00:00.876460;-28979;-70232;-122636;-318127;
2025-07-01 00:00:00.894720;-28958;-70293;-122635;-318139;
2025-07-01 00:00:00.912979;-28965;-70283;-122628;-318177;
2025-07-01 00:00:00.931239;-28969;-70246;-122585;-318169;
2025-07-01 00:00:00.949498;-28937;-70236;-122607;-318172;
2025-07-01 00:00:00.967758;-28850;-70151;-122545;-318199;
2025-07-01 00:00:00.986018;-28692;-70058;-122436;-318141;
2025-07-01 00:00:01.004277;-28558;-70030;-122427;-318187;
2025-07-01 00:00:01.022537;-28449;-69948;-122296;-318156;
2025-07-01 00:00:01.040796;-28304;-69848;-122261;-318103;
2025-07-01 00:00:01.059056;-28303;-69839;-122168;-318122;
2025-07-01 00:00:01.077315;-28144;-69732;-122092;-318137;
2025-07-01 00:00:01.095575;-28003;-69584;-122018;-318083;
2025-07-01 00:00:01.113835;-27898;-69520;-121920;-318145;
2025-07-01 00:00:01.132094;-27730;-69431;-121909;-318113;
2025-07-01 00:00:01.150354;-27638;-69260;-121739;-318163;
2025-07-01 00:00:01.168613;-27442;-69163;-121622;-318163;
2025-07-01 00:00:01.186873;-27359;-69102;-121533;-318140;
2025-07-01 00:00:01.205133;-27286;-69043;-121520;-318145;
2025-07-01 00:00:01.223392;-27360;-69039;-121531;-318119;
2025-07-01 00:00:01.241652;-27536;-69237;-121689;-318108;
2025-07-01 00:00:01.259911;-27887;-69477;-121889;-318106;
2025-07-01 00:00:01.278171;-28205;-69834;-122124;-318108;
2025-07-01 00:00:01.296430;-28553;-70119;-122439;-318055;
2025-07-01 00:00:01.314690;-28933;-70438;-122629;-318085;
2025-07-01 00:00:01.332950;-29202;-70727;-122875;-318142;
2025-07-01 00:00:01.351209;-29522;-70985;-123141;-318155;
2025-07-01 00:00:01.369469;-29735;-71128;-123351;-318133;
2025-07-01 00:00:01.387728;-29876;-71175;-123424;-318137;
2025-07-01 00:00:01.405988;-29883;-71330;-123495;-318128;
2025-07-01 00:00:01.424248;-29915;-71402;-123539;-318099;
2025-07-01 00:00:01.442507;-29958;-71440;-123601;-318095;
2025-07-01 00:00:01.460767;-30017;-71405;-123595;-318090;
2025-07-01 00:00:01.479026;-30004;-71411;-123592;-318087;
2025-07-01 00:00:01.497286;-29975;-71485;-123661;-318121;
