Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-154340;-174218;-162597;-472089;
2025-07-01 00:00:00.018195;-154344;-174177;-162572;-472043;
2025-07-01 00:00:00.036390;-154410;-174125;-162563;-472088;
2025-07-01 00:00:00.054585;-154382;-174166;-162606;-472081;
2025-07-01 00:00:00.072779;-154346;-174129;-162543;-472020;
2025-07-01 00:00:00.090974;-154333;-174154;-162558;-472017;
2025-07-01 00:00:00.109169;-154370;-174136;-162615;-472069;
2025-07-01 00:00:00.127364;-154350;-174104;-162650;-472092;
2025-07-01 00:00:00.145559;-154299;-174054;-162583;-472041;
2025-07-01 00:00:00.163754;-154287;-173964;-162570;-472068;
2025-07-01 00:00:00.181949;-154234;-173927;-162633;-472135;
2025-07-01 00:00:00.200143;-154239;-174038;-162534;-472112;
2025-07-01 00:00:00.218338;-154091;-173887;-162413;-472032;
2025-07-01 00:00:00.236533;-154006;-173779;-162343;-472085;
2025-07-01 00:00:00.254728;-153909;-173789;-162327;-472075;
2025-07-01 00:00:00.272923;-153831;-173635;-162250;-472077;
2025-07-01 00:00:00.291118;-153750;-173547;-162160;-472091;
2025-07-01 00:00:00.309313;-153687;-173462;-162104;-472055;
2025-07-01 00:00:00.327507;-153607;-173470;-162012;-472061;
2025-07-01 00:00:00.345702;-153516;-173329;-161947;-472054;
2025-07-01 00:00:00.363897;-153348;-173251;-161836;-472066;
2025-07-01 00:00:00.382092;-153282;-173178;-161770;-472064;
2025-07-01 00:00:00.400287;-153227;-173085;-161692;-472105;
2025-07-01 00:00:00.418482;-153305;-173181;-161834;-472020;
2025-07-01 00:00:00.436677;-153382;-173263;-161905;-472038;
2025-07-01 00:00:00.454871;-153678;-173401;-162134;-472042;
2025-07-01 00:00:00.473066;-153947;-173599;-162455;-472047;
2025-07-01 00:00:00.491261;-154275;-173798;-162647;-472085;
2025-07-01 00:00:00.509456;-154626;-174044;-162923;-472109;
2025-07-01 00:00:00.527651;-154773;-174217;-163134;-472099;
2025-07-01 00:00:00.545846;-154975;-174354;-163340;-472128;
2025-07-01 00:00:00.564041;-155075;-174386;-163429;-472082;
2025-07-01 00:00:00.582235;-155099;-174488;-163470;-472026;
2025-07-01 00:00:00.600430;-155187;-174508;-163524;-472052;
2025-07-01 00:00:00.618625;-155171;-174468;-163533;-472024;
2025-07-01 00:00:00.636820;-155261;-174467;-163621;-472016;
2025-07-01 00:00:00.655015;-155275;-174516;-163690;-472035;
2025-07-01 00:00:00.673210;-155257;-174424;-163680;-472020;
2025-07-01 00:00:00.691405;-155282;-174475;-163681;-472056;
2025-07-01 00:00:00.709599;-155196;-174419;-163656;-471998;
2025-07-01 00:00:00.727794;-155260;-174433;-163684;-472047;
2025-07-01 00:00:00.745989;-155223;-174426;-163655;-472052;
2025-07-01 00:00:00.764184;-155207;-174428;-163666;-472028;
2025-07-01 00:00:00.782379;-155161;-174357;-163668;-472046;
2025-07-01 00:00:00.800574;-155140;-174317;-163654;-472081;
2025-07-01 00:00:00.818769;-155105;-174358;-163576;-472006;
2025-07-01 00:00:00.836963;-155108;-174314;-163602;-472072;
2025-07-01 00:00:00.855158;-155033;-174257;-163571;-472037;
2025-07-01 00:00:00.873353;-154921;-174222;-163476;-472085;
2025-07-01 00:00:00.891548;-154854;-174094;-163421;-472056;
2025-07-01 00:00:00.909743;-154791;-174030;-163369;-472015;
2025-07-01 00:00:00.927938;-154782;-173952;-163292;-472060;
2025-07-01 00:00:00.946133;-154666;-173944;-163274;-472106;
2025-07-01 00:00:00.964327;-154575;-173829;-163144;-472086;
