Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-157637;-176619;-167754;-471127;
2025-07-01 00:00:00.018194;-157765;-176732;-167902;-471126;
2025-07-01 00:00:00.036388;-157957;-176852;-168020;-471171;
2025-07-01 00:00:00.054583;-157992;-176879;-168075;-471109;
2025-07-01 00:00:00.072777;-158114;-176900;-168114;-471120;
2025-07-01 00:00:00.090971;-158175;-176996;-168200;-471090;
2025-07-01 00:00:00.109165;-158172;-176958;-168205;-471149;
2025-07-01 00:00:00.127359;-158153;-176989;-168213;-471213;
2025-07-01 00:00:00.145553;-158158;-177028;-168258;-471201;
2025-07-01 00:00:00.163748;-158118;-176897;-168207;-471152;
2025-07-01 00:00:00.181942;-158084;-176945;-168222;-471141;
2025-07-01 00:00:00.200136;-158124;-176890;-168189;-471189;
2025-07-01 00:00:00.218330;-158129;-176883;-168216;-471205;
2025-07-01 00:00:00.236524;-158090;-176798;-168179;-471206;
2025-07-01 00:00:00.254718;-158090;-176883;-168141;-471204;
2025-07-01 00:00:00.272913;-158021;-176807;-168114;-471110;
2025-07-01 00:00:00.291107;-158035;-176757;-168128;-471176;
2025-07-01 00:00:00.309301;-157992;-176756;-168096;-471161;
2025-07-01 00:00:00.327495;-157978;-176683;-168022;-471179;
2025-07-01 00:00:00.345689;-157947;-176662;-168005;-471136;
2025-07-01 00:00:00.363884;-157760;-176569;-167877;-471118;
2025-07-01 00:00:00.382078;-157675;-176514;-167813;-471179;
2025-07-01 00:00:00.400272;-157589;-176393;-167753;-471179;
2025-07-01 00:00:00.418466;-157486;-176293;-167620;-471197;
2025-07-01 00:00:00.436660;-157382;-176148;-167582;-471109;
2025-07-01 00:00:00.454854;-157285;-176136;-167452;-471181;
2025-07-01 00:00:00.473049;-157161;-176036;-167337;-471123;
2025-07-01 00:00:00.491243;-157097;-176034;-167254;-471167;
2025-07-01 00:00:00.509437;-156981;-175922;-167152;-471167;
2025-07-01 00:00:00.527631;-156848;-175795;-167062;-471190;
2025-07-01 00:00:00.545825;-156745;-175729;-166959;-471205;
2025-07-01 00:00:00.564019;-156695;-175714;-166984;-471194;
2025-07-01 00:00:00.582214;-156727;-175706;-166940;-471175;
2025-07-01 00:00:00.600408;-156861;-175804;-167108;-471124;
2025-07-01 00:00:00.618602;-157058;-176038;-167337;-471142;
2025-07-01 00:00:00.636796;-157379;-176263;-167612;-471152;
2025-07-01 00:00:00.654990;-157671;-176525;-167919;-471210;
2025-07-01 00:00:00.673185;-157922;-176719;-168104;-471169;
2025-07-01 00:00:00.691379;-158088;-176781;-168286;-471187;
2025-07-01 00:00:00.709573;-158232;-176882;-168438;-471181;
2025-07-01 00:00:00.727767;-158373;-176999;-168532;-471197;
