Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;46190;-9136;-9443;-169974;
2025-07-01 00:00:00.018196;46159;-9148;-9547;-169966;
2025-07-01 00:00:00.036393;46075;-9203;-9612;-169962;
2025-07-01 00:00:00.054589;45977;-9327;-9673;-169907;
2025-07-01 00:00:00.072786;45827;-9439;-9769;-169951;
2025-07-01 00:00:00.090982;45652;-9531;-9868;-169947;
2025-07-01 00:00:00.109179;45471;-9538;-9960;-169930;
2025-07-01 00:00:00.127375;45390;-9629;-10080;-169930;
2025-07-01 00:00:00.145572;45294;-9709;-10143;-169937;
2025-07-01 00:00:00.163768;45220;-9811;-10147;-169917;
2025-07-01 00:00:00.181965;45136;-9827;-10191;-169917;
2025-07-01 00:00:00.200161;45091;-9805;-10197;-169931;
2025-07-01 00:00:00.218358;45109;-9814;-10196;-169913;
2025-07-01 00:00:00.236554;45057;-9906;-10259;-169990;
2025-07-01 00:00:00.254751;45167;-9857;-10216;-169902;
2025-07-01 00:00:00.272947;45191;-9878;-10201;-169905;
2025-07-01 00:00:00.291144;45171;-9839;-10271;-169878;
2025-07-01 00:00:00.309340;45182;-9838;-10206;-169915;
2025-07-01 00:00:00.327537;45253;-9826;-10125;-169914;
2025-07-01 00:00:00.345733;45183;-9916;-10183;-169923;
2025-07-01 00:00:00.363930;45164;-9950;-10238;-169943;
2025-07-01 00:00:00.382126;45220;-9901;-10206;-169941;
2025-07-01 00:00:00.400323;45238;-9852;-10240;-169913;
2025-07-01 00:00:00.418519;45301;-9895;-10234;-169958;
2025-07-01 00:00:00.436716;45287;-9899;-10181;-169953;
2025-07-01 00:00:00.454912;45323;-9817;-10107;-169912;
2025-07-01 00:00:00.473108;45415;-9715;-10053;-169907;
2025-07-01 00:00:00.491305;45478;-9695;-10026;-169903;
2025-07-01 00:00:00.509501;45507;-9660;-10047;-169954;
2025-07-01 00:00:00.527698;45618;-9628;-10004;-169922;
2025-07-01 00:00:00.545894;45738;-9567;-9940;-169925;
2025-07-01 00:00:00.564091;45800;-9532;-9954;-169908;
2025-07-01 00:00:00.582287;45936;-9465;-9863;-169913;
2025-07-01 00:00:00.600484;45996;-9405;-9804;-169877;
2025-07-01 00:00:00.618680;46045;-9326;-9734;-169920;
2025-07-01 00:00:00.636877;46104;-9332;-9737;-169915;
2025-07-01 00:00:00.655073;46112;-9342;-9759;-169932;
2025-07-01 00:00:00.673270;46075;-9412;-9788;-169948;
2025-07-01 00:00:00.691466;45911;-9433;-9944;-169858;
2025-07-01 00:00:00.709663;45795;-9560;-10003;-169913;
2025-07-01 00:00:00.727859;45578;-9605;-10094;-169902;
2025-07-01 00:00:00.746056;45437;-9762;-10150;-169917;
2025-07-01 00:00:00.764252;45313;-9876;-10234;-169936;
2025-07-01 00:00:00.782449;45247;-9891;-10309;-169862;
2025-07-01 00:00:00.800645;45142;-9941;-10385;-169955;
2025-07-01 00:00:00.818842;45185;-9952;-10431;-169917;
2025-07-01 00:00:00.837038;45148;-10024;-10463;-169981;
2025-07-01 00:00:00.855235;45126;-10027;-10493;-169929;
2025-07-01 00:00:00.873431;45179;-10048;-10470;-169888;
2025-07-01 00:00:00.891628;45188;-9973;-10416;-169913;
2025-07-01 00:00:00.909824;45217;-9964;-10423;-169892;
2025-07-01 00:00:00.928020;45227;-10002;-10462;-169920;
2025-07-01 00:00:00.946217;45220;-10016;-10359;-169892;
2025-07-01 00:00:00.964413;45228;-9968;-10406;-169908;
2025-07-01 00:00:00.982610;45250;-9994;-10400;-169880;
2025-07-01 00:00:01.000806;45213;-9972;-10414;-169869;
2025-07-01 00:00:01.019003;45245;-10022;-10386;-169928;
2025-07-01 00:00:01.037199;45222;-9924;-10388;-169917;
2025-07-01 00:00:01.055396;45284;-10021;-10452;-169973;
2025-07-01 00:00:01.073592;45354;-9924;-10333;-169936;
