Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;48756;-4939;-8251;-169918;
2025-07-01 00:00:00.018196;48685;-4926;-8312;-169953;
2025-07-01 00:00:00.036391;48608;-5028;-8343;-169976;
2025-07-01 00:00:00.054587;48566;-5097;-8452;-169920;
2025-07-01 00:00:00.072783;48500;-5101;-8451;-169938;
2025-07-01 00:00:00.090978;48506;-5095;-8477;-169912;
2025-07-01 00:00:00.109174;48424;-5172;-8540;-169920;
2025-07-01 00:00:00.127370;48411;-5207;-8519;-169940;
2025-07-01 00:00:00.145565;48447;-5155;-8460;-169874;
2025-07-01 00:00:00.163761;48434;-5217;-8452;-169953;
2025-07-01 00:00:00.181956;48449;-5238;-8486;-170021;
2025-07-01 00:00:00.200152;48466;-5184;-8527;-169938;
2025-07-01 00:00:00.218348;48448;-5185;-8497;-169933;
2025-07-01 00:00:00.236543;48448;-5191;-8402;-169906;
2025-07-01 00:00:00.254739;48443;-5182;-8418;-169941;
2025-07-01 00:00:00.272935;48559;-5118;-8394;-169909;
2025-07-01 00:00:00.291130;48557;-5185;-8402;-169953;
2025-07-01 00:00:00.309326;48591;-5126;-8408;-169875;
2025-07-01 00:00:00.327522;48580;-5155;-8398;-169964;
2025-07-01 00:00:00.345717;48587;-5091;-8354;-169898;
2025-07-01 00:00:00.363913;48617;-5153;-8374;-169892;
2025-07-01 00:00:00.382109;48590;-5133;-8380;-169899;
2025-07-01 00:00:00.400304;48461;-5135;-8443;-169895;
2025-07-01 00:00:00.418500;48334;-5289;-8539;-169962;
2025-07-01 00:00:00.436696;48230;-5350;-8588;-169897;
2025-07-01 00:00:00.454891;48059;-5459;-8696;-169937;
2025-07-01 00:00:00.473087;47931;-5554;-8792;-169897;
2025-07-01 00:00:00.491282;47885;-5608;-8826;-169922;
2025-07-01 00:00:00.509478;47830;-5655;-8845;-169909;
2025-07-01 00:00:00.527674;47721;-5691;-8897;-169895;
2025-07-01 00:00:00.545869;47618;-5816;-9037;-169967;
2025-07-01 00:00:00.564065;47562;-5822;-9006;-169977;
2025-07-01 00:00:00.582261;47481;-5845;-9106;-169923;
2025-07-01 00:00:00.600456;47392;-5930;-9138;-169931;
2025-07-01 00:00:00.618652;47348;-5931;-9179;-169890;
2025-07-01 00:00:00.636848;47320;-6012;-9186;-169903;
2025-07-01 00:00:00.655043;47284;-6054;-9190;-169901;
2025-07-01 00:00:00.673239;47252;-6044;-9200;-169880;
2025-07-01 00:00:00.691435;47191;-6133;-9248;-169877;
2025-07-01 00:00:00.709630;47128;-6215;-9262;-169865;
2025-07-01 00:00:00.727826;47072;-6234;-9337;-169929;
2025-07-01 00:00:00.746022;47018;-6271;-9365;-169949;
2025-07-01 00:00:00.764217;46942;-6357;-9402;-169996;
2025-07-01 00:00:00.782413;46863;-6406;-9456;-169979;
2025-07-01 00:00:00.800609;46821;-6484;-9415;-169934;
2025-07-01 00:00:00.818804;46759;-6505;-9520;-169958;
2025-07-01 00:00:00.837000;46768;-6531;-9490;-169894;
2025-07-01 00:00:00.855195;46726;-6587;-9525;-169929;
2025-07-01 00:00:00.873391;46713;-6616;-9601;-169906;
2025-07-01 00:00:00.891587;46667;-6615;-9526;-169827;
2025-07-01 00:00:00.909782;46608;-6714;-9615;-169898;
2025-07-01 00:00:00.927978;46598;-6787;-9666;-169880;
2025-07-01 00:00:00.946174;46552;-6813;-9714;-169921;
