Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;469608;400092;458300;1838;
2025-07-01 00:00:00.018193;469770;400289;458389;1859;
2025-07-01 00:00:00.036385;469902;400451;458518;1902;
2025-07-01 00:00:00.054578;470025;400587;458682;1836;
2025-07-01 00:00:00.072770;470193;400734;458846;1788;
2025-07-01 00:00:00.090963;470351;400964;459032;1812;
2025-07-01 00:00:00.109155;470528;401040;459172;1789;
2025-07-01 00:00:00.127348;470679;401167;459361;1826;
2025-07-01 00:00:00.145540;470729;401293;459452;1833;
2025-07-01 00:00:00.163733;470822;401348;459538;1832;
2025-07-01 00:00:00.181925;470840;401304;459586;1812;
2025-07-01 00:00:00.200118;470798;401412;459603;1851;
2025-07-01 00:00:00.218310;470891;401432;459667;1836;
2025-07-01 00:00:00.236503;470859;401435;459751;1869;
2025-07-01 00:00:00.254695;470862;401471;459745;1831;
2025-07-01 00:00:00.272888;470928;401580;459818;1874;
2025-07-01 00:00:00.291080;470903;401648;459926;1844;
2025-07-01 00:00:00.309273;470931;401605;459978;1829;
2025-07-01 00:00:00.327465;471003;401742;459947;1732;
2025-07-01 00:00:00.345658;471040;401864;460088;1774;
2025-07-01 00:00:00.363850;471174;401937;460182;1806;
2025-07-01 00:00:00.382043;471275;402022;460281;1779;
2025-07-01 00:00:00.400235;471391;402161;460375;1828;
2025-07-01 00:00:00.418428;471473;402266;460543;1854;
2025-07-01 00:00:00.436620;471563;402361;460736;1817;
2025-07-01 00:00:00.454813;471676;402440;460783;1794;
2025-07-01 00:00:00.473005;471789;402563;460924;1830;
2025-07-01 00:00:00.491198;471810;402668;461004;1796;
2025-07-01 00:00:00.509390;471988;402820;461092;1803;
2025-07-01 00:00:00.527583;472117;403008;461272;1845;
2025-07-01 00:00:00.545775;472224;403120;461461;1818;
2025-07-01 00:00:00.563968;472325;403232;461525;1787;
2025-07-01 00:00:00.582160;472468;403337;461699;1812;
2025-07-01 00:00:00.600353;472568;403490;461842;1801;
2025-07-01 00:00:00.618545;472744;403580;461924;1816;
2025-07-01 00:00:00.636738;472915;403773;462080;1832;
2025-07-01 00:00:00.654930;473050;403837;462193;1775;
2025-07-01 00:00:00.673123;473217;404043;462431;1848;
2025-07-01 00:00:00.691315;473347;404176;462530;1847;
2025-07-01 00:00:00.709508;473482;404432;462677;1845;
2025-07-01 00:00:00.727700;473615;404485;462833;1811;
2025-07-01 00:00:00.745893;473757;404595;462937;1780;
2025-07-01 00:00:00.764086;473973;404777;463144;1778;
2025-07-01 00:00:00.782278;474020;404867;463295;1775;
2025-07-01 00:00:00.800471;474242;405056;463447;1873;
