Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;449474;386657;439148;1806;
2025-07-01 00:00:00.018193;449685;386845;439230;1922;
2025-07-01 00:00:00.036385;449730;386893;439356;1806;
2025-07-01 00:00:00.054578;449948;387157;439586;1856;
2025-07-01 00:00:00.072770;449998;387203;439596;1815;
2025-07-01 00:00:00.090963;450257;387366;439821;1852;
2025-07-01 00:00:00.109155;450460;387496;439974;1870;
2025-07-01 00:00:00.127348;450666;387663;440130;1907;
2025-07-01 00:00:00.145540;450802;387801;440249;1870;
2025-07-01 00:00:00.163733;451007;387894;440383;1802;
2025-07-01 00:00:00.181925;451228;388070;440650;1866;
2025-07-01 00:00:00.200118;451324;388143;440716;1788;
2025-07-01 00:00:00.218310;451518;388203;440870;1777;
2025-07-01 00:00:00.236503;451704;388425;441080;1832;
2025-07-01 00:00:00.254695;451980;388556;441344;1863;
2025-07-01 00:00:00.272888;452158;388668;441569;1850;
2025-07-01 00:00:00.291080;452269;388714;441641;1787;
2025-07-01 00:00:00.309273;452408;388786;441784;1815;
2025-07-01 00:00:00.327465;452460;388848;441756;1772;
2025-07-01 00:00:00.345658;452570;388691;441831;1762;
2025-07-01 00:00:00.363850;452614;388638;441806;1786;
2025-07-01 00:00:00.382043;452705;388591;441791;1800;
2025-07-01 00:00:00.400235;452731;388584;441791;1880;
2025-07-01 00:00:00.418428;452773;388486;441706;1852;
2025-07-01 00:00:00.436620;452748;388447;441677;1819;
2025-07-01 00:00:00.454813;452784;388470;441662;1870;
2025-07-01 00:00:00.473005;452760;388357;441574;1833;
2025-07-01 00:00:00.491198;452772;388366;441609;1863;
2025-07-01 00:00:00.509390;452714;388386;441556;1845;
2025-07-01 00:00:00.527583;452796;388431;441503;1830;
2025-07-01 00:00:00.545775;452859;388533;441512;1849;
2025-07-01 00:00:00.563968;452908;388522;441529;1856;
2025-07-01 00:00:00.582160;452930;388555;441547;1829;
2025-07-01 00:00:00.600353;453082;388655;441601;1864;
2025-07-01 00:00:00.618545;453051;388581;441556;1812;
2025-07-01 00:00:00.636738;453140;388705;441650;1805;
2025-07-01 00:00:00.654930;453205;388667;441592;1831;
2025-07-01 00:00:00.673123;453330;388827;441743;1869;
2025-07-01 00:00:00.691315;453364;388911;441748;1861;
2025-07-01 00:00:00.709508;453448;388942;441820;1822;
2025-07-01 00:00:00.727700;453644;389063;441947;1884;
2025-07-01 00:00:00.745893;453770;389144;441978;1818;
2025-07-01 00:00:00.764086;453804;389163;442048;1823;
2025-07-01 00:00:00.782278;453954;389337;442116;1819;
2025-07-01 00:00:00.800471;454008;389419;442181;1810;
2025-07-01 00:00:00.818663;454176;389505;442197;1768;
2025-07-01 00:00:00.836856;454393;389600;442400;1818;
2025-07-01 00:00:00.855048;454539;389705;442490;1829;
2025-07-01 00:00:00.873241;454709;389811;442602;1830;
2025-07-01 00:00:00.891433;454805;389931;442708;1829;
2025-07-01 00:00:00.909626;454992;390021;442819;1885;
2025-07-01 00:00:00.927818;455144;390189;442949;1850;
2025-07-01 00:00:00.946011;455321;390287;443058;1818;
2025-07-01 00:00:00.964203;455490;390462;443216;1879;
2025-07-01 00:00:00.982396;455647;390540;443279;1821;
2025-07-01 00:00:01.000588;455813;390697;443442;1808;
2025-07-01 00:00:01.018781;455961;390840;443531;1771;
2025-07-01 00:00:01.036973;456115;391004;443798;1814;
2025-07-01 00:00:01.055166;456213;391057;443880;1839;
2025-07-01 00:00:01.073358;456417;391170;443902;1830;
2025-07-01 00:00:01.091551;456545;391331;443998;1853;
2025-07-01 00:00:01.109743;456601;391330;444012;1811;
2025-07-01 00:00:01.127936;456573;391328;443997;1760;
2025-07-01 00:00:01.146128;456644;391257;444006;1834;
2025-07-01 00:00:01.164321;456589;391177;443985;1846;
2025-07-01 00:00:01.182513;456522;391114;443904;1784;
2025-07-01 00:00:01.200706;456602;391115;443893;1826;
2025-07-01 00:00:01.218898;456554;391030;443882;1854;
2025-07-01 00:00:01.237091;456477;390960;443781;1834;
2025-07-01 00:00:01.255283;456440;390919;443739;1767;
2025-07-01 00:00:01.273476;456496;390972;443767;1778;
2025-07-01 00:00:01.291668;456511;390937;443686;1848;
2025-07-01 00:00:01.309861;456495;390891;443711;1813;
2025-07-01 00:00:01.328053;456534;390905;443772;1778;
