Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;438937;382309;432932;1760;
2025-07-01 00:00:00.018191;439079;382421;433035;1697;
2025-07-01 00:00:00.036382;439227;382633;433235;1785;
2025-07-01 00:00:00.054573;439418;382717;433393;1769;
2025-07-01 00:00:00.072764;439592;382808;433588;1717;
2025-07-01 00:00:00.090955;439712;382871;433666;1799;
2025-07-01 00:00:00.109145;439786;382823;433714;1782;
2025-07-01 00:00:00.127336;439727;382773;433636;1758;
2025-07-01 00:00:00.145527;439608;382646;433560;1747;
2025-07-01 00:00:00.163718;439536;382530;433546;1750;
2025-07-01 00:00:00.181909;439423;382390;433462;1774;
2025-07-01 00:00:00.200100;439389;382304;433408;1779;
2025-07-01 00:00:00.218291;439237;382156;433272;1742;
2025-07-01 00:00:00.236482;439123;382057;433194;1715;
2025-07-01 00:00:00.254673;439030;381907;433026;1719;
2025-07-01 00:00:00.272864;438977;381818;432989;1727;
2025-07-01 00:00:00.291055;438825;381688;432900;1727;
2025-07-01 00:00:00.309246;438766;381597;432872;1744;
2025-07-01 00:00:00.327436;438801;381568;432778;1687;
2025-07-01 00:00:00.345627;438792;381577;432846;1776;
2025-07-01 00:00:00.363818;438854;381530;432879;1755;
2025-07-01 00:00:00.382009;438840;381544;432877;1698;
2025-07-01 00:00:00.400200;438886;381591;432928;1754;
2025-07-01 00:00:00.418391;438888;381564;432999;1661;
2025-07-01 00:00:00.436582;438949;381623;433001;1682;
2025-07-01 00:00:00.454773;438989;381648;432981;1675;
2025-07-01 00:00:00.472964;438981;381617;433055;1686;
2025-07-01 00:00:00.491155;439050;381742;433091;1710;
2025-07-01 00:00:00.509346;439128;381737;433169;1745;
2025-07-01 00:00:00.527536;439176;381786;433266;1684;
2025-07-01 00:00:00.545727;439286;381846;433338;1673;
2025-07-01 00:00:00.563918;439424;381918;433463;1726;
2025-07-01 00:00:00.582109;439509;382033;433499;1765;
2025-07-01 00:00:00.600300;439548;382027;433579;1734;
2025-07-01 00:00:00.618491;439689;382202;433759;1767;
2025-07-01 00:00:00.636682;439747;382180;433803;1733;
2025-07-01 00:00:00.654873;439953;382329;433962;1745;
2025-07-01 00:00:00.673064;440027;382372;434081;1703;
2025-07-01 00:00:00.691255;440168;382568;434213;1788;
