Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-60514;-105884;-55431;-298872;
2025-07-01 00:00:00.018196;-60497;-105853;-55446;-298908;
2025-07-01 00:00:00.036392;-60517;-105812;-55419;-298917;
2025-07-01 00:00:00.054588;-60507;-105819;-55399;-298899;
2025-07-01 00:00:00.072784;-60478;-105767;-55383;-298910;
2025-07-01 00:00:00.090980;-60485;-105793;-55330;-298899;
2025-07-01 00:00:00.109175;-60470;-105875;-55413;-298877;
2025-07-01 00:00:00.127371;-60477;-105842;-55408;-298823;
2025-07-01 00:00:00.145567;-60650;-105971;-55535;-298905;
2025-07-01 00:00:00.163763;-60605;-105995;-55508;-298952;
2025-07-01 00:00:00.181959;-60550;-105967;-55464;-298848;
2025-07-01 00:00:00.200155;-60678;-105939;-55555;-298906;
2025-07-01 00:00:00.218351;-60697;-105922;-55592;-298879;
2025-07-01 00:00:00.236547;-60720;-105958;-55650;-298970;
2025-07-01 00:00:00.254743;-60739;-105980;-55650;-298951;
2025-07-01 00:00:00.272939;-60767;-106041;-55696;-298938;
2025-07-01 00:00:00.291134;-60797;-105991;-55696;-298977;
2025-07-01 00:00:00.309330;-60792;-106049;-55714;-298914;
2025-07-01 00:00:00.327526;-60861;-106084;-55684;-298887;
2025-07-01 00:00:00.345722;-60786;-106017;-55725;-298930;
2025-07-01 00:00:00.363918;-60805;-106026;-55730;-298911;
2025-07-01 00:00:00.382114;-60757;-106003;-55678;-298880;
2025-07-01 00:00:00.400310;-60837;-106047;-55751;-298944;
2025-07-01 00:00:00.418506;-60868;-106041;-55775;-298891;
2025-07-01 00:00:00.436702;-60854;-106102;-55763;-298906;
2025-07-01 00:00:00.454898;-60803;-106093;-55782;-298930;
2025-07-01 00:00:00.473094;-60842;-106076;-55773;-298920;
2025-07-01 00:00:00.491289;-60861;-105971;-55785;-298912;
2025-07-01 00:00:00.509485;-60854;-106009;-55798;-298888;
2025-07-01 00:00:00.527681;-60831;-106040;-55817;-298924;
2025-07-01 00:00:00.545877;-60775;-106014;-55824;-298887;
2025-07-01 00:00:00.564073;-60850;-105982;-55809;-298924;
2025-07-01 00:00:00.582269;-60807;-105920;-55714;-298848;
2025-07-01 00:00:00.600465;-60809;-105922;-55710;-298859;
2025-07-01 00:00:00.618661;-60774;-105957;-55687;-298887;
2025-07-01 00:00:00.636857;-60806;-105920;-55653;-298895;
2025-07-01 00:00:00.655053;-60809;-105905;-55690;-298940;
2025-07-01 00:00:00.673248;-60779;-105879;-55644;-298882;
2025-07-01 00:00:00.691444;-60825;-105942;-55714;-298861;
2025-07-01 00:00:00.709640;-60754;-105935;-55651;-298807;
2025-07-01 00:00:00.727836;-60747;-105941;-55732;-298858;
