Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-38054;-90621;-42114;-298895;
2025-07-01 00:00:00.018197;-38058;-90623;-42084;-298948;
2025-07-01 00:00:00.036395;-38080;-90596;-42003;-298925;
2025-07-01 00:00:00.054592;-38112;-90652;-42028;-298914;
2025-07-01 00:00:00.072789;-38072;-90627;-42032;-298886;
2025-07-01 00:00:00.090986;-38123;-90604;-42092;-298927;
2025-07-01 00:00:00.109184;-38023;-90555;-42072;-298924;
2025-07-01 00:00:00.127381;-38039;-90561;-42127;-298925;
2025-07-01 00:00:00.145578;-38080;-90562;-42088;-298904;
2025-07-01 00:00:00.163775;-38165;-90514;-42120;-298894;
2025-07-01 00:00:00.181973;-38185;-90594;-42130;-298893;
2025-07-01 00:00:00.200170;-38240;-90693;-42162;-298914;
2025-07-01 00:00:00.218367;-38247;-90768;-42166;-298897;
2025-07-01 00:00:00.236564;-38339;-90847;-42208;-298930;
2025-07-01 00:00:00.254762;-38424;-90894;-42232;-298947;
2025-07-01 00:00:00.272959;-38602;-90976;-42391;-299024;
2025-07-01 00:00:00.291156;-38663;-91015;-42413;-298959;
2025-07-01 00:00:00.309354;-38695;-91116;-42513;-298947;
2025-07-01 00:00:00.327551;-38826;-91255;-42638;-298952;
2025-07-01 00:00:00.345748;-38910;-91210;-42625;-298931;
2025-07-01 00:00:00.363945;-38925;-91299;-42722;-298940;
2025-07-01 00:00:00.382143;-38976;-91348;-42831;-298918;
2025-07-01 00:00:00.400340;-39140;-91450;-42916;-298921;
2025-07-01 00:00:00.418537;-39244;-91545;-43060;-299000;
2025-07-01 00:00:00.436734;-39266;-91516;-43081;-298963;
2025-07-01 00:00:00.454932;-39367;-91540;-43133;-298946;
2025-07-01 00:00:00.473129;-39430;-91544;-43178;-298942;
2025-07-01 00:00:00.491326;-39476;-91556;-43202;-298950;
2025-07-01 00:00:00.509524;-39570;-91553;-43249;-298999;
2025-07-01 00:00:00.527721;-39582;-91503;-43376;-298983;
2025-07-01 00:00:00.545918;-39644;-91565;-43480;-299008;
2025-07-01 00:00:00.564115;-39660;-91574;-43482;-298987;
2025-07-01 00:00:00.582313;-39733;-91668;-43591;-298969;
2025-07-01 00:00:00.600510;-39778;-91650;-43618;-298992;
2025-07-01 00:00:00.618707;-39796;-91617;-43659;-298939;
2025-07-01 00:00:00.636904;-39854;-91700;-43706;-298935;
2025-07-01 00:00:00.655102;-39920;-91770;-43778;-298931;
2025-07-01 00:00:00.673299;-39942;-91785;-43858;-298923;
2025-07-01 00:00:00.691496;-39935;-91803;-43898;-298903;
2025-07-01 00:00:00.709693;-40020;-91867;-43883;-298981;
2025-07-01 00:00:00.727891;-40090;-91936;-43986;-299006;
2025-07-01 00:00:00.746088;-40058;-91919;-43959;-298961;
2025-07-01 00:00:00.764285;-40120;-91916;-43951;-298974;
2025-07-01 00:00:00.782483;-40148;-92019;-44027;-298923;
2025-07-01 00:00:00.800680;-40186;-92031;-44092;-298960;
2025-07-01 00:00:00.818877;-40183;-91982;-44097;-298951;
2025-07-01 00:00:00.837074;-40274;-92026;-44052;-299003;
2025-07-01 00:00:00.855272;-40309;-92024;-44136;-298987;
2025-07-01 00:00:00.873469;-40373;-92029;-44189;-299021;
2025-07-01 00:00:00.891666;-40377;-92133;-44235;-299012;
2025-07-01 00:00:00.909863;-40394;-92087;-44271;-298941;
2025-07-01 00:00:00.928061;-40490;-92192;-44412;-298910;
2025-07-01 00:00:00.946258;-40598;-92181;-44558;-298950;
2025-07-01 00:00:00.964455;-40690;-92219;-44632;-298975;
2025-07-01 00:00:00.982652;-40689;-92184;-44696;-298939;
2025-07-01 00:00:01.000850;-40800;-92242;-44692;-298983;
2025-07-01 00:00:01.019047;-40854;-92182;-44768;-298945;
2025-07-01 00:00:01.037244;-40918;-92343;-44844;-298940;
2025-07-01 00:00:01.055442;-41051;-92394;-44826;-299002;
2025-07-01 00:00:01.073639;-41210;-92543;-44931;-298986;
2025-07-01 00:00:01.091836;-41294;-92645;-44945;-298968;
2025-07-01 00:00:01.110033;-41428;-92774;-44993;-299004;
