Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;-51056;-99850;-55680;-298864;
2025-07-01 00:00:00.018196;-51055;-99853;-55606;-298824;
2025-07-01 00:00:00.036393;-51110;-99895;-55631;-298837;
2025-07-01 00:00:00.054589;-51073;-99882;-55712;-298807;
2025-07-01 00:00:00.072785;-51145;-99924;-55736;-298827;
2025-07-01 00:00:00.090982;-51157;-99917;-55795;-298825;
2025-07-01 00:00:00.109178;-51229;-99942;-55804;-298859;
2025-07-01 00:00:00.127374;-51276;-100028;-55832;-298845;
2025-07-01 00:00:00.145571;-51376;-100016;-55891;-298908;
2025-07-01 00:00:00.163767;-51379;-100018;-55886;-298827;
2025-07-01 00:00:00.181964;-51384;-100035;-55912;-298850;
2025-07-01 00:00:00.200160;-51368;-100041;-55922;-298843;
2025-07-01 00:00:00.218356;-51369;-100050;-55954;-298827;
2025-07-01 00:00:00.236553;-51440;-100131;-55980;-298810;
2025-07-01 00:00:00.254749;-51397;-100083;-56014;-298866;
2025-07-01 00:00:00.272945;-51454;-100038;-56020;-298787;
2025-07-01 00:00:00.291142;-51505;-100139;-56098;-298827;
2025-07-01 00:00:00.309338;-51509;-100127;-56119;-298786;
2025-07-01 00:00:00.327534;-51468;-100125;-56070;-298741;
2025-07-01 00:00:00.345731;-51567;-100147;-56158;-298818;
2025-07-01 00:00:00.363927;-51614;-100161;-56139;-298826;
2025-07-01 00:00:00.382123;-51595;-100150;-56195;-298758;
2025-07-01 00:00:00.400320;-51626;-100129;-56210;-298826;
2025-07-01 00:00:00.418516;-51703;-100168;-56227;-298863;
2025-07-01 00:00:00.436712;-51712;-100184;-56191;-298847;
2025-07-01 00:00:00.454909;-51688;-100194;-56219;-298788;
2025-07-01 00:00:00.473105;-51767;-100240;-56310;-298893;
2025-07-01 00:00:00.491302;-51715;-100251;-56275;-298828;
2025-07-01 00:00:00.509498;-51748;-100196;-56286;-298853;
2025-07-01 00:00:00.527694;-51715;-100196;-56289;-298801;
2025-07-01 00:00:00.545891;-51770;-100222;-56273;-298806;
2025-07-01 00:00:00.564087;-51784;-100268;-56339;-298847;
2025-07-01 00:00:00.582283;-51870;-100342;-56377;-298825;
2025-07-01 00:00:00.600480;-51868;-100302;-56428;-298810;
2025-07-01 00:00:00.618676;-51895;-100291;-56464;-298787;
2025-07-01 00:00:00.636872;-51968;-100381;-56522;-298843;
2025-07-01 00:00:00.655069;-51988;-100401;-56593;-298804;
2025-07-01 00:00:00.673265;-52026;-100437;-56626;-298792;
2025-07-01 00:00:00.691461;-52021;-100416;-56629;-298784;
2025-07-01 00:00:00.709658;-52128;-100505;-56789;-298787;
2025-07-01 00:00:00.727854;-52198;-100542;-56824;-298805;
2025-07-01 00:00:00.746050;-52262;-100569;-56881;-298804;
2025-07-01 00:00:00.764247;-52363;-100610;-56890;-298815;
2025-07-01 00:00:00.782443;-52342;-100639;-56962;-298849;
2025-07-01 00:00:00.800639;-52420;-100641;-56967;-298810;
2025-07-01 00:00:00.818836;-52479;-100774;-57086;-298835;
2025-07-01 00:00:00.837032;-52461;-100775;-57108;-298796;
2025-07-01 00:00:00.855229;-52491;-100771;-57148;-298833;
2025-07-01 00:00:00.873425;-52510;-100802;-57186;-298785;
2025-07-01 00:00:00.891621;-52575;-100852;-57237;-298803;
2025-07-01 00:00:00.909818;-52589;-100871;-57236;-298842;
2025-07-01 00:00:00.928014;-52569;-100854;-57273;-298810;
2025-07-01 00:00:00.946210;-52643;-100860;-57328;-298799;
2025-07-01 00:00:00.964407;-52715;-100814;-57346;-298809;
2025-07-01 00:00:00.982603;-52672;-100834;-57367;-298785;
2025-07-01 00:00:01.000799;-52729;-100879;-57360;-298818;
2025-07-01 00:00:01.018996;-52767;-100897;-57382;-298837;
2025-07-01 00:00:01.037192;-52801;-100927;-57426;-298820;
2025-07-01 00:00:01.055388;-52826;-100905;-57407;-298780;
2025-07-01 00:00:01.073585;-52816;-100932;-57369;-298785;
2025-07-01 00:00:01.091781;-52881;-101018;-57440;-298829;
2025-07-01 00:00:01.109977;-52902;-100996;-57405;-298844;
2025-07-01 00:00:01.128174;-52866;-101014;-57464;-298843;
2025-07-01 00:00:01.146370;-52818;-101042;-57476;-298771;
2025-07-01 00:00:01.164567;-52938;-101088;-57534;-298785;
2025-07-01 00:00:01.182763;-52891;-101051;-57484;-298761;
2025-07-01 00:00:01.200959;-52868;-101125;-57528;-298826;
2025-07-01 00:00:01.219156;-52881;-101157;-57525;-298809;
2025-07-01 00:00:01.237352;-52937;-101171;-57515;-298743;
2025-07-01 00:00:01.255548;-52978;-101231;-57545;-298810;
2025-07-01 00:00:01.273745;-53112;-101334;-57597;-298859;
2025-07-01 00:00:01.291941;-53154;-101321;-57694;-298801;
2025-07-01 00:00:01.310137;-53176;-101380;-57709;-298813;
2025-07-01 00:00:01.328334;-53199;-101355;-57799;-298829;
2025-07-01 00:00:01.346530;-53227;-101431;-57825;-298787;
2025-07-01 00:00:01.364726;-53320;-101491;-57859;-298850;
2025-07-01 00:00:01.382923;-53286;-101518;-57979;-298866;
2025-07-01 00:00:01.401119;-53273;-101458;-57996;-298839;
2025-07-01 00:00:01.419315;-53307;-101499;-57957;-298818;
2025-07-01 00:00:01.437512;-53382;-101537;-58027;-298774;
2025-07-01 00:00:01.455708;-53396;-101536;-58072;-298804;
2025-07-01 00:00:01.473905;-53416;-101502;-58043;-298787;
2025-07-01 00:00:01.492101;-53484;-101579;-58137;-298811;
2025-07-01 00:00:01.510297;-53447;-101541;-58123;-298793;
2025-07-01 00:00:01.528494;-53504;-101632;-58204;-298838;
2025-07-01 00:00:01.546690;-53477;-101691;-58199;-298819;
2025-07-01 00:00:01.564886;-53472;-101669;-58255;-298844;
2025-07-01 00:00:01.583083;-53532;-101717;-58228;-298799;
2025-07-01 00:00:01.601279;-53505;-101686;-58226;-298808;
2025-07-01 00:00:01.619475;-53574;-101674;-58263;-298866;
2025-07-01 00:00:01.637672;-53560;-101705;-58307;-298875;
2025-07-01 00:00:01.655868;-53604;-101680;-58223;-298864;
