Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;534589;532728;520649;373465;
2025-07-01 00:00:00.018261;534446;532546;520465;373412;
2025-07-01 00:00:00.036521;534284;532439;520342;373435;
2025-07-01 00:00:00.054782;534193;532332;520237;373405;
2025-07-01 00:00:00.073043;534069;532191;520142;373416;
2025-07-01 00:00:00.091304;534024;532152;520093;373403;
2025-07-01 00:00:00.109564;533975;532090;520128;373384;
2025-07-01 00:00:00.127825;533911;531994;520026;373439;
2025-07-01 00:00:00.146086;533872;532044;519937;373387;
2025-07-01 00:00:00.164347;533845;531968;519940;373401;
2025-07-01 00:00:00.182607;533804;531925;519933;373426;
2025-07-01 00:00:00.200868;533813;531875;519858;373382;
2025-07-01 00:00:00.219129;533788;531874;519838;373382;
2025-07-01 00:00:00.237390;533755;531808;519840;373385;
2025-07-01 00:00:00.255650;533736;531793;519778;373419;
2025-07-01 00:00:00.273911;533651;531689;519700;373398;
2025-07-01 00:00:00.292172;533641;531752;519699;373382;
2025-07-01 00:00:00.310433;533636;531757;519683;373440;
2025-07-01 00:00:00.328693;533604;531707;519740;373407;
2025-07-01 00:00:00.346954;533595;531719;519746;373371;
2025-07-01 00:00:00.365215;533698;531771;519733;373424;
2025-07-01 00:00:00.383475;533737;531753;519745;373422;
2025-07-01 00:00:00.401736;533688;531747;519760;373423;
2025-07-01 00:00:00.419997;533739;531799;519800;373403;
2025-07-01 00:00:00.438258;533753;531761;519783;373389;
2025-07-01 00:00:00.456518;533716;531832;519768;373409;
2025-07-01 00:00:00.474779;533781;531892;519827;373405;
2025-07-01 00:00:00.493040;533778;531813;519858;373421;
2025-07-01 00:00:00.511301;533865;531880;519902;373436;
2025-07-01 00:00:00.529561;533862;531865;519851;373384;
2025-07-01 00:00:00.547822;533958;531903;519957;373461;
2025-07-01 00:00:00.566083;533900;531931;519883;373382;
2025-07-01 00:00:00.584344;533999;531915;519945;373395;
2025-07-01 00:00:00.602604;534066;531989;520001;373393;
2025-07-01 00:00:00.620865;534097;532084;520079;373483;
2025-07-01 00:00:00.639126;534081;532059;520020;373424;
2025-07-01 00:00:00.657386;533894;532020;519895;373441;
2025-07-01 00:00:00.675647;533846;531881;519736;373399;
2025-07-01 00:00:00.693908;533692;531741;519625;373448;
2025-07-01 00:00:00.712169;533502;531634;519444;373393;
2025-07-01 00:00:00.730429;533347;531489;519373;373416;
2025-07-01 00:00:00.748690;533244;531391;519264;373337;
2025-07-01 00:00:00.766951;533248;531327;519219;373457;
2025-07-01 00:00:00.785212;533110;531234;519121;373404;
2025-07-01 00:00:00.803472;533047;531121;519052;373404;
2025-07-01 00:00:00.821733;532962;531055;518982;373410;
2025-07-01 00:00:00.839994;532978;531011;518926;373390;
2025-07-01 00:00:00.858255;532947;530954;518911;373415;
2025-07-01 00:00:00.876515;532922;530942;518919;373404;
2025-07-01 00:00:00.894776;532876;530931;518865;373407;
2025-07-01 00:00:00.913037;532854;530979;518860;373443;
2025-07-01 00:00:00.931298;532787;530955;518793;373415;
2025-07-01 00:00:00.949558;532825;530884;518711;373437;
2025-07-01 00:00:00.967819;532746;530892;518658;373426;
2025-07-01 00:00:00.986080;532767;530882;518656;373356;
2025-07-01 00:00:01.004340;532776;530851;518669;373426;
2025-07-01 00:00:01.022601;532755;530843;518704;373442;
2025-07-01 00:00:01.040862;532794;530800;518654;373447;
2025-07-01 00:00:01.059123;532732;530801;518644;373419;
2025-07-01 00:00:01.077383;532767;530846;518704;373444;
2025-07-01 00:00:01.095644;532820;530927;518722;373458;
2025-07-01 00:00:01.113905;532798;530911;518710;373441;
2025-07-01 00:00:01.132166;532850;530919;518748;373386;
2025-07-01 00:00:01.150426;532918;530911;518813;373383;
2025-07-01 00:00:01.168687;532911;530963;518853;373391;
2025-07-01 00:00:01.186948;532968;530993;518830;373416;
2025-07-01 00:00:01.205209;532993;531023;518887;373454;
2025-07-01 00:00:01.223469;533090;531135;518909;373402;
2025-07-01 00:00:01.241730;533049;531064;518904;373383;
2025-07-01 00:00:01.259991;533075;531091;519007;373417;
2025-07-01 00:00:01.278252;533129;531149;519003;373419;
2025-07-01 00:00:01.296512;533228;531197;519082;373408;
2025-07-01 00:00:01.314773;533273;531233;519139;373434;
2025-07-01 00:00:01.333034;533290;531261;519107;373416;
2025-07-01 00:00:01.351294;533239;531285;519061;373461;
2025-07-01 00:00:01.369555;533148;531199;518956;373399;
2025-07-01 00:00:01.387816;533020;531083;518816;373414;
2025-07-01 00:00:01.406077;532838;530961;518737;373436;
2025-07-01 00:00:01.424337;532793;530836;518640;373496;
2025-07-01 00:00:01.442598;532648;530742;518513;373500;
2025-07-01 00:00:01.460859;532582;530615;518464;373444;
2025-07-01 00:00:01.479120;532474;530521;518393;373425;
2025-07-01 00:00:01.497380;532406;530402;518388;373441;
2025-07-01 00:00:01.515641;532339;530347;518307;373414;
2025-07-01 00:00:01.533902;532340;530361;518344;373437;
2025-07-01 00:00:01.552163;532274;530246;518312;373401;
2025-07-01 00:00:01.570423;532324;530217;518301;373422;
2025-07-01 00:00:01.588684;532355;530194;518266;373407;
2025-07-01 00:00:01.606945;532308;530211;518301;373425;
2025-07-01 00:00:01.625206;532367;530154;518312;373415;
2025-07-01 00:00:01.643466;532302;530101;518312;373417;
2025-07-01 00:00:01.661727;532341;530116;518262;373380;
2025-07-01 00:00:01.679988;532333;530144;518332;373423;
2025-07-01 00:00:01.698248;532291;530054;518355;373442;
2025-07-01 00:00:01.716509;532285;530023;518302;373388;
2025-07-01 00:00:01.734770;532372;530063;518325;373455;
2025-07-01 00:00:01.753031;532326;530037;518356;373424;
2025-07-01 00:00:01.771291;532370;530023;518387;373369;
2025-07-01 00:00:01.789552;532464;530110;518446;373379;
2025-07-01 00:00:01.807813;532548;530117;518468;373435;
2025-07-01 00:00:01.826074;532549;530127;518495;373471;
2025-07-01 00:00:01.844334;532534;530117;518471;373420;
2025-07-01 00:00:01.862595;532571;530160;518505;373404;
2025-07-01 00:00:01.880856;532626;530237;518500;373424;
2025-07-01 00:00:01.899117;532655;530274;518539;373520;
2025-07-01 00:00:01.917377;532679;530311;518533;373457;
2025-07-01 00:00:01.935638;532688;530308;518568;373432;
2025-07-01 00:00:01.953899;532756;530367;518633;373396;
2025-07-01 00:00:01.972159;532812;530427;518625;373384;
2025-07-01 00:00:01.990420;532907;530447;518708;373434;
2025-07-01 00:00:02.008681;532878;530464;518625;373442;
2025-07-01 00:00:02.026942;532955;530533;518702;373406;
2025-07-01 00:00:02.045202;532971;530493;518656;373386;
2025-07-01 00:00:02.063463;532934;530525;518644;373424;
2025-07-01 00:00:02.081724;532796;530471;518507;373388;
2025-07-01 00:00:02.099985;532750;530465;518453;373436;
2025-07-01 00:00:02.118245;532573;530342;518336;373437;
2025-07-01 00:00:02.136506;532395;530151;518119;373358;
2025-07-01 00:00:02.154767;532318;530124;518111;373409;
2025-07-01 00:00:02.173028;532242;530010;517991;373435;
2025-07-01 00:00:02.191288;532198;529903;517944;373412;
2025-07-01 00:00:02.209549;532114;529819;517836;373375;
2025-07-01 00:00:02.227810;532101;529767;517887;373395;
2025-07-01 00:00:02.246071;532023;529701;517905;373402;
2025-07-01 00:00:02.264331;532083;529669;517937;373430;
2025-07-01 00:00:02.282592;532116;529699;517925;373422;
2025-07-01 00:00:02.300853;532105;529662;518000;373391;
2025-07-01 00:00:02.319113;532066;529612;517989;373397;
2025-07-01 00:00:02.337374;532152;529706;518043;373446;
2025-07-01 00:00:02.355635;532139;529718;518064;373415;
2025-07-01 00:00:02.373896;532140;529678;518019;373355;
