Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;395155;308376;269528;2414;
2025-07-01 00:00:00.018194;395311;308491;269644;2402;
2025-07-01 00:00:00.036388;395487;308643;269839;2429;
2025-07-01 00:00:00.054582;395605;308753;269879;2400;
2025-07-01 00:00:00.072775;395672;308821;269926;2422;
2025-07-01 00:00:00.090969;395553;308755;269784;2389;
2025-07-01 00:00:00.109163;395447;308584;269682;2428;
2025-07-01 00:00:00.127357;395165;308328;269465;2410;
2025-07-01 00:00:00.145551;394822;308088;269254;2416;
2025-07-01 00:00:00.163745;394486;307906;269029;2414;
2025-07-01 00:00:00.181939;394151;307637;268785;2374;
2025-07-01 00:00:00.200132;393963;307445;268563;2428;
2025-07-01 00:00:00.218326;393650;307190;268344;2298;
2025-07-01 00:00:00.236520;393361;306933;268157;2361;
2025-07-01 00:00:00.254714;393077;306676;267917;2391;
2025-07-01 00:00:00.272908;392799;306445;267766;2362;
2025-07-01 00:00:00.291102;392628;306379;267677;2437;
2025-07-01 00:00:00.309296;392497;306183;267540;2419;
2025-07-01 00:00:00.327489;392384;306122;267474;2351;
2025-07-01 00:00:00.345683;392381;306124;267429;2431;
2025-07-01 00:00:00.363877;392326;306065;267393;2337;
2025-07-01 00:00:00.382071;392257;306082;267376;2378;
2025-07-01 00:00:00.400265;392247;306051;267399;2424;
2025-07-01 00:00:00.418459;392206;306024;267339;2371;
2025-07-01 00:00:00.436653;392119;305976;267343;2361;
2025-07-01 00:00:00.454846;392206;306023;267380;2413;
2025-07-01 00:00:00.473040;392222;305955;267314;2352;
2025-07-01 00:00:00.491234;392261;305998;267321;2347;
2025-07-01 00:00:00.509428;392290;305935;267340;2346;
2025-07-01 00:00:00.527622;392353;306048;267452;2388;
2025-07-01 00:00:00.545816;392387;306149;267477;2408;
2025-07-01 00:00:00.564010;392491;306235;267509;2365;
2025-07-01 00:00:00.582203;392539;306244;267546;2372;
2025-07-01 00:00:00.600397;392718;306379;267618;2384;
2025-07-01 00:00:00.618591;392836;306529;267804;2385;
2025-07-01 00:00:00.636785;393009;306633;267923;2433;
