Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;382099;304816;263908;1651;
2025-07-01 00:00:00.018193;381972;304694;263735;1670;
2025-07-01 00:00:00.036386;381884;304674;263621;1657;
2025-07-01 00:00:00.054578;381757;304603;263539;1670;
2025-07-01 00:00:00.072771;381564;304450;263402;1641;
2025-07-01 00:00:00.090964;381410;304372;263224;1703;
2025-07-01 00:00:00.109157;381177;304183;262973;1684;
2025-07-01 00:00:00.127349;381063;304088;262823;1582;
2025-07-01 00:00:00.145542;380912;304057;262813;1645;
2025-07-01 00:00:00.163735;380751;303970;262735;1581;
2025-07-01 00:00:00.181928;380614;303838;262721;1613;
2025-07-01 00:00:00.200120;380459;303687;262621;1646;
2025-07-01 00:00:00.218313;380093;303547;262470;1632;
2025-07-01 00:00:00.236506;379779;303293;262281;1617;
2025-07-01 00:00:00.254699;379560;303126;262192;1665;
2025-07-01 00:00:00.272892;379261;302832;261910;1623;
2025-07-01 00:00:00.291084;379057;302658;261750;1629;
2025-07-01 00:00:00.309277;378770;302510;261593;1633;
2025-07-01 00:00:00.327470;378456;302288;261431;1656;
2025-07-01 00:00:00.345663;378234;302144;261336;1655;
2025-07-01 00:00:00.363855;378091;302105;261221;1631;
2025-07-01 00:00:00.382048;377935;302026;261171;1596;
2025-07-01 00:00:00.400241;377845;302000;261231;1650;
2025-07-01 00:00:00.418434;377766;302001;261282;1653;
2025-07-01 00:00:00.436626;377627;301944;261266;1631;
2025-07-01 00:00:00.454819;377554;301853;261121;1624;
2025-07-01 00:00:00.473012;377413;301785;261114;1652;
2025-07-01 00:00:00.491205;377206;301649;261067;1697;
2025-07-01 00:00:00.509398;377002;301569;260962;1597;
2025-07-01 00:00:00.527590;376972;301516;260993;1633;
2025-07-01 00:00:00.545783;376862;301412;260905;1613;
2025-07-01 00:00:00.563976;376786;301334;260835;1603;
2025-07-01 00:00:00.582169;376724;301336;260809;1595;
2025-07-01 00:00:00.600361;376681;301303;260817;1662;
2025-07-01 00:00:00.618554;376651;301270;260795;1674;
2025-07-01 00:00:00.636747;376610;301275;260824;1674;
2025-07-01 00:00:00.654940;376507;301229;260745;1612;
2025-07-01 00:00:00.673132;376478;301191;260728;1635;
2025-07-01 00:00:00.691325;376447;301197;260729;1610;
2025-07-01 00:00:00.709518;376535;301269;260734;1641;
2025-07-01 00:00:00.727711;376571;301277;260817;1572;
2025-07-01 00:00:00.745903;376644;301321;260835;1595;
2025-07-01 00:00:00.764096;376815;301479;261059;1649;
2025-07-01 00:00:00.782289;377042;301576;261170;1621;
2025-07-01 00:00:00.800482;377204;301758;261286;1593;
2025-07-01 00:00:00.818675;377393;301959;261424;1590;
2025-07-01 00:00:00.836867;377613;302111;261653;1572;
2025-07-01 00:00:00.855060;377837;302274;261918;1583;
2025-07-01 00:00:00.873253;378092;302426;262107;1595;
2025-07-01 00:00:00.891446;378241;302537;262214;1572;
2025-07-01 00:00:00.909638;378447;302747;262302;1621;
2025-07-01 00:00:00.927831;378690;302902;262508;1638;
2025-07-01 00:00:00.946024;378917;303154;262811;1652;
2025-07-01 00:00:00.964217;379231;303350;263006;1695;
2025-07-01 00:00:00.982409;379415;303482;263150;1624;
2025-07-01 00:00:01.000602;379454;303608;263176;1593;
2025-07-01 00:00:01.018795;379573;303710;263306;1523;
2025-07-01 00:00:01.036988;379732;303836;263460;1616;
2025-07-01 00:00:01.055181;379862;303957;263557;1633;
2025-07-01 00:00:01.073373;379932;304056;263623;1574;
2025-07-01 00:00:01.091566;380017;304079;263686;1594;
2025-07-01 00:00:01.109759;380092;304150;263783;1606;
2025-07-01 00:00:01.127952;380170;304261;263874;1626;
2025-07-01 00:00:01.146144;380316;304319;263895;1627;
2025-07-01 00:00:01.164337;380411;304373;264017;1575;
2025-07-01 00:00:01.182530;380534;304494;264118;1643;
2025-07-01 00:00:01.200723;380593;304583;264179;1625;
2025-07-01 00:00:01.218915;380690;304682;264284;1609;
2025-07-01 00:00:01.237108;380879;304897;264447;1633;
2025-07-01 00:00:01.255301;381034;305014;264576;1634;
2025-07-01 00:00:01.273494;381219;305038;264710;1629;
2025-07-01 00:00:01.291687;381304;305205;264793;1626;
2025-07-01 00:00:01.309879;381504;305280;264954;1581;
2025-07-01 00:00:01.328072;381628;305381;265057;1599;
2025-07-01 00:00:01.346265;381732;305484;265185;1566;
2025-07-01 00:00:01.364458;381944;305664;265289;1605;
2025-07-01 00:00:01.382650;382106;305797;265403;1615;
2025-07-01 00:00:01.400843;382192;305865;265509;1618;
2025-07-01 00:00:01.419036;382401;305987;265615;1627;
2025-07-01 00:00:01.437229;382565;306128;265791;1588;
2025-07-01 00:00:01.455421;382774;306229;265873;1559;
2025-07-01 00:00:01.473614;382919;306384;266038;1615;
2025-07-01 00:00:01.491807;383146;306619;266197;1607;
2025-07-01 00:00:01.510000;383436;306727;266338;1662;
2025-07-01 00:00:01.528193;383611;306950;266552;1631;
2025-07-01 00:00:01.546385;383843;307061;266678;1682;
2025-07-01 00:00:01.564578;384047;307235;266832;1633;
2025-07-01 00:00:01.582771;384216;307368;267029;1629;
2025-07-01 00:00:01.600964;384444;307564;267158;1595;
2025-07-01 00:00:01.619156;384603;307609;267249;1590;
2025-07-01 00:00:01.637349;384692;307720;267305;1653;
2025-07-01 00:00:01.655542;384714;307730;267311;1630;
2025-07-01 00:00:01.673735;384668;307768;267267;1574;
2025-07-01 00:00:01.691927;384696;307699;267305;1624;
2025-07-01 00:00:01.710120;384622;307693;267232;1615;
2025-07-01 00:00:01.728313;384600;307676;267179;1600;
2025-07-01 00:00:01.746506;384518;307715;267142;1685;
2025-07-01 00:00:01.764698;384458;307693;267142;1618;
2025-07-01 00:00:01.782891;384440;307596;267034;1610;
2025-07-01 00:00:01.801084;384333;307549;266882;1618;
2025-07-01 00:00:01.819277;384262;307526;266885;1642;
2025-07-01 00:00:01.837470;384164;307454;266849;1617;
2025-07-01 00:00:01.855662;384203;307505;266892;1670;
2025-07-01 00:00:01.873855;384203;307488;266875;1592;
2025-07-01 00:00:01.892048;384241;307591;266967;1664;
2025-07-01 00:00:01.910241;384294;307592;266968;1635;
2025-07-01 00:00:01.928433;384346;307675;266971;1653;
2025-07-01 00:00:01.946626;384438;307724;267019;1601;
2025-07-01 00:00:01.964819;384565;307760;267002;1570;
2025-07-01 00:00:01.983012;384675;307855;267081;1596;
2025-07-01 00:00:02.001204;384646;307880;267024;1556;
2025-07-01 00:00:02.019397;384685;307914;266995;1600;
2025-07-01 00:00:02.037590;384765;307931;266972;1625;
2025-07-01 00:00:02.055783;384697;307935;266948;1584;
2025-07-01 00:00:02.073976;384731;307953;266954;1635;
2025-07-01 00:00:02.092168;384692;307984;266968;1573;
2025-07-01 00:00:02.110361;384760;308013;266979;1601;
2025-07-01 00:00:02.128554;384823;307990;266973;1620;
2025-07-01 00:00:02.146747;384857;307981;267032;1606;
2025-07-01 00:00:02.164939;384890;308048;267038;1659;
2025-07-01 00:00:02.183132;384921;308075;267068;1569;
2025-07-01 00:00:02.201325;385081;308129;267181;1580;
2025-07-01 00:00:02.219518;385231;308292;267272;1620;
2025-07-01 00:00:02.237710;385333;308457;267399;1641;
2025-07-01 00:00:02.255903;385505;308529;267541;1646;
2025-07-01 00:00:02.274096;385636;308606;267574;1622;
2025-07-01 00:00:02.292289;385860;308747;267698;1601;
2025-07-01 00:00:02.310482;385964;308859;267757;1613;
2025-07-01 00:00:02.328674;386062;308904;267799;1606;
2025-07-01 00:00:02.346867;386052;308859;267774;1628;
2025-07-01 00:00:02.365060;386045;308834;267749;1624;
2025-07-01 00:00:02.383253;385960;308865;267698;1612;
2025-07-01 00:00:02.401445;385898;308878;267663;1612;
2025-07-01 00:00:02.419638;385866;308792;267623;1632;
2025-07-01 00:00:02.437831;385868;308790;267572;1588;
2025-07-01 00:00:02.456024;385830;308806;267589;1644;
2025-07-01 00:00:02.474216;385737;308781;267527;1653;
2025-07-01 00:00:02.492409;385731;308741;267500;1667;
2025-07-01 00:00:02.510602;385646;308724;267479;1620;
2025-07-01 00:00:02.528795;385609;308654;267406;1627;
2025-07-01 00:00:02.546988;385648;308725;267484;1641;
2025-07-01 00:00:02.565180;385753;308773;267512;1609;
2025-07-01 00:00:02.583373;385667;308724;267440;1650;
2025-07-01 00:00:02.601566;385675;308670;267420;1656;
2025-07-01 00:00:02.619759;385653;308677;267381;1640;
2025-07-01 00:00:02.637951;385690;308695;267393;1612;
