Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;203879;97655;73483;-179198;
2025-07-01 00:00:00.018255;203739;97507;73290;-179177;
2025-07-01 00:00:00.036509;203582;97421;73133;-179186;
2025-07-01 00:00:00.054764;203580;97379;73129;-179114;
2025-07-01 00:00:00.073019;203549;97389;73099;-179131;
2025-07-01 00:00:00.091274;203474;97332;73084;-179203;
2025-07-01 00:00:00.109528;203557;97513;73194;-179143;
2025-07-01 00:00:00.127783;203501;97484;73144;-179156;
2025-07-01 00:00:00.146038;203597;97503;73230;-179110;
2025-07-01 00:00:00.164292;203585;97497;73260;-179176;
2025-07-01 00:00:00.182547;203521;97495;73200;-179130;
2025-07-01 00:00:00.200802;203475;97524;73238;-179123;
2025-07-01 00:00:00.219057;203470;97489;73165;-179112;
2025-07-01 00:00:00.237311;203444;97457;73168;-179186;
2025-07-01 00:00:00.255566;203502;97492;73223;-179181;
2025-07-01 00:00:00.273821;203517;97503;73306;-179199;
2025-07-01 00:00:00.292076;203681;97655;73451;-179147;
2025-07-01 00:00:00.310330;203733;97741;73485;-179200;
2025-07-01 00:00:00.328585;203796;97828;73567;-179187;
2025-07-01 00:00:00.346840;203886;97907;73621;-179173;
2025-07-01 00:00:00.365094;204078;98089;73813;-179095;
2025-07-01 00:00:00.383349;204107;98255;73985;-179157;
2025-07-01 00:00:00.401604;204173;98309;74005;-179203;
2025-07-01 00:00:00.419859;204267;98413;74130;-179206;
2025-07-01 00:00:00.438113;204380;98520;74242;-179187;
2025-07-01 00:00:00.456368;204488;98660;74262;-179176;
2025-07-01 00:00:00.474623;204580;98791;74446;-179160;
2025-07-01 00:00:00.492877;204755;98920;74609;-179173;
2025-07-01 00:00:00.511132;204854;99076;74762;-179224;
2025-07-01 00:00:00.529387;204938;99198;74867;-179180;
2025-07-01 00:00:00.547642;205072;99387;75001;-179213;
2025-07-01 00:00:00.565896;205216;99560;75157;-179174;
2025-07-01 00:00:00.584151;205327;99696;75262;-179177;
2025-07-01 00:00:00.602406;205468;99804;75395;-179197;
2025-07-01 00:00:00.620660;205648;99960;75537;-179220;
2025-07-01 00:00:00.638915;205722;100100;75660;-179234;
2025-07-01 00:00:00.657170;205940;100286;75817;-179212;
2025-07-01 00:00:00.675425;206035;100450;76074;-179229;
2025-07-01 00:00:00.693679;206176;100604;76180;-179216;
2025-07-01 00:00:00.711934;206379;100721;76304;-179229;
2025-07-01 00:00:00.730189;206460;100786;76308;-179221;
2025-07-01 00:00:00.748444;206380;100566;76138;-179203;
2025-07-01 00:00:00.766698;206107;100105;75772;-179250;
2025-07-01 00:00:00.784953;205776;99824;75304;-179212;
2025-07-01 00:00:00.803208;205433;99382;74854;-179256;
2025-07-01 00:00:00.821462;204961;99072;74518;-179202;
2025-07-01 00:00:00.839717;204756;98808;74245;-179207;
2025-07-01 00:00:00.857972;204520;98563;73963;-179228;
2025-07-01 00:00:00.876227;204372;98457;73869;-179206;
2025-07-01 00:00:00.894481;204251;98349;73736;-179165;
2025-07-01 00:00:00.912736;204115;98353;73723;-179227;
2025-07-01 00:00:00.930991;204114;98359;73791;-179112;
2025-07-01 00:00:00.949245;204059;98375;73791;-179127;
2025-07-01 00:00:00.967500;203950;98403;73700;-179147;
2025-07-01 00:00:00.985755;203904;98417;73773;-179230;
2025-07-01 00:00:01.004010;203948;98357;73776;-179280;
2025-07-01 00:00:01.022264;203972;98443;73774;-179169;
2025-07-01 00:00:01.040519;203864;98288;73703;-179181;
2025-07-01 00:00:01.058774;203833;98280;73649;-179215;
2025-07-01 00:00:01.077028;203779;98285;73609;-179252;
2025-07-01 00:00:01.095283;203747;98215;73610;-179191;
2025-07-01 00:00:01.113538;203771;98322;73683;-179193;
2025-07-01 00:00:01.131793;203710;98356;73645;-179233;
2025-07-01 00:00:01.150047;203798;98475;73728;-179179;
2025-07-01 00:00:01.168302;203868;98572;73835;-179176;
2025-07-01 00:00:01.186557;203893;98611;73892;-179185;
2025-07-01 00:00:01.204812;204040;98640;73918;-179214;
2025-07-01 00:00:01.223066;204132;98752;74072;-179184;
2025-07-01 00:00:01.241321;204141;98899;74204;-179193;
2025-07-01 00:00:01.259576;204178;99006;74219;-179201;
2025-07-01 00:00:01.277830;204353;99141;74379;-179136;
2025-07-01 00:00:01.296085;204472;99242;74495;-179152;
2025-07-01 00:00:01.314340;204573;99342;74575;-179152;
2025-07-01 00:00:01.332595;204541;99460;74625;-179221;
2025-07-01 00:00:01.350849;204683;99546;74793;-179177;
2025-07-01 00:00:01.369104;204821;99689;74940;-179162;
2025-07-01 00:00:01.387359;204933;99774;75099;-179224;
2025-07-01 00:00:01.405613;205072;99921;75107;-179219;
2025-07-01 00:00:01.423868;205163;100090;75286;-179205;
2025-07-01 00:00:01.442123;205285;100222;75370;-179167;
2025-07-01 00:00:01.460378;205441;100328;75545;-179193;
2025-07-01 00:00:01.478632;205507;100458;75689;-179162;
2025-07-01 00:00:01.496887;205795;100662;75868;-179160;
2025-07-01 00:00:01.515142;205832;100731;75987;-179183;
2025-07-01 00:00:01.533396;205962;100904;76086;-179121;
2025-07-01 00:00:01.551651;206126;101038;76237;-179182;
2025-07-01 00:00:01.569906;206249;101233;76373;-179206;
2025-07-01 00:00:01.588161;206382;101437;76552;-179161;
2025-07-01 00:00:01.606415;206494;101508;76645;-179145;
2025-07-01 00:00:01.624670;206532;101406;76581;-179202;
2025-07-01 00:00:01.642925;206407;101198;76314;-179245;
2025-07-01 00:00:01.661180;206179;100904;76043;-179247;
2025-07-01 00:00:01.679434;205895;100532;75599;-179135;
2025-07-01 00:00:01.697689;205502;100174;75275;-179132;
2025-07-01 00:00:01.715944;205187;99883;74870;-179167;
2025-07-01 00:00:01.734198;204895;99663;74544;-179151;
2025-07-01 00:00:01.752453;204597;99386;74217;-179176;
2025-07-01 00:00:01.770708;204433;99337;74124;-179185;
2025-07-01 00:00:01.788963;204317;99219;74006;-179203;
2025-07-01 00:00:01.807217;204163;99145;73941;-179188;
2025-07-01 00:00:01.825472;204162;99135;73958;-179178;
2025-07-01 00:00:01.843727;204131;99194;73956;-179147;
2025-07-01 00:00:01.861981;204077;99185;74013;-179205;
2025-07-01 00:00:01.880236;204050;99119;74041;-179225;
2025-07-01 00:00:01.898491;204001;99177;73968;-179207;
2025-07-01 00:00:01.916746;203935;99191;73920;-179191;
2025-07-01 00:00:01.935000;203900;99072;73877;-179180;
2025-07-01 00:00:01.953255;203854;99058;73848;-179163;
2025-07-01 00:00:01.971510;203737;99065;73829;-179181;
2025-07-01 00:00:01.989764;203704;99017;73784;-179233;
2025-07-01 00:00:02.008019;203773;99025;73791;-179219;
2025-07-01 00:00:02.026274;203826;99054;73885;-179206;
2025-07-01 00:00:02.044529;203897;99163;73991;-179181;
2025-07-01 00:00:02.062783;203941;99216;74098;-179180;
2025-07-01 00:00:02.081038;203960;99297;74130;-179190;
2025-07-01 00:00:02.099293;204028;99368;74197;-179137;
2025-07-01 00:00:02.117548;204110;99434;74273;-179151;
2025-07-01 00:00:02.135802;204129;99491;74316;-179200;
2025-07-01 00:00:02.154057;204331;99654;74427;-179094;
2025-07-01 00:00:02.172312;204329;99722;74467;-179168;
2025-07-01 00:00:02.190566;204423;99906;74566;-179142;
2025-07-01 00:00:02.208821;204483;99921;74636;-179204;
2025-07-01 00:00:02.227076;204572;100040;74743;-179191;
2025-07-01 00:00:02.245331;204691;100163;74842;-179162;
2025-07-01 00:00:02.263585;204705;100282;74970;-179159;
2025-07-01 00:00:02.281840;204835;100418;75067;-179194;
2025-07-01 00:00:02.300095;204908;100583;75206;-179208;
2025-07-01 00:00:02.318349;204986;100732;75378;-179139;
2025-07-01 00:00:02.336604;205105;100826;75476;-179123;
2025-07-01 00:00:02.354859;205236;100938;75590;-179127;
2025-07-01 00:00:02.373114;205356;101095;75680;-179204;
