Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;249736;129271;47202;-179688;
2025-07-01 00:00:00.018260;249813;129237;47194;-179676;
2025-07-01 00:00:00.036520;249787;129276;47211;-179667;
2025-07-01 00:00:00.054780;249791;129292;47156;-179672;
2025-07-01 00:00:00.073040;249736;129271;47134;-179723;
2025-07-01 00:00:00.091300;249824;129305;47158;-179708;
2025-07-01 00:00:00.109561;249979;129352;47225;-179710;
2025-07-01 00:00:00.127821;250028;129411;47249;-179693;
2025-07-01 00:00:00.146081;250105;129510;47306;-179640;
2025-07-01 00:00:00.164341;250146;129454;47329;-179724;
2025-07-01 00:00:00.182601;250249;129553;47359;-179689;
2025-07-01 00:00:00.200861;250337;129624;47468;-179674;
2025-07-01 00:00:00.219121;250478;129719;47511;-179679;
2025-07-01 00:00:00.237381;250496;129780;47527;-179629;
2025-07-01 00:00:00.255641;250562;129804;47578;-179744;
2025-07-01 00:00:00.273901;250695;129813;47698;-179725;
2025-07-01 00:00:00.292162;250799;129919;47696;-179703;
2025-07-01 00:00:00.310422;250902;129949;47816;-179712;
2025-07-01 00:00:00.328682;250978;129987;47788;-179685;
2025-07-01 00:00:00.346942;251132;130141;47911;-179693;
2025-07-01 00:00:00.365202;251280;130198;48011;-179657;
2025-07-01 00:00:00.383462;251492;130312;48101;-179661;
2025-07-01 00:00:00.401722;251572;130420;48139;-179622;
2025-07-01 00:00:00.419982;251772;130565;48278;-179663;
2025-07-01 00:00:00.438242;251847;130622;48270;-179729;
2025-07-01 00:00:00.456502;252010;130659;48419;-179660;
2025-07-01 00:00:00.474762;252096;130726;48452;-179690;
2025-07-01 00:00:00.493023;252371;130799;48510;-179694;
2025-07-01 00:00:00.511283;252456;130910;48625;-179683;
2025-07-01 00:00:00.529543;252547;130983;48691;-179766;
2025-07-01 00:00:00.547803;252645;131131;48833;-179706;
2025-07-01 00:00:00.566063;252853;131262;48988;-179690;
2025-07-01 00:00:00.584323;253017;131324;49042;-179674;
2025-07-01 00:00:00.602583;253193;131401;49060;-179723;
2025-07-01 00:00:00.620843;253311;131508;49106;-179693;
2025-07-01 00:00:00.639103;253317;131568;49069;-179698;
2025-07-01 00:00:00.657363;253186;131447;48990;-179716;
2025-07-01 00:00:00.675624;252970;131389;48919;-179678;
2025-07-01 00:00:00.693884;252619;131308;48788;-179658;
2025-07-01 00:00:00.712144;252431;131135;48607;-179643;
2025-07-01 00:00:00.730404;252180;130941;48429;-179654;
2025-07-01 00:00:00.748664;251972;130856;48244;-179668;
2025-07-01 00:00:00.766924;251808;130759;48131;-179686;
2025-07-01 00:00:00.785184;251729;130751;48170;-179685;
2025-07-01 00:00:00.803444;251575;130689;48043;-179637;
2025-07-01 00:00:00.821704;251570;130645;48057;-179620;
2025-07-01 00:00:00.839964;251565;130667;48093;-179583;
2025-07-01 00:00:00.858225;251453;130644;47982;-179696;
2025-07-01 00:00:00.876485;251434;130659;48089;-179657;
2025-07-01 00:00:00.894745;251445;130642;47982;-179616;
2025-07-01 00:00:00.913005;251421;130608;48031;-179631;
2025-07-01 00:00:00.931265;251390;130657;48053;-179699;
2025-07-01 00:00:00.949525;251322;130586;47979;-179737;
2025-07-01 00:00:00.967785;251388;130601;48102;-179624;
2025-07-01 00:00:00.986045;251300;130594;48017;-179656;
2025-07-01 00:00:01.004305;251253;130597;47947;-179713;
2025-07-01 00:00:01.022565;251296;130586;47991;-179650;
2025-07-01 00:00:01.040825;251334;130664;48014;-179700;
2025-07-01 00:00:01.059086;251303;130664;48076;-179705;
2025-07-01 00:00:01.077346;251375;130699;48092;-179694;
2025-07-01 00:00:01.095606;251423;130694;48060;-179665;
2025-07-01 00:00:01.113866;251453;130678;48094;-179612;
2025-07-01 00:00:01.132126;251446;130722;48135;-179676;
2025-07-01 00:00:01.150386;251559;130859;48202;-179718;
2025-07-01 00:00:01.168646;251610;130794;48204;-179734;
2025-07-01 00:00:01.186906;251666;130801;48203;-179751;
2025-07-01 00:00:01.205166;251838;130937;48326;-179668;
2025-07-01 00:00:01.223426;251897;131019;48349;-179662;
2025-07-01 00:00:01.241687;251982;131007;48407;-179682;
2025-07-01 00:00:01.259947;252006;131044;48453;-179654;
2025-07-01 00:00:01.278207;252071;131088;48475;-179693;
2025-07-01 00:00:01.296467;252234;131165;48532;-179637;
2025-07-01 00:00:01.314727;252296;131239;48650;-179662;
2025-07-01 00:00:01.332987;252420;131344;48717;-179652;
2025-07-01 00:00:01.351247;252445;131295;48722;-179678;
2025-07-01 00:00:01.369507;252576;131519;48871;-179702;
2025-07-01 00:00:01.387767;252718;131484;48899;-179694;
2025-07-01 00:00:01.406027;252852;131544;48932;-179646;
2025-07-01 00:00:01.424287;252903;131599;49013;-179660;
2025-07-01 00:00:01.442548;253026;131635;49066;-179667;
2025-07-01 00:00:01.460808;253167;131745;49213;-179633;
2025-07-01 00:00:01.479068;253320;131802;49342;-179644;
2025-07-01 00:00:01.497328;253398;131885;49356;-179644;
2025-07-01 00:00:01.515588;253600;131914;49410;-179624;
2025-07-01 00:00:01.533848;253652;132022;49511;-179679;
2025-07-01 00:00:01.552108;253821;132094;49642;-179665;
2025-07-01 00:00:01.570368;253931;132171;49692;-179675;
2025-07-01 00:00:01.588628;253959;132251;49710;-179697;
2025-07-01 00:00:01.606888;253949;132205;49785;-179652;
2025-07-01 00:00:01.625149;253795;132115;49649;-179664;
2025-07-01 00:00:01.643409;253453;131949;49433;-179678;
2025-07-01 00:00:01.661669;253188;131770;49240;-179674;
2025-07-01 00:00:01.679929;252832;131561;49069;-179696;
2025-07-01 00:00:01.698189;252546;131453;48984;-179654;
2025-07-01 00:00:01.716449;252344;131376;48892;-179663;
2025-07-01 00:00:01.734709;252210;131225;48755;-179683;
2025-07-01 00:00:01.752969;252092;131160;48767;-179712;
2025-07-01 00:00:01.771229;252019;131131;48669;-179659;
2025-07-01 00:00:01.789489;251860;131011;48624;-179672;
2025-07-01 00:00:01.807750;251805;130938;48548;-179696;
2025-07-01 00:00:01.826010;251806;130957;48603;-179679;
2025-07-01 00:00:01.844270;251791;130907;48583;-179647;
2025-07-01 00:00:01.862530;251697;130824;48509;-179737;
2025-07-01 00:00:01.880790;251674;130816;48496;-179669;
2025-07-01 00:00:01.899050;251587;130873;48437;-179716;
2025-07-01 00:00:01.917310;251537;130771;48488;-179690;
2025-07-01 00:00:01.935570;251529;130792;48532;-179642;
2025-07-01 00:00:01.953830;251376;130709;48489;-179675;
2025-07-01 00:00:01.972090;251276;130619;48399;-179686;
2025-07-01 00:00:01.990350;251274;130623;48386;-179716;
2025-07-01 00:00:02.008611;251266;130623;48374;-179726;
2025-07-01 00:00:02.026871;251265;130631;48423;-179698;
2025-07-01 00:00:02.045131;251226;130530;48373;-179695;
2025-07-01 00:00:02.063391;251250;130575;48361;-179710;
2025-07-01 00:00:02.081651;251258;130620;48419;-179692;
2025-07-01 00:00:02.099911;251256;130468;48415;-179688;
2025-07-01 00:00:02.118171;251359;130557;48499;-179675;
2025-07-01 00:00:02.136431;251413;130602;48513;-179678;
2025-07-01 00:00:02.154691;251440;130643;48491;-179727;
2025-07-01 00:00:02.172951;251508;130681;48570;-179698;
2025-07-01 00:00:02.191212;251512;130689;48518;-179708;
2025-07-01 00:00:02.209472;251620;130723;48589;-179677;
2025-07-01 00:00:02.227732;251649;130743;48584;-179652;
2025-07-01 00:00:02.245992;251758;130790;48670;-179648;
2025-07-01 00:00:02.264252;251782;130788;48684;-179708;
2025-07-01 00:00:02.282512;251873;130798;48705;-179703;
2025-07-01 00:00:02.300772;251908;130838;48715;-179700;
2025-07-01 00:00:02.319032;252000;130849;48776;-179716;
2025-07-01 00:00:02.337292;252125;130903;48822;-179714;
2025-07-01 00:00:02.355552;252195;131011;48875;-179696;
2025-07-01 00:00:02.373812;252295;131045;48955;-179722;
2025-07-01 00:00:02.392073;252276;131127;48970;-179749;
2025-07-01 00:00:02.410333;252462;131186;49005;-179705;
2025-07-01 00:00:02.428593;252513;131177;49037;-179668;
2025-07-01 00:00:02.446853;252628;131271;49153;-179666;
2025-07-01 00:00:02.465113;252744;131355;49167;-179640;
2025-07-01 00:00:02.483373;252799;131413;49222;-179628;
2025-07-01 00:00:02.501633;252747;131292;49158;-179652;
2025-07-01 00:00:02.519893;252426;131251;48949;-179669;
2025-07-01 00:00:02.538153;252178;131097;48787;-179609;
2025-07-01 00:00:02.556413;251780;130810;48546;-179689;
2025-07-01 00:00:02.574674;251464;130657;48318;-179692;
2025-07-01 00:00:02.592934;251171;130467;48127;-179731;
2025-07-01 00:00:02.611194;250987;130354;48118;-179701;
2025-07-01 00:00:02.629454;250860;130293;47956;-179652;
2025-07-01 00:00:02.647714;250651;130240;47877;-179658;
2025-07-01 00:00:02.665974;250606;130179;47820;-179663;
2025-07-01 00:00:02.684234;250467;130042;47763;-179699;
2025-07-01 00:00:02.702494;250378;130026;47713;-179748;
2025-07-01 00:00:02.720754;250454;130041;47772;-179672;
2025-07-01 00:00:02.739014;250395;129961;47660;-179733;
2025-07-01 00:00:02.757274;250364;129933;47623;-179650;
2025-07-01 00:00:02.775535;250303;129930;47542;-179626;
2025-07-01 00:00:02.793795;250287;129882;47579;-179662;
2025-07-01 00:00:02.812055;250154;129813;47531;-179673;
2025-07-01 00:00:02.830315;250111;129785;47493;-179641;
2025-07-01 00:00:02.848575;250021;129699;47426;-179697;
2025-07-01 00:00:02.866835;250028;129733;47422;-179641;
2025-07-01 00:00:02.885095;249948;129748;47389;-179688;
2025-07-01 00:00:02.903355;249933;129756;47413;-179607;
2025-07-01 00:00:02.921615;249953;129609;47325;-179646;
2025-07-01 00:00:02.939875;249961;129720;47410;-179663;
2025-07-01 00:00:02.958136;250023;129709;47410;-179661;
2025-07-01 00:00:02.976396;250053;129696;47404;-179675;
2025-07-01 00:00:02.994656;250071;129741;47457;-179644;
2025-07-01 00:00:03.012916;250098;129749;47468;-179645;
2025-07-01 00:00:03.031176;250170;129748;47498;-179689;
2025-07-01 00:00:03.049436;250194;129755;47519;-179658;
2025-07-01 00:00:03.067696;250208;129766;47498;-179706;
2025-07-01 00:00:03.085956;250338;129849;47539;-179691;
2025-07-01 00:00:03.104216;250401;129902;47583;-179654;
2025-07-01 00:00:03.122476;250388;129848;47568;-179726;
2025-07-01 00:00:03.140737;250514;129918;47601;-179668;
2025-07-01 00:00:03.158997;250573;129979;47677;-179641;
2025-07-01 00:00:03.177257;250594;130000;47786;-179634;
2025-07-01 00:00:03.195517;250773;130043;47841;-179651;
2025-07-01 00:00:03.213777;250856;130089;47810;-179693;
2025-07-01 00:00:03.232037;250934;130188;47975;-179705;
2025-07-01 00:00:03.250297;251029;130175;47991;-179679;
2025-07-01 00:00:03.268557;251171;130329;48070;-179655;
2025-07-01 00:00:03.286817;251168;130277;48080;-179656;
2025-07-01 00:00:03.305077;251077;130224;48000;-179751;
2025-07-01 00:00:03.323337;250946;130167;47968;-179708;
2025-07-01 00:00:03.341598;250600;130022;47832;-179722;
2025-07-01 00:00:03.359858;250387;129830;47700;-179645;
2025-07-01 00:00:03.378118;249984;129608;47420;-179733;
