Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-07-01 00:00:00.000000;253966;130707;50455;-179737;
2025-07-01 00:00:00.018260;254089;130727;50516;-179702;
2025-07-01 00:00:00.036519;254274;130888;50566;-179719;
2025-07-01 00:00:00.054779;254356;130952;50586;-179684;
2025-07-01 00:00:00.073038;254357;131005;50565;-179699;
2025-07-01 00:00:00.091298;254171;130852;50485;-179680;
2025-07-01 00:00:00.109558;253797;130582;50156;-179703;
2025-07-01 00:00:00.127817;253361;130344;50028;-179753;
2025-07-01 00:00:00.146077;253005;130073;49701;-179762;
2025-07-01 00:00:00.164336;252794;129972;49597;-179685;
2025-07-01 00:00:00.182596;252485;129838;49428;-179729;
2025-07-01 00:00:00.200855;252290;129646;49335;-179649;
2025-07-01 00:00:00.219115;252121;129449;49160;-179732;
2025-07-01 00:00:00.237375;251940;129444;49043;-179708;
2025-07-01 00:00:00.255634;251821;129280;48939;-179764;
2025-07-01 00:00:00.273894;251754;129239;49034;-179688;
2025-07-01 00:00:00.292153;251620;129168;48879;-179676;
2025-07-01 00:00:00.310413;251649;129067;48879;-179682;
2025-07-01 00:00:00.328673;251539;129075;48796;-179725;
2025-07-01 00:00:00.346932;251508;129028;48766;-179733;
2025-07-01 00:00:00.365192;251434;128965;48740;-179703;
2025-07-01 00:00:00.383451;251381;128948;48702;-179698;
2025-07-01 00:00:00.401711;251347;128894;48671;-179692;
2025-07-01 00:00:00.419970;251323;128826;48650;-179752;
2025-07-01 00:00:00.438230;251245;128782;48657;-179682;
2025-07-01 00:00:00.456490;251200;128762;48547;-179720;
2025-07-01 00:00:00.474749;251211;128761;48569;-179712;
2025-07-01 00:00:00.493009;251204;128767;48535;-179707;
2025-07-01 00:00:00.511268;251226;128822;48547;-179689;
2025-07-01 00:00:00.529528;251280;128810;48626;-179632;
2025-07-01 00:00:00.547788;251378;128856;48591;-179693;
2025-07-01 00:00:00.566047;251399;128873;48686;-179718;
2025-07-01 00:00:00.584307;251495;128908;48765;-179736;
2025-07-01 00:00:00.602566;251569;128984;48762;-179657;
2025-07-01 00:00:00.620826;251563;128993;48820;-179645;
2025-07-01 00:00:00.639085;251667;129017;48880;-179683;
2025-07-01 00:00:00.657345;251754;129071;48908;-179686;
2025-07-01 00:00:00.675605;251833;129119;48969;-179656;
2025-07-01 00:00:00.693864;251895;129106;48920;-179719;
2025-07-01 00:00:00.712124;252049;129246;49013;-179639;
2025-07-01 00:00:00.730383;252078;129270;49003;-179683;
2025-07-01 00:00:00.748643;252149;129310;49158;-179688;
2025-07-01 00:00:00.766903;252231;129411;49125;-179658;
2025-07-01 00:00:00.785162;252415;129490;49305;-179637;
2025-07-01 00:00:00.803422;252601;129555;49349;-179644;
2025-07-01 00:00:00.821681;252686;129595;49365;-179640;
2025-07-01 00:00:00.839941;252801;129692;49449;-179715;
2025-07-01 00:00:00.858200;252924;129762;49455;-179711;
2025-07-01 00:00:00.876460;253045;129781;49510;-179679;
2025-07-01 00:00:00.894720;253181;129883;49571;-179662;
2025-07-01 00:00:00.912979;253144;129859;49572;-179654;
2025-07-01 00:00:00.931239;252862;129706;49427;-179673;
2025-07-01 00:00:00.949498;252423;129525;49261;-179699;
