Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-23T13:05:35.000;538831899050160704;-40496;-91442;-38569;-298743;
2025-06-23T13:05:35.019;538831899068357312;-40496;-91460;-38606;-298735;
2025-06-23T13:05:35.037;538831899086553856;-40561;-91535;-38587;-298739;
2025-06-23T13:05:35.055;538831899104750400;-40680;-91547;-38609;-298778;
2025-06-23T13:05:35.073;538831899122947008;-40604;-91518;-38519;-298722;
2025-06-23T13:05:35.091;538831899141143627;-40507;-91533;-38543;-298748;
2025-06-23T13:05:35.110;538831899159339904;-40480;-91483;-38520;-298775;
2025-06-23T13:05:35.128;538831899177536192;-40449;-91487;-38505;-298758;
2025-06-23T13:05:35.146;538831899195732480;-40361;-91404;-38390;-298797;
2025-06-23T13:05:35.164;538831899213928768;-40383;-91410;-38351;-298770;
2025-06-23T13:05:35.182;538831899232125056;-40332;-91375;-38332;-298763;
2025-06-23T13:05:35.201;538831899250321344;-40293;-91399;-38253;-298789;
2025-06-23T13:05:35.219;538831899268517632;-40217;-91374;-38223;-298772;
2025-06-23T13:05:35.237;538831899286713920;-40227;-91368;-38218;-298755;
2025-06-23T13:05:35.255;538831899304910208;-40156;-91313;-38139;-298756;
2025-06-23T13:05:35.273;538831899323106496;-40125;-91325;-38038;-298731;
2025-06-23T13:05:35.291;538831899341302784;-40075;-91276;-38065;-298753;
2025-06-23T13:05:35.310;538831899359499072;-40099;-91247;-38077;-298762;
2025-06-23T13:05:35.328;538831899377695360;-40131;-91270;-38053;-298776;
2025-06-23T13:05:35.346;538831899395891648;-40193;-91212;-38163;-298799;
2025-06-23T13:05:35.364;538831899414087936;-40146;-91213;-38108;-298757;
2025-06-23T13:05:35.382;538831899432284224;-40203;-91310;-38231;-298818;
2025-06-23T13:05:35.401;538831899450480512;-40245;-91346;-38234;-298759;
2025-06-23T13:05:35.419;538831899468676800;-40312;-91349;-38298;-298787;
2025-06-23T13:05:35.437;538831899486873152;-40336;-91356;-38427;-298770;
2025-06-23T13:05:35.455;538831899505069440;-40351;-91434;-38449;-298769;
2025-06-23T13:05:35.473;538831899523265728;-40493;-91437;-38516;-298748;
2025-06-23T13:05:35.492;538831899541462016;-40581;-91497;-38658;-298803;
2025-06-23T13:05:35.510;538831899559658304;-40548;-91546;-38726;-298712;
