Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-16T11:46:36.009;538222366572565824;358802;278097;239039;1847;
2025-06-16T11:46:36.028;538222366590762176;358851;278135;239086;1872;
2025-06-16T11:46:36.046;538222366608958528;358831;278104;239015;1842;
2025-06-16T11:46:36.064;538222366627154944;358909;278102;239072;1839;
2025-06-16T11:46:36.082;538222366645351296;358947;278148;239153;1870;
2025-06-16T11:46:36.100;538222366663547648;358913;278148;239115;1868;
2025-06-16T11:46:36.119;538222366681744000;358803;278152;239075;1849;
2025-06-16T11:46:36.137;538222366699940352;358780;278070;239011;1882;
2025-06-16T11:46:36.155;538222366718136704;358658;277966;238867;1851;
2025-06-16T11:46:36.173;538222366736333056;358525;277785;238755;1871;
2025-06-16T11:46:36.191;538222366754529408;358343;277707;238716;1876;
2025-06-16T11:46:36.210;538222366772725760;358242;277558;238642;1855;
2025-06-16T11:46:36.228;538222366790922112;358142;277445;238625;1916;
2025-06-16T11:46:36.246;538222366809118464;358003;277416;238557;1859;
2025-06-16T11:46:36.264;538222366827314877;357821;277299;238455;1844;
2025-06-16T11:46:36.282;538222366845510208;357630;277169;238366;1833;
2025-06-16T11:46:36.301;538222366863705536;357532;277053;238329;1878;
2025-06-16T11:46:36.319;538222366881900800;357378;276969;238236;1851;
2025-06-16T11:46:36.337;538222366900096128;357268;276977;238247;1881;
2025-06-16T11:46:36.355;538222366918291392;357174;276881;238111;1878;
2025-06-16T11:46:36.373;538222366936486720;357104;276856;238110;1853;
2025-06-16T11:46:36.392;538222366954682048;357043;276807;238149;1889;
2025-06-16T11:46:36.410;538222366972877312;356940;276755;238100;1845;
2025-06-16T11:46:36.428;538222366991072640;356841;276715;238030;1816;
2025-06-16T11:46:36.446;538222367009267968;356732;276677;237998;1835;
2025-06-16T11:46:36.464;538222367027463232;356722;276629;237992;1830;
2025-06-16T11:46:36.483;538222367045658560;356618;276563;237940;1851;
2025-06-16T11:46:36.501;538222367063853824;356483;276542;237845;1886;
2025-06-16T11:46:36.519;538222367082049152;356362;276476;237777;1815;
2025-06-16T11:46:36.537;538222367100244480;356303;276416;237700;1822;
2025-06-16T11:46:36.555;538222367118439744;356228;276318;237660;1795;
2025-06-16T11:46:36.573;538222367136635072;356145;276236;237524;1794;
2025-06-16T11:46:36.592;538222367154830400;356071;276188;237501;1794;
2025-06-16T11:46:36.610;538222367173025664;355935;276106;237417;1768;
2025-06-16T11:46:36.628;538222367191220992;355836;276128;237349;1848;
2025-06-16T11:46:36.646;538222367209416256;355716;276012;237295;1808;
2025-06-16T11:46:36.664;538222367227611584;355588;275925;237162;1764;
2025-06-16T11:46:36.683;538222367245806912;355480;275836;237004;1786;
2025-06-16T11:46:36.701;538222367264002176;355358;275762;236958;1779;
2025-06-16T11:46:36.719;538222367282197504;355283;275717;236891;1831;
2025-06-16T11:46:36.737;538222367300392832;355116;275646;236768;1709;
2025-06-16T11:46:36.755;538222367318588096;355112;275530;236680;1794;
2025-06-16T11:46:36.774;538222367336783424;355002;275503;236581;1806;
2025-06-16T11:46:36.792;538222367354978688;354868;275411;236481;1760;
2025-06-16T11:46:36.810;538222367373174016;354822;275357;236462;1732;
2025-06-16T11:46:36.828;538222367391369344;354757;275338;236392;1734;
2025-06-16T11:46:36.846;538222367409564608;354722;275327;236307;1717;
2025-06-16T11:46:36.865;538222367427759936;354615;275169;236189;1766;
2025-06-16T11:46:36.883;538222367445955264;354541;275070;236074;1783;
2025-06-16T11:46:36.901;538222367464150528;354366;274985;236010;1747;
2025-06-16T11:46:36.919;538222367482345856;354162;274883;235899;1767;
2025-06-16T11:46:36.937;538222367500541120;353952;274715;235730;1776;
2025-06-16T11:46:36.956;538222367518736448;353778;274542;235643;1781;
2025-06-16T11:46:36.974;538222367536931776;353630;274417;235485;1716;
2025-06-16T11:46:36.992;538222367555127040;353419;274288;235389;1734;
2025-06-16T11:46:37.010;538222367573322368;353248;274130;235301;1748;
2025-06-16T11:46:37.028;538222367591517641;353101;274000;235186;1761;
2025-06-16T11:46:37.047;538222367609713408;352839;273811;234997;1695;
