Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-17T15:39:49.016;538322757848563456;-129195;-152479;-132723;-471902;
2025-06-17T15:39:49.034;538322757866767552;-129245;-152498;-132774;-471840;
2025-06-17T15:39:49.052;538322757884971648;-129242;-152490;-132774;-471753;
2025-06-17T15:39:49.070;538322757903175744;-129268;-152483;-132802;-471842;
2025-06-17T15:39:49.089;538322757921379840;-129348;-152482;-132828;-471783;
2025-06-17T15:39:49.107;538322757939583936;-129288;-152398;-132742;-471823;
2025-06-17T15:39:49.125;538322757957788032;-129213;-152408;-132723;-471825;
2025-06-17T15:39:49.143;538322757975992128;-129200;-152450;-132797;-471850;
2025-06-17T15:39:49.161;538322757994196224;-129189;-152413;-132791;-471833;
2025-06-17T15:39:49.180;538322758012400320;-129125;-152355;-132759;-471748;
2025-06-17T15:39:49.198;538322758030604416;-129110;-152378;-132751;-471813;
2025-06-17T15:39:49.216;538322758048808512;-129012;-152306;-132743;-471829;
2025-06-17T15:39:49.234;538322758067012608;-128992;-152320;-132721;-471867;
2025-06-17T15:39:49.252;538322758085216704;-128913;-152340;-132767;-471807;
2025-06-17T15:39:49.271;538322758103420773;-128944;-152324;-132669;-471827;
2025-06-17T15:39:49.289;538322758121624064;-128881;-152283;-132576;-471829;
2025-06-17T15:39:49.307;538322758139827328;-128888;-152264;-132595;-471856;
2025-06-17T15:39:49.325;538322758158030592;-128824;-152227;-132557;-471872;
2025-06-17T15:39:49.343;538322758176233856;-128724;-152135;-132525;-471820;
2025-06-17T15:39:49.362;538322758194437120;-128655;-152094;-132444;-471826;
2025-06-17T15:39:49.380;538322758212640384;-128571;-152002;-132386;-471820;
2025-06-17T15:39:49.398;538322758230843648;-128449;-151928;-132288;-471768;
2025-06-17T15:39:49.416;538322758249046912;-128347;-151829;-132149;-471794;
2025-06-17T15:39:49.434;538322758267250176;-128347;-151834;-132114;-471864;
2025-06-17T15:39:49.453;538322758285453376;-128183;-151827;-132026;-471871;
2025-06-17T15:39:49.471;538322758303656640;-128120;-151810;-132003;-471841;
2025-06-17T15:39:49.489;538322758321859904;-128280;-151934;-132125;-471892;
2025-06-17T15:39:49.507;538322758340063168;-128446;-152061;-132294;-471888;
2025-06-17T15:39:49.525;538322758358266432;-128652;-152220;-132490;-471898;
2025-06-17T15:39:49.544;538322758376469696;-128853;-152428;-132661;-471866;
2025-06-17T15:39:49.562;538322758394672960;-129074;-152586;-132886;-471835;
2025-06-17T15:39:49.580;538322758412876224;-129305;-152731;-133135;-471820;
2025-06-17T15:39:49.598;538322758431079488;-129496;-152932;-133300;-471830;
2025-06-17T15:39:49.616;538322758449282752;-129702;-153017;-133480;-471747;
2025-06-17T15:39:49.635;538322758467486016;-129873;-153192;-133710;-471799;
2025-06-17T15:39:49.653;538322758485689280;-129971;-153330;-133826;-471820;
2025-06-17T15:39:49.671;538322758503892544;-130062;-153419;-133950;-471829;
2025-06-17T15:39:49.689;538322758522095808;-130169;-153441;-134064;-471809;
2025-06-17T15:39:49.707;538322758540299072;-130242;-153555;-134089;-471827;
2025-06-17T15:39:49.726;538322758558502336;-130295;-153593;-134203;-471808;
2025-06-17T15:39:49.744;538322758576705600;-130334;-153601;-134234;-471819;
2025-06-17T15:39:49.762;538322758594908864;-130374;-153651;-134263;-471823;
2025-06-17T15:39:49.780;538322758613112064;-130378;-153688;-134293;-471822;
2025-06-17T15:39:49.798;538322758631315328;-130402;-153734;-134358;-471836;
2025-06-17T15:39:49.817;538322758649518592;-130362;-153740;-134346;-471790;
2025-06-17T15:39:49.835;538322758667721856;-130462;-153777;-134405;-471869;
2025-06-17T15:39:49.853;538322758685925120;-130426;-153789;-134413;-471860;
2025-06-17T15:39:49.871;538322758704128384;-130323;-153796;-134389;-471829;
2025-06-17T15:39:49.889;538322758722331648;-130369;-153763;-134390;-471868;
2025-06-17T15:39:49.908;538322758740534912;-130360;-153785;-134418;-471892;
2025-06-17T15:39:49.926;538322758758738176;-130309;-153733;-134374;-471843;
2025-06-17T15:39:49.944;538322758776941440;-130172;-153668;-134280;-471827;
2025-06-17T15:39:49.962;538322758795144704;-130134;-153580;-134295;-471866;
2025-06-17T15:39:49.981;538322758813347968;-130076;-153505;-134222;-471841;
2025-06-17T15:39:49.999;538322758831551232;-129907;-153417;-134133;-471818;
2025-06-17T15:39:50.017;538322758849754496;-129767;-153381;-134056;-471819;
2025-06-17T15:39:50.035;538322758867957709;-129709;-153413;-133987;-471846;
2025-06-17T15:39:50.053;538322758886162048;-129683;-153390;-133975;-471791;
2025-06-17T15:39:50.072;538322758904366400;-129656;-153392;-133940;-471830;
2025-06-17T15:39:50.090;538322758922570752;-129619;-153282;-133855;-471850;
2025-06-17T15:39:50.108;538322758940775104;-129475;-153220;-133815;-471782;
2025-06-17T15:39:50.126;538322758958979392;-129458;-153233;-133837;-471838;
2025-06-17T15:39:50.144;538322758977183744;-129348;-153119;-133749;-471806;
2025-06-17T15:39:50.163;538322758995388096;-129482;-153179;-133859;-471824;
2025-06-17T15:39:50.181;538322759013592448;-129488;-153400;-133934;-471790;
2025-06-17T15:39:50.199;538322759031796800;-129654;-153456;-134055;-471821;
2025-06-17T15:39:50.217;538322759050001152;-129793;-153583;-134222;-471749;
2025-06-17T15:39:50.235;538322759068205440;-130098;-153807;-134480;-471786;
2025-06-17T15:39:50.254;538322759086409792;-130265;-154010;-134651;-471755;
2025-06-17T15:39:50.272;538322759104614144;-130526;-154124;-134856;-471806;
2025-06-17T15:39:50.290;538322759122818496;-130689;-154308;-135024;-471824;
2025-06-17T15:39:50.308;538322759141022848;-130883;-154500;-135198;-471846;
2025-06-17T15:39:50.326;538322759159227200;-130967;-154686;-135281;-471809;
2025-06-17T15:39:50.345;538322759177431488;-131073;-154748;-135389;-471760;
2025-06-17T15:39:50.363;538322759195635840;-131214;-154901;-135561;-471860;
2025-06-17T15:39:50.381;538322759213840192;-131270;-154987;-135625;-471846;
2025-06-17T15:39:50.399;538322759232044544;-131389;-155027;-135719;-471851;
2025-06-17T15:39:50.417;538322759250248896;-131386;-155074;-135784;-471849;
2025-06-17T15:39:50.436;538322759268453248;-131373;-155034;-135721;-471799;
2025-06-17T15:39:50.454;538322759286657536;-131411;-155099;-135806;-471836;
2025-06-17T15:39:50.472;538322759304861888;-131356;-155093;-135832;-471832;
2025-06-17T15:39:50.490;538322759323066240;-131386;-155093;-135788;-471792;
2025-06-17T15:39:50.508;538322759341270592;-131389;-155119;-135825;-471854;
2025-06-17T15:39:50.527;538322759359474944;-131377;-155203;-135839;-471834;
2025-06-17T15:39:50.545;538322759377679296;-131388;-155227;-135818;-471772;
2025-06-17T15:39:50.563;538322759395883584;-131384;-155227;-135947;-471839;
2025-06-17T15:39:50.581;538322759414087936;-131369;-155233;-135943;-471779;
2025-06-17T15:39:50.599;538322759432292288;-131341;-155264;-135906;-471790;
2025-06-17T15:39:50.618;538322759450496640;-131354;-155294;-135920;-471851;
2025-06-17T15:39:50.636;538322759468700992;-131316;-155302;-135942;-471844;
