Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-13T16:42:52.006;803122974102667776;-323548;-364738;-375763;-502773;
2025-06-13T16:42:52.024;803122974120927360;-323473;-364628;-375680;-502695;
2025-06-13T16:42:52.042;803122974139187072;-323331;-364581;-375587;-502687;
2025-06-13T16:42:52.060;803122974157446672;-323266;-364470;-375585;-502709;
2025-06-13T16:42:52.079;803122974175707904;-323121;-364437;-375459;-502703;
2025-06-13T16:42:52.097;803122974193969152;-322982;-364276;-375330;-502669;
2025-06-13T16:42:52.115;803122974212230400;-322851;-364221;-375266;-502686;
2025-06-13T16:42:52.134;803122974230491648;-322642;-364061;-375111;-502635;
2025-06-13T16:42:52.152;803122974248752896;-322509;-363891;-375003;-502684;
2025-06-13T16:42:52.170;803122974267014144;-322308;-363733;-374876;-502651;
2025-06-13T16:42:52.188;803122974285275392;-322059;-363554;-374787;-502618;
2025-06-13T16:42:52.207;803122974303536640;-321857;-363423;-374612;-502660;
2025-06-13T16:42:52.225;803122974321797888;-321704;-363289;-374534;-502752;
2025-06-13T16:42:52.243;803122974340059136;-321467;-363105;-374428;-502749;
2025-06-13T16:42:52.261;803122974358320384;-321330;-362959;-374286;-502720;
2025-06-13T16:42:52.280;803122974376581632;-321191;-362953;-374251;-502687;
2025-06-13T16:42:52.298;803122974394842880;-321372;-363010;-374345;-502674;
2025-06-13T16:42:52.316;803122974413104128;-321642;-363246;-374513;-502622;
2025-06-13T16:42:52.334;803122974431365376;-322101;-363674;-374821;-502690;
2025-06-13T16:42:52.353;803122974449626624;-322496;-363958;-375039;-502732;
2025-06-13T16:42:52.371;803122974467887872;-322876;-364273;-375343;-502720;
2025-06-13T16:42:52.389;803122974486149120;-323281;-364477;-375552;-502715;
2025-06-13T16:42:52.407;803122974504410368;-323542;-364739;-375756;-502713;
2025-06-13T16:42:52.426;803122974522671488;-323624;-364750;-375749;-502668;
2025-06-13T16:42:52.444;803122974540932736;-323729;-364863;-375896;-502721;
2025-06-13T16:42:52.462;803122974559193984;-323734;-364856;-375864;-502633;
2025-06-13T16:42:52.480;803122974577455232;-323768;-364851;-375918;-502723;
2025-06-13T16:42:52.499;803122974595716480;-323759;-364838;-375895;-502718;
2025-06-13T16:42:52.517;803122974613977728;-323674;-364783;-375884;-502672;
2025-06-13T16:42:52.535;803122974632238976;-323561;-364693;-375733;-502667;
2025-06-13T16:42:52.554;803122974650500224;-323482;-364634;-375662;-502687;
2025-06-13T16:42:52.572;803122974668761472;-323385;-364551;-375620;-502674;
2025-06-13T16:42:52.590;803122974687022720;-323391;-364468;-375648;-502660;
2025-06-13T16:42:52.608;803122974705283968;-323313;-364510;-375596;-502659;
2025-06-13T16:42:52.627;803122974723545216;-323245;-364423;-375560;-502709;
2025-06-13T16:42:52.645;803122974741806464;-323115;-364376;-375452;-502754;
2025-06-13T16:42:52.663;803122974760067712;-322985;-364278;-375398;-502678;
2025-06-13T16:42:52.681;803122974778328960;-322940;-364186;-375344;-502726;
2025-06-13T16:42:52.700;803122974796590208;-322854;-364084;-375242;-502702;
2025-06-13T16:42:52.718;803122974814851456;-322711;-363980;-375181;-502741;
2025-06-13T16:42:52.736;803122974833112704;-322558;-363898;-375079;-502749;
2025-06-13T16:42:52.754;803122974851373952;-322413;-363800;-375004;-502760;
2025-06-13T16:42:52.773;803122974869635200;-322134;-363659;-374885;-502699;
2025-06-13T16:42:52.791;803122974887896448;-321996;-363528;-374748;-502728;
2025-06-13T16:42:52.809;803122974906157696;-321876;-363359;-374674;-502777;
2025-06-13T16:42:52.827;803122974924418944;-321685;-363238;-374511;-502687;
2025-06-13T16:42:52.846;803122974942680832;-321546;-363154;-374386;-502750;
2025-06-13T16:42:52.864;803122974960942720;-321372;-363032;-374289;-502763;
2025-06-13T16:42:52.882;803122974979204480;-321134;-362787;-374136;-502750;
2025-06-13T16:42:52.901;803122974997466368;-320931;-362636;-373980;-502771;
2025-06-13T16:42:52.919;803122975015728128;-320827;-362618;-373880;-502725;
2025-06-13T16:42:52.937;803122975033990016;-320883;-362719;-373938;-502717;
2025-06-13T16:42:52.955;803122975052251776;-321088;-362821;-374101;-502681;
2025-06-13T16:42:52.974;803122975070513664;-321475;-363117;-374314;-502683;
2025-06-13T16:42:52.992;803122975088775424;-321914;-363422;-374594;-502672;
2025-06-13T16:42:53.010;803122975107037312;-322266;-363681;-374799;-502670;
2025-06-13T16:42:53.028;803122975125299072;-322677;-363901;-375120;-502738;
2025-06-13T16:42:53.047;803122975143560960;-322931;-364090;-375255;-502773;
2025-06-13T16:42:53.065;803122975161822720;-323099;-364296;-375430;-502763;
2025-06-13T16:42:53.083;803122975180084608;-323160;-364331;-375405;-502709;
2025-06-13T16:42:53.101;803122975198346368;-323204;-364368;-375417;-502671;
2025-06-13T16:42:53.120;803122975216608256;-323227;-364351;-375423;-502698;
2025-06-13T16:42:53.138;803122975234870016;-323220;-364301;-375392;-502709;
2025-06-13T16:42:53.156;803122975253131904;-323098;-364284;-375371;-502684;
2025-06-13T16:42:53.174;803122975271393664;-323051;-364229;-375365;-502732;
2025-06-13T16:42:53.193;803122975289655552;-322910;-364080;-375204;-502702;
2025-06-13T16:42:53.211;803122975307917312;-322806;-364091;-375176;-502676;
2025-06-13T16:42:53.229;803122975326179200;-322717;-363966;-375116;-502691;
2025-06-13T16:42:53.247;803122975344440960;-322661;-363954;-375120;-502759;
2025-06-13T16:42:53.266;803122975362702848;-322549;-363892;-375003;-502732;
2025-06-13T16:42:53.284;803122975380964608;-322514;-363860;-374944;-502819;
2025-06-13T16:42:53.302;803122975399226496;-322433;-363761;-374894;-502736;
2025-06-13T16:42:53.321;803122975417488256;-322283;-363659;-374802;-502686;
2025-06-13T16:42:53.339;803122975435750144;-322129;-363571;-374679;-502719;
2025-06-13T16:42:53.357;803122975454011904;-321976;-363436;-374627;-502681;
2025-06-13T16:42:53.375;803122975472273792;-321821;-363327;-374497;-502733;
2025-06-13T16:42:53.394;803122975490535552;-321626;-363205;-374359;-502739;
2025-06-13T16:42:53.412;803122975508797440;-321448;-363021;-374296;-502664;
2025-06-13T16:42:53.430;803122975527059200;-321312;-362915;-374156;-502755;
2025-06-13T16:42:53.448;803122975545321088;-321103;-362753;-374033;-502715;
2025-06-13T16:42:53.467;803122975563582848;-320988;-362646;-373941;-502671;
