Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-18T16:12:04.016;538411092269587904;350361;382892;361430;172614;
2025-06-18T16:12:04.034;538411092287785280;350364;382902;361421;172665;
2025-06-18T16:12:04.052;538411092305982656;350397;382834;361454;172672;
2025-06-18T16:12:04.071;538411092324180032;350419;382823;361402;172633;
2025-06-18T16:12:04.089;538411092342377408;350396;382873;361385;172684;
2025-06-18T16:12:04.107;538411092360574784;350399;382876;361376;172669;
2025-06-18T16:12:04.125;538411092378772160;350420;382829;361414;172698;
2025-06-18T16:12:04.143;538411092396969536;350436;382787;361462;172707;
2025-06-18T16:12:04.162;538411092415166916;350344;382757;361358;172602;
2025-06-18T16:12:04.180;538411092433363520;350464;382857;361445;172698;
2025-06-18T16:12:04.198;538411092451560128;350427;382863;361431;172675;
2025-06-18T16:12:04.216;538411092469756736;350454;382877;361439;172651;
2025-06-18T16:12:04.234;538411092487953344;350470;382871;361449;172708;
2025-06-18T16:12:04.253;538411092506149952;350508;382788;361400;172695;
2025-06-18T16:12:04.271;538411092524346560;350477;382877;361387;172631;
2025-06-18T16:12:04.289;538411092542543168;350577;382925;361411;172677;
2025-06-18T16:12:04.307;538411092560739776;350606;382880;361420;172627;
2025-06-18T16:12:04.325;538411092578936384;350604;382868;361533;172684;
2025-06-18T16:12:04.343;538411092597133056;350585;382901;361529;172633;
2025-06-18T16:12:04.362;538411092615329664;350691;382877;361491;172669;
2025-06-18T16:12:04.380;538411092633526272;350688;382893;361508;172659;
2025-06-18T16:12:04.398;538411092651722880;350761;382968;361537;172612;
2025-06-18T16:12:04.416;538411092669919488;350726;383006;361584;172585;
2025-06-18T16:12:04.434;538411092688116096;350778;383029;361608;172638;
2025-06-18T16:12:04.453;538411092706312704;350740;383039;361596;172628;
2025-06-18T16:12:04.471;538411092724509312;350776;383037;361671;172626;
2025-06-18T16:12:04.489;538411092742705920;350812;382972;361610;172669;
2025-06-18T16:12:04.507;538411092760902528;350783;383070;361577;172675;
2025-06-18T16:12:04.525;538411092779099136;350665;382893;361531;172681;
2025-06-18T16:12:04.544;538411092797295744;350652;382896;361490;172616;
2025-06-18T16:12:04.562;538411092815492352;350562;382910;361442;172673;
2025-06-18T16:12:04.580;538411092833688960;350596;382888;361397;172649;
2025-06-18T16:12:04.598;538411092851885568;350571;382857;361386;172698;
2025-06-18T16:12:04.616;538411092870082176;350595;382832;361371;172696;
2025-06-18T16:12:04.635;538411092888278848;350556;382778;361362;172694;
2025-06-18T16:12:04.653;538411092906475456;350558;382765;361334;172653;
2025-06-18T16:12:04.671;538411092924672064;350537;382766;361326;172672;
2025-06-18T16:12:04.689;538411092942868672;350492;382756;361359;172627;
2025-06-18T16:12:04.707;538411092961065280;350589;382776;361385;172623;
2025-06-18T16:12:04.726;538411092979261888;350602;382857;361334;172610;
2025-06-18T16:12:04.744;538411092997458496;350593;382836;361270;172627;
2025-06-18T16:12:04.762;538411093015655104;350605;382814;361366;172642;
2025-06-18T16:12:04.780;538411093033851712;350635;382828;361396;172615;
2025-06-18T16:12:04.798;538411093052048320;350674;382828;361361;172622;
