Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-11T18:03:05.015;802954987590819200;-24655;-108256;-118399;-318116;
2025-06-11T18:03:05.033;802954987609077120;-24468;-108213;-118339;-318117;
2025-06-11T18:03:05.052;802954987627334912;-24389;-108122;-118302;-318128;
2025-06-11T18:03:05.070;802954987645592832;-24319;-108072;-118207;-318091;
2025-06-11T18:03:05.088;802954987663850752;-24291;-107998;-118203;-318075;
2025-06-11T18:03:05.106;802954987682108672;-24303;-108023;-118195;-318074;
2025-06-11T18:03:05.125;802954987700366592;-24345;-108046;-118292;-318096;
2025-06-11T18:03:05.143;802954987718624512;-24460;-108060;-118363;-318063;
2025-06-11T18:03:05.161;802954987736882432;-24614;-108267;-118475;-318036;
2025-06-11T18:03:05.180;802954987755140224;-24769;-108346;-118553;-318088;
2025-06-11T18:03:05.198;802954987773398144;-24883;-108493;-118701;-318075;
2025-06-11T18:03:05.216;802954987791656064;-25074;-108556;-118829;-318059;
2025-06-11T18:03:05.234;802954987809913984;-25260;-108625;-118877;-318119;
2025-06-11T18:03:05.253;802954987828171904;-25284;-108701;-118954;-318069;
2025-06-11T18:03:05.271;802954987846429824;-25335;-108798;-119004;-318071;
2025-06-11T18:03:05.289;802954987864687744;-25382;-108783;-119026;-318101;
2025-06-11T18:03:05.307;802954987882945536;-25346;-108765;-118981;-318096;
2025-06-11T18:03:05.326;802954987901203456;-25272;-108614;-118903;-318034;
2025-06-11T18:03:05.344;802954987919461376;-25315;-108723;-118924;-318160;
2025-06-11T18:03:05.362;802954987937719296;-25243;-108629;-118917;-318092;
2025-06-11T18:03:05.380;802954987955977216;-25256;-108697;-118970;-318102;
2025-06-11T18:03:05.399;802954987974235136;-25211;-108664;-118922;-318096;
2025-06-11T18:03:05.417;802954987992493056;-25260;-108605;-118941;-318148;
2025-06-11T18:03:05.435;802954988010750976;-25187;-108595;-118858;-318114;
2025-06-11T18:03:05.453;802954988029008768;-25173;-108545;-118921;-318158;
2025-06-11T18:03:05.472;802954988047266688;-25143;-108568;-118920;-318163;
2025-06-11T18:03:05.490;802954988065524608;-25112;-108514;-118870;-318171;
2025-06-11T18:03:05.508;802954988083782528;-24989;-108447;-118769;-318133;
2025-06-11T18:03:05.526;802954988102040448;-24931;-108352;-118759;-318138;
