subject,accuracy,auc,f1_score,n_samples,n_correct,n_incorrect
bayu,0.8181818181818182,0.9080578512396694,0.8048780487804879,88,72,16
desta,0.7386363636363636,0.8610537190082644,0.6666666666666666,88,65,23
dewi,0.5795454545454546,0.7329545454545454,0.6782608695652174,88,51,37
esty,0.4659090909090909,0.40392561983471076,0.5052631578947369,88,41,47
hilmi,0.7045454545454546,0.733987603305785,0.7346938775510204,88,62,26
irsyad,0.7840909090909091,0.9008264462809916,0.7466666666666667,88,69,19
jovita,0.6022727272727273,0.6513429752066116,0.5070422535211268,88,53,35
nathan,0.7613636363636364,0.8662190082644629,0.7640449438202247,88,67,21
prayogi,0.7386363636363636,0.7050619834710744,0.7722772277227723,88,65,23
rizqi,0.8068181818181818,0.84349173553719,0.7733333333333333,88,71,17
