subject,stage_size,candidate_rank,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
bayu,12,3,0.0029395222663879395,0.0016971339717879756,0.002993285655975342,0.0016971339717879756,0.01,linear,,,,"{'svm__C': 0.01, 'svm__kernel': 'linear'}",0.8181818181818182,0.5,0.5,0.5909090909090909,0.6022727272727273,0.1300627629802227,45
bayu,12,3,0.00366365909576416,0.0014971069619521748,0.0020116567611694336,8.344650268554688e-07,0.1,linear,,,,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",0.7727272727272727,1.0,0.5,0.5,0.6931818181818181,0.20922673454002239,20
bayu,12,3,0.0033974051475524902,0.0008245034890706057,0.0017932653427124023,0.0004548678313582226,1.0,linear,,,,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.7727272727272727,1.0,0.6363636363636364,0.5,0.7272727272727273,0.1846372364689991,11
bayu,12,3,0.004054427146911621,0.0013579687748056543,0.0019988417625427246,1.6890319961672728e-06,10.0,linear,,,,"{'svm__C': 10, 'svm__kernel': 'linear'}",0.5909090909090909,0.5,0.5454545454545454,0.5,0.5340909090909091,0.03768891807222046,65
bayu,12,3,0.005082547664642334,0.0011228855023428716,0.002389848232269287,0.0004189380247861795,100.0,linear,,,,"{'svm__C': 100, 'svm__kernel': 'linear'}",0.5909090909090909,0.5,0.6363636363636364,0.5,0.5568181818181818,0.059047186621666276,62
bayu,12,3,0.003939151763916016,0.0006908380025761308,0.0019268989562988281,0.0005935922642694405,0.1,rbf,scale,,,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6363636363636364,0.8181818181818182,0.5,0.6818181818181818,0.6590909090909091,0.11363636363636365,30
bayu,12,3,0.004418373107910156,0.0003910375428646107,0.002137124538421631,0.00021368453026322044,0.1,rbf,0.01,,,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.7272727272727273,0.5,0.5,0.6363636363636364,0.5909090909090909,0.09642365197998376,49
bayu,12,3,0.004636704921722412,0.0007962286667529837,0.0019930005073547363,0.0003532011471934806,0.1,rbf,0.1,,,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6363636363636364,0.8181818181818182,0.5,0.6818181818181818,0.6590909090909091,0.11363636363636365,30
bayu,12,3,0.004752218723297119,0.0005703887682359157,0.002848982810974121,0.00011151778956391797,0.1,rbf,1,,,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7272727272727273,0.5,0.5,0.5,0.5568181818181819,0.09841197770277713,61
bayu,12,3,0.004476606845855713,0.0007982141578950724,0.0026677846908569336,0.000396951880613492,1.0,rbf,scale,,,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6818181818181818,1.0,0.5909090909090909,0.8636363636363636,0.7840909090909091,0.15868454595191978,5
bayu,12,3,0.0039934515953063965,0.0009097671128246801,0.0028711557388305664,0.0008660575232642703,1.0,rbf,0.01,,,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.7272727272727273,0.6363636363636364,0.5,0.6818181818181818,0.6363636363636364,0.08503766788122594,34
bayu,12,3,0.004791736602783203,0.00022759754001680185,0.0018990635871887207,0.00041161134017124424,1.0,rbf,0.1,,,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6818181818181818,1.0,0.5909090909090909,0.8181818181818182,0.7727272727272727,0.154143863252847,6
bayu,12,3,0.00405573844909668,0.0005181670066861491,0.002913534641265869,0.0005230057403363081,1.0,rbf,1,,,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7727272727272727,0.5909090909090909,0.5,0.5,0.5909090909090909,0.11134044285378082,49
bayu,12,3,0.00506591796875,0.00026324860849505095,0.002267897129058838,0.0002565507092031231,10.0,rbf,scale,,,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5909090909090909,1.0,0.5454545454545454,0.7272727272727273,0.7159090909090908,0.17714155986499883,16
