Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-05-28T14:10:30.304;536640878392915776;480101;474470;474068;374197;
2025-05-28T14:10:30.322;536640878411173696;480105;474458;474047;374206;
2025-05-28T14:10:30.341;536640878429431680;480088;474500;474110;374113;
2025-05-28T14:10:30.359;536640878447689664;480096;474559;474142;374215;
2025-05-28T14:10:30.377;536640878465947584;480096;474554;474121;374211;
2025-05-28T14:10:30.395;536640878484205568;480108;474491;474051;374180;
2025-05-28T14:10:30.414;536640878502463552;480078;474429;474061;374140;
2025-05-28T14:10:30.432;536640878520721536;480106;474503;474030;374134;
2025-05-28T14:10:30.450;536640878538979456;480089;474494;473984;374136;
2025-05-28T14:10:30.468;536640878557237440;480081;474502;473988;374103;
2025-05-28T14:10:30.487;536640878575495424;480051;474454;474038;374137;
2025-05-28T14:10:30.505;536640878593753344;480024;474450;474073;374078;
2025-05-28T14:10:30.523;536640878612011328;480092;474470;474093;374183;
2025-05-28T14:10:30.541;536640878630269312;479943;474411;474003;374098;
2025-05-28T14:10:30.560;536640878648527296;480016;474468;474032;374095;
2025-05-28T14:10:30.578;536640878666785216;480041;474439;474043;374115;
2025-05-28T14:10:30.596;536640878685043200;480099;474470;474081;374190;
2025-05-28T14:10:30.614;536640878703301184;480058;474388;474081;374137;
2025-05-28T14:10:30.633;536640878721559104;480038;474437;474035;374109;
2025-05-28T14:10:30.651;536640878739817088;480055;474476;474077;374116;
2025-05-28T14:10:30.669;536640878758075072;480013;474413;474027;374074;
2025-05-28T14:10:30.687;536640878776333056;479975;474425;474049;374119;
2025-05-28T14:10:30.706;536640878794590976;480062;474414;474075;374143;
2025-05-28T14:10:30.724;536640878812848960;480040;474440;474039;374090;
2025-05-28T14:10:30.742;536640878831106944;480063;474442;474044;374114;
2025-05-28T14:10:30.760;536640878849364864;480033;474400;474001;374126;
2025-05-28T14:10:30.779;536640878867622848;480089;474501;474057;374099;
2025-05-28T14:10:30.797;536640878885880832;480079;474496;474071;374120;
2025-05-28T14:10:30.815;536640878904138816;480043;474486;474059;374163;
2025-05-28T14:10:30.834;536640878922396736;480068;474483;474072;374097;
