Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-04T15:27:28.172;802340845804561408;591913;597387;616401;373749;
2025-06-04T15:27:28.190;802340845822743168;591950;597366;616419;373757;
2025-06-04T15:27:28.208;802340845840925056;591887;597334;616431;373733;
2025-06-04T15:27:28.226;802340845859106816;591868;597398;616399;373794;
2025-06-04T15:27:28.244;802340845877288704;591916;597338;616368;373807;
2025-06-04T15:27:28.262;802340845895470464;591902;597300;616382;373739;
2025-06-04T15:27:28.281;802340845913652352;591832;597299;616354;373749;
2025-06-04T15:27:28.299;802340845931834112;591879;597381;616422;373731;
2025-06-04T15:27:28.317;802340845950016000;591952;597407;616463;373759;
2025-06-04T15:27:28.335;802340845968197760;591909;597399;616435;373712;
2025-06-04T15:27:28.353;802340845986379648;591979;597396;616480;373792;
2025-06-04T15:27:28.372;802340846004561408;591992;597397;616437;373749;
2025-06-04T15:27:28.390;802340846022743168;592010;597416;616494;373766;
2025-06-04T15:27:28.408;802340846040925056;591991;597464;616447;373714;
2025-06-04T15:27:28.426;802340846059106816;592025;597490;616453;373655;
2025-06-04T15:27:28.444;802340846077288704;592098;597586;616517;373716;
2025-06-04T15:27:28.462;802340846095470464;592128;597589;616576;373743;
2025-06-04T15:27:28.481;802340846113652352;592148;597625;616610;373710;
2025-06-04T15:27:28.499;802340846131834112;592148;597666;616624;373727;
2025-06-04T15:27:28.517;802340846150016000;592168;597714;616673;373712;
2025-06-04T15:27:28.535;802340846168197760;592253;597752;616693;373742;
2025-06-04T15:27:28.553;802340846186379648;592293;597741;616696;373698;
2025-06-04T15:27:28.572;802340846204561408;592350;597795;616792;373819;
2025-06-04T15:27:28.590;802340846222743168;592405;597857;616819;373806;
2025-06-04T15:27:28.608;802340846240925056;592420;597841;616850;373772;
2025-06-04T15:27:28.626;802340846259106816;592498;597952;616929;373740;
2025-06-04T15:27:28.644;802340846277288704;592445;597933;616952;373722;
2025-06-04T15:27:28.662;802340846295470464;592517;598052;617056;373814;
2025-06-04T15:27:28.681;802340846313652352;592570;598072;617116;373781;
2025-06-04T15:27:28.699;802340846331834112;592612;598160;617150;373799;
2025-06-04T15:27:28.717;802340846350016000;592657;598163;617143;373781;
2025-06-04T15:27:28.735;802340846368197760;592706;598267;617156;373785;
2025-06-04T15:27:28.753;802340846386379648;592748;598277;617230;373727;
2025-06-04T15:27:28.772;802340846404561408;592816;598418;617328;373766;
2025-06-04T15:27:28.790;802340846422743168;592819;598407;617383;373769;
2025-06-04T15:27:28.808;802340846440925056;592853;598455;617389;373773;
2025-06-04T15:27:28.826;802340846459106816;592857;598407;617379;373750;
2025-06-04T15:27:28.844;802340846477288704;592842;598473;617368;373760;
2025-06-04T15:27:28.862;802340846495470464;592840;598457;617333;373775;
2025-06-04T15:27:28.881;802340846513652352;592851;598522;617380;373816;
2025-06-04T15:27:28.899;802340846531834112;592811;598468;617301;373744;
2025-06-04T15:27:28.917;802340846550016000;592840;598504;617324;373813;
2025-06-04T15:27:28.935;802340846568197760;592831;598528;617324;373818;
