rank,name,accuracy,n_features,status,best_kernel,features,n_samples
1,combo_12feat_001,0.6875,12,success,rbf,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak",880
2,combo_8feat_020,0.6863636363636364,8,success,rbf,"nn_count, nn_mean, nn_min, sdsd, rmssd, pnn20, lf_power, hf_peak",880
3,combo_16feat_021,0.6852272727272727,16,success,rbf,"nn_count, nn_mean, nn_max, sdnn, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, lf_peak, hf_peak",880
4,combo_4feat_058,0.6818181818181819,4,success,rbf,"nn_min, pnn20, lf_power, hf_norm",880
5,combo_5feat_031,0.6795454545454545,5,success,rbf,"nn_count, sdnn, pnn20, lf_power, lf_norm",880
6,combo_13feat_021,0.678409090909091,13,success,rbf,"nn_count, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, ln_hf, hf_peak",880
7,combo_5feat_012,0.6727272727272727,5,success,rbf,"nn_count, sdnn, pnn20, lf_norm, hf_norm",880
8,combo_16feat_001,0.6715909090909091,16,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, pnn50, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, lf_peak",880
9,combo_7feat_024,0.671590909090909,7,success,rbf,"nn_mean, rmssd, pnn50, lf_power, hf_power, lf_hf_ratio, lf_norm",880
10,combo_7feat_012,0.6670454545454546,7,success,rbf,"nn_min, sdsd, pnn50, lf_power, hf_power, lf_hf_ratio, hf_norm",880
11,combo_12feat_021,0.665909090909091,12,success,rbf,"nn_mean, nn_min, nn_max, sdsd, rmssd, pnn20, pnn50, lf_power, hf_power, lf_norm, ln_hf, lf_peak",880
12,combo_13feat_013,0.6636363636363637,13,success,rbf,"nn_count, nn_mean, nn_max, sdnn, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf",880
13,combo_13feat_008,0.6625,13,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_norm, hf_norm, lf_peak",880
14,combo_13feat_019,0.6625,13,success,rbf,"nn_count, nn_mean, nn_max, sdnn, rmssd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, hf_peak",880
15,combo_17feat_016,0.6625,17,success,rbf,"nn_count, nn_mean, nn_max, sdnn, sdsd, rmssd, pnn20, pnn50, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, lf_peak, hf_peak",880
16,combo_14feat_022,0.6624999999999999,14,success,rbf,"nn_count, nn_min, nn_max, sdnn, rmssd, pnn20, pnn50, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, hf_peak",880
17,combo_4feat_047,0.6602272727272728,4,success,rbf,"nn_min, pnn20, hf_power, hf_norm",880
18,combo_14feat_023,0.6590909090909092,14,success,rbf,"nn_mean, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak",880
19,combo_5feat_048,0.6579545454545455,5,success,rbf,"nn_min, sdnn, pnn50, lf_power, hf_norm",880
20,combo_11feat_004,0.6579545454545455,11,success,rbf,"nn_mean, nn_min, rmssd, pnn20, pnn50, lf_power, hf_power, lf_norm, hf_norm, ln_hf, lf_peak",880
21,combo_12feat_014,0.6579545454545455,12,success,rbf,"nn_count, nn_mean, sdnn, sdsd, rmssd, pnn20, triangular_index, lf_power, lf_norm, hf_norm, ln_hf, hf_peak",880
22,combo_8feat_001,0.6579545454545453,8,success,poly,"sdnn, rmssd, pnn20, lf_power, lf_norm, hf_norm, ln_hf, lf_peak",880
23,combo_7feat_005,0.6556818181818183,7,success,rbf,"nn_count, nn_max, pnn20, triangular_index, lf_power, hf_norm, hf_peak",880
24,combo_11feat_006,0.6556818181818183,11,success,rbf,"nn_count, nn_mean, nn_max, sdnn, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, lf_peak",880
25,combo_6feat_005,0.655681818181818,6,success,rbf,"nn_mean, nn_min, pnn20, hf_power, lf_norm, ln_hf",880
26,combo_6feat_003,0.6545454545454545,6,success,rbf,"nn_mean, sdnn, pnn20, lf_power, lf_hf_ratio, lf_peak",880
27,combo_11feat_008,0.6545454545454545,11,success,rbf,"nn_count, nn_mean, nn_min, sdnn, rmssd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf",880
28,combo_17feat_002,0.6522727272727273,17,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, pnn50, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, hf_peak",880
29,combo_15feat_006,0.6522727272727272,15,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, rmssd, pnn20, pnn50, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, hf_peak",880
30,combo_12feat_020,0.6511363636363636,12,success,rbf,"nn_min, sdnn, sdsd, rmssd, pnn20, triangular_index, lf_hf_ratio, lf_norm, hf_norm, ln_hf, lf_peak, hf_peak",880
31,combo_15feat_019,0.6511363636363636,15,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_norm, hf_norm, ln_hf, hf_peak",880
32,combo_11feat_014,0.6500000000000001,11,success,rbf,"nn_count, nn_max, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_norm, hf_norm, hf_peak",880
33,combo_3feat_026,0.65,3,success,rbf,"nn_mean, pnn20, lf_power",880
34,combo_4feat_100,0.65,4,success,rbf,"pnn20, hf_power, lf_hf_ratio, lf_peak",880
35,combo_4feat_062,0.6488636363636363,4,success,rbf,"rmssd, pnn20, triangular_index, lf_power",880
36,combo_8feat_022,0.6488636363636363,8,success,rbf,"nn_count, nn_max, sdnn, sdsd, rmssd, pnn20, lf_power, lf_hf_ratio",880
37,combo_9feat_003,0.6488636363636363,9,success,rbf,"nn_count, nn_mean, nn_min, nn_max, pnn20, triangular_index, lf_power, hf_norm, ln_hf",880
